t, L_avg
0.000000000000000000e+00,1.000000000000005329e+00
1.000000000000000021e-02,6.817523345349709718e-01
2.000000000000000042e-02,7.626790550799286139e-01
2.999999999999999889e-02,8.246963994788224506e-01
4.000000000000000083e-02,7.599304831902370383e-01
5.000000000000000278e-02,9.536310411433628342e-01
5.999999999999999778e-02,7.749016208000908401e-01
7.000000000000000666e-02,9.038709961058234432e-01
8.000000000000000167e-02,8.468543579233700491e-01
8.999999999999999667e-02,6.762939798721061546e-01
1.000000000000000056e-01,8.925283593430937135e-01
1.100000000000000006e-01,6.841768702819392978e-01
1.199999999999999956e-01,8.105532045969814359e-01
1.300000000000000044e-01,8.361708991728524776e-01
1.400000000000000133e-01,7.663386182108390399e-01
1.499999999999999944e-01,8.667275085438894688e-01
1.600000000000000033e-01,7.839167245458340538e-01
1.700000000000000122e-01,8.636245895146834606e-01
1.799999999999999933e-01,8.601389506627726833e-01
1.900000000000000022e-01,7.141912282631051045e-01
2.000000000000000111e-01,7.686002096013984097e-01
2.099999999999999922e-01,6.912985580651138662e-01
2.200000000000000011e-01,7.317252440527258761e-01
2.300000000000000100e-01,9.196148566950685943e-01
2.399999999999999911e-01,7.324243670460306443e-01
2.500000000000000000e-01,6.837869475714384304e-01
2.600000000000000089e-01,7.416758152231932577e-01
2.700000000000000178e-01,8.494121145928561489e-01
2.800000000000000266e-01,8.949660621181749764e-01
2.899999999999999800e-01,6.798474196781554291e-01
2.999999999999999889e-01,8.113767750799875111e-01
3.099999999999999978e-01,6.720445029182939845e-01
3.200000000000000067e-01,6.741799872383362757e-01
3.300000000000000155e-01,8.358377425228078472e-01
3.400000000000000244e-01,6.925458107566284660e-01
3.500000000000000333e-01,7.887646769616150078e-01
3.599999999999999867e-01,7.843359381020206245e-01
3.699999999999999956e-01,8.112394881853350892e-01
3.800000000000000044e-01,8.523255114782447572e-01
3.900000000000000133e-01,5.995180501520218641e-01
4.000000000000000222e-01,8.314968518200465120e-01
4.100000000000000311e-01,6.927355677049130689e-01
4.199999999999999845e-01,6.610893978183747244e-01
4.299999999999999933e-01,7.509599391389493173e-01
4.400000000000000022e-01,6.644704354393473622e-01
4.500000000000000111e-01,7.651605236579805958e-01
4.600000000000000200e-01,7.226494789836763744e-01
4.700000000000000289e-01,7.178052436663421298e-01
4.799999999999999822e-01,6.790269095936751764e-01
4.899999999999999911e-01,5.737601416315905034e-01
5.000000000000000000e-01,6.748165118979552179e-01
5.100000000000000089e-01,6.686111113889088298e-01
5.200000000000000178e-01,6.179902307070422873e-01
5.300000000000000266e-01,6.782114977800391964e-01
5.400000000000000355e-01,5.919610279951044163e-01
5.500000000000000444e-01,6.744986320669011937e-01
5.600000000000000533e-01,7.138623052997612461e-01
5.700000000000000622e-01,6.198161714666869937e-01
5.799999999999999600e-01,5.289686330307434847e-01
5.899999999999999689e-01,5.526575395366136734e-01
5.999999999999999778e-01,7.025717268341571398e-01
