time_space,trajectory
0.0,(1.000000000000121+3.653405534334197e-32j)
0.01,(0.9974714359228436+6.642911337950614e-08j)
0.02,(0.9921283933446635-1.525479783049862e-07j)
0.03,(0.9949186853155548+2.2956241757796825e-07j)
0.04,(0.9942515966359304+8.542960806026711e-07j)
0.05,(0.9938137460977199+3.688525622075358e-08j)
0.06,(0.9908612258025425+3.7191138784821696e-08j)
0.07,(0.9916110379993871+2.5829280759026772e-08j)
0.08,(0.9889896548238707-1.4943657436299534e-07j)
0.09,(0.9965053485131941+6.264427078405302e-06j)
0.1,(0.9898389215621168+4.768547200717467e-07j)
0.11,(0.9883212175709748+4.482624694172244e-07j)
0.12,(0.9918685806154084+2.701118790971454e-07j)
0.13,(0.9909152557617781+4.2464775360697813e-07j)
0.14,(0.9901245485798593+7.955584007777528e-06j)
0.15,(0.9864298448551923-1.0854559990100502e-06j)
0.16,(0.987337214224345+2.096394363033971e-06j)
0.17,(0.9808439022988521+3.716768591871707e-07j)
0.18,(0.9845962717925447+3.858311791815052e-07j)
0.19,(0.9812593769073952+6.196449912919669e-06j)
0.2,(0.9739387272003718-2.1990397195328754e-06j)
0.21,(0.9704606480814469+2.372162707804558e-06j)
0.22,(0.9682691963633168+3.0179688255234046e-06j)
0.23,(0.9619658101126283-3.0967650784241797e-08j)
0.24,(0.9553773006264824+2.734283586887059e-06j)
0.25,(0.9523548767549929-1.8567630048559195e-07j)
0.26,(0.9360447678551982-1.8729783778884968e-07j)
0.27,(0.9337011181576939+3.8534066215610395e-06j)
0.28,(0.9286250006470456-4.548466948912912e-06j)
0.29,(0.920981347756235+2.0529778618208507e-08j)
0.3,(0.9080621368857051-1.2151713040290365e-07j)
0.31,(0.9011046254850912-8.482834505161482e-06j)
0.32,(0.894582164319561+7.559079859805884e-06j)
0.33,(0.8828544891700592-1.6182880575815812e-05j)
0.34,(0.8753992320265639-1.0248891319257698e-07j)
0.35000000000000003,(0.8603013546749881-1.4439728221371825e-07j)
0.36,(0.8478819014804477-1.0113498644849444e-05j)
0.37,(0.8403370040270756+1.0013247518196794e-05j)
0.38,(0.8274184313886042-1.6018809263860058e-05j)
0.39,(0.8085955505913959-7.043325854599813e-06j)
0.4,(0.7977515365905191-6.922398830803429e-07j)
0.41000000000000003,(0.787778907475315-2.2798957292518484e-06j)
0.42,(0.7753066227912294+8.369205378604998e-07j)
0.43,(0.7602618314526866-1.0622496503278452e-05j)
0.44,(0.7464119251481213-1.396577248512437e-05j)
0.45,(0.7316840612305232-1.9790146844906133e-06j)
0.46,(0.7227555814973423-3.4542404403396897e-07j)
0.47000000000000003,(0.7084714859449996-1.4022087771297318e-06j)
0.48,(0.6947137281951626-8.508668052746832e-06j)
0.49,(0.6776908270936145-1.104715605304924e-05j)
0.5,(0.6719906566300717+7.580314906708277e-07j)
0.51,(0.6578034624946719-1.5572722141547947e-06j)
0.52,(0.649707715168937-4.105748018825919e-08j)
0.53,(0.6382696842993424-1.69122903294533e-06j)
0.54,(0.6250758514874568-1.1271768175707728e-06j)
0.55,(0.6156542446583345+3.940090673550084e-06j)
0.56,(0.6070928234529525-1.544793664593405e-06j)
0.5700000000000001,(0.5988098166688277+9.097690077058516e-08j)
0.58,(0.5881932741826742-7.529606466833155e-09j)
0.59,(0.5819603095071191+1.0978172863843771e-06j)
0.6,(0.5719807464903263+3.5249530587800063e-06j)
0.61,(0.5663632271461394+9.213525940055099e-06j)
0.62,(0.5619855508833277+5.142944781190375e-06j)
0.63,(0.5560676432326156+1.7920261942351187e-06j)
0.64,(0.5492439611949516+3.358264183621788e-07j)
0.65,(0.546477858425202-2.4403990456795044e-07j)
0.66,(0.5437448649643242+2.1426391168420136e-05j)
0.67,(0.5347905175845666+1.0048080095650523e-05j)
0.68,(0.5334924330626393+7.1990872268647735e-06j)
0.6900000000000001,(0.5292829715426459+1.0008149477130445e-06j)
0.7000000000000001,(0.5273734831811079+5.207444173760331e-08j)
0.71,(0.5249744443627804+1.7375255546853947e-05j)
0.72,(0.5217104187930487+8.017143413844337e-06j)
0.73,(0.5173905596011452-2.603016175496914e-06j)
0.74,(0.5168368355957501+1.2808551520092172e-05j)
0.75,(0.5174217880786697-1.798206693952216e-08j)
0.76,(0.5124590379441709+4.623111985879034e-06j)
0.77,(0.5082547996252327+9.449451479704742e-06j)
0.78,(0.5090345292493257-1.4542649351584587e-05j)
0.79,(0.5064137954955016+2.4041982414162057e-05j)
0.8,(0.5034642792205827-1.7138122091696608e-06j)
0.81,(0.5003671769650548+3.780375959493801e-09j)
0.8200000000000001,(0.4959350420693638+6.325475858342349e-06j)
0.8300000000000001,(0.49175615404072903-1.0314817940962843e-05j)
0.84,(0.49027333863809514+1.445544856952095e-05j)
0.85,(0.48434608510914523-1.1460346745517533e-05j)
0.86,(0.47824342476562653-1.6628519322585235e-06j)
0.87,(0.4746029507147714+3.0922594142606707e-07j)
0.88,(0.46768916111773773-7.231147386673222e-06j)
0.89,(0.4615459903893947+4.098924822464702e-06j)
0.9,(0.4522783418385439-1.8463889445701592e-05j)
0.91,(0.44754698081638766-1.2002635852454194e-05j)
0.92,(0.43622562900278766-2.2636395113224443e-07j)
0.93,(0.43008371353910013-2.7334546896347292e-06j)
0.9400000000000001,(0.4198772328423098-3.686074033120647e-07j)
0.9500000000000001,(0.4094760889404445-9.303981973089545e-06j)
0.96,(0.4004838752535516-2.1412471130117247e-05j)
0.97,(0.3912451478659615-1.93046718697678e-06j)
0.98,(0.3806624025223709-9.82268872956983e-07j)
0.99,(0.3695476969248806-1.5118291221861673e-06j)
1.0,(0.3579520719789817-4.631965803222358e-06j)
1.01,(0.34383655584996664-2.8565264577343915e-05j)
1.02,(0.332975964451697+7.830092537298453e-07j)
1.03,(0.3210785586017477-5.702112088813633e-06j)
1.04,(0.30762895864804746-2.4130264218256687e-08j)
1.05,(0.29346517227237817-1.355233443245003e-06j)
1.06,(0.2807885099447795-1.7562149748912674e-05j)
1.07,(0.2690905255730569-1.8214146548750204e-06j)
1.08,(0.25608171504478994-1.6642303848611197e-06j)
1.09,(0.2444653680112334-2.331091381904827e-06j)
1.1,(0.2296398222080205-5.49859850414183e-08j)
1.11,(0.21732889966406257-1.2602774684838754e-06j)
1.12,(0.2058609183169116-2.1447369494571654e-06j)
1.1300000000000001,(0.19321816251467805+4.501124412124602e-06j)
1.1400000000000001,(0.18057429057258007-2.325544023314374e-06j)
1.1500000000000001,(0.16966438292817299+1.3474667138930992e-09j)
1.16,(0.1588511412914501+1.9068441693330824e-07j)
1.17,(0.14794912205568514-7.991671102644169e-07j)
1.18,(0.13708059223256244+4.849544477973166e-06j)
1.19,(0.1267044843829363+5.556497300652226e-06j)
1.2,(0.11627813260410585+1.8223857145302525e-06j)
1.21,(0.10744150663585492+2.5962197412945756e-07j)
1.22,(0.09823666990234109-8.211590400706353e-08j)
1.23,(0.08912696677534068+2.0187744996525177e-06j)
1.24,(0.08060085108423665+6.110653125791562e-06j)
1.25,(0.07332464285261636+2.047828509499161e-06j)
1.26,(0.0656441918215442+2.248737638447669e-06j)
1.27,(0.05906809600213131-3.887922569072173e-08j)
1.28,(0.05289023770180141+6.040903349717978e-07j)
1.29,(0.04689014145547481+2.5383874843168975e-06j)
1.3,(0.04173953798365408-5.532643003144572e-07j)
1.31,(0.0368188295261014+2.9101611444667416e-06j)
1.32,(0.032510068507457184+4.3002046199563324e-07j)
1.33,(0.02833911411617214-8.064284703885008e-09j)
1.34,(0.024990800856516185+7.03705792343701e-07j)
1.35,(0.021800312464768084-7.312520975864074e-07j)
1.36,(0.019064039451882682+1.8006507673583445e-06j)
1.37,(0.01663693993814793+2.681490598556456e-07j)
1.3800000000000001,(0.01448903938395803-4.8635065440266e-08j)
1.3900000000000001,(0.012619824952440269+4.910905774906102e-08j)
1.4000000000000001,(0.011136796229921806-2.1060071493400324e-07j)
1.41,(0.009870736673048821+5.051900301401001e-07j)
1.42,(0.008773828931777883+1.0722819899856852e-07j)
1.43,(0.007962601283690848-5.347702191190176e-07j)
1.44,(0.00731333470620347+5.67742043993888e-08j)
1.45,(0.006853750516588569-8.13425898755596e-09j)
1.46,(0.006525864874777892-6.953585250002458e-08j)
1.47,(0.006306165514522747+1.3601899908492836e-07j)
1.48,(0.006228946947328474-7.37753498991492e-07j)
1.49,(0.006274071782521341+5.245141151915913e-08j)
1.5,(0.006419514547633148-2.0312804307724534e-08j)
1.51,(0.006551813221830287-8.704205997576038e-08j)
1.52,(0.0067736679829174746+5.56282319160554e-08j)
1.53,(0.007068455085420985-7.633204965273987e-07j)
1.54,(0.007370248060724502-2.0494012138516536e-07j)
1.55,(0.0077164906773023395-2.237532315720008e-07j)
1.56,(0.008057129090460236-5.422504012626214e-09j)
1.57,(0.008354523019660097-4.372534215304156e-08j)
1.58,(0.008692337917967358-8.324798372034403e-07j)
1.59,(0.00902077247712392-6.154342912152768e-07j)
1.6,(0.009292057826311024-4.0125507821353226e-07j)
1.61,(0.009559386240662295-1.747567794895934e-07j)
1.62,(0.009892727412529924-3.775035864799824e-09j)
1.6300000000000001,(0.010094666950582936-4.047231087356777e-07j)
1.6400000000000001,(0.010294396404917248-5.10275919519732e-07j)
1.6500000000000001,(0.010431359428680611-1.1112070430821707e-07j)
1.6600000000000001,(0.010632478259026114-5.978245816730696e-07j)
1.67,(0.010688688766683378-1.3211539080615206e-08j)
1.68,(0.010893586021405775-1.7231934452809206e-08j)
1.69,(0.01094079734180887-1.1200849023298319e-07j)
1.7,(0.010949316157808597+4.6894785894177606e-07j)
1.71,(0.011040655294996515-5.412140240604624e-07j)
1.72,(0.011095651991052826-1.1343405386006701e-08j)
1.73,(0.011126318917213949+2.8229796715154692e-08j)
1.74,(0.011083055360904337-1.8623594893644874e-08j)
1.75,(0.01102617433872728+2.5486594399480574e-07j)
1.76,(0.010836457921571004+5.897084741579238e-07j)
1.77,(0.010755261413936667+1.5247300469479755e-07j)
1.78,(0.010642086031313211+5.70708687287165e-07j)
1.79,(0.010448803108886755+4.257519490963241e-09j)
1.8,(0.01018813094644127+3.1351204533569194e-08j)
1.81,(0.009989995714588158+1.0781182244831261e-06j)
1.82,(0.009775117491429714+4.479509382950259e-08j)
1.83,(0.009516487478502384+1.0202342933885575e-06j)
1.84,(0.009290598081139426+2.535951753645613e-07j)
1.85,(0.008987196440937902+1.3972966264845042e-10j)
1.86,(0.008755780861892628+4.866899509374965e-07j)
1.87,(0.008545912280049344+1.160758989422484e-08j)
1.8800000000000001,(0.00824653517046921+6.093680344174693e-07j)
1.8900000000000001,(0.00794235418217819+8.003507633661866e-07j)
1.9000000000000001,(0.007664962367130835+3.077151757753416e-08j)
1.9100000000000001,(0.007437737321079306+1.897949352045306e-08j)
1.92,(0.007164146624890989+3.7247701541304926e-08j)
1.93,(0.006888749465756739+2.7135791102444125e-07j)
1.94,(0.006589150797548857+8.86044933773194e-07j)
1.95,(0.006287322012006455-1.9937704549780775e-07j)
1.96,(0.006028896564368806+6.441033631293182e-08j)
1.97,(0.005726121271538641+7.85715375239802e-09j)
1.98,(0.005411840122724163+4.560043648511492e-08j)
1.99,(0.00513895233706594+4.953568756869399e-07j)
2.0,(0.004900856988638791-7.119840815384907e-07j)
2.0100000000000002,(0.0046523829986930875+1.0656621515833051e-07j)
2.02,(0.004413210967367494-1.243880945513762e-09j)
