time_space,trajectory
0.0,(0.9999999999997888-1.3511779036811889e-30j)
0.01,(0.6199782836360384+0.19944905557605944j)
0.02,(0.9887520200017793-0.207402271311011j)
0.03,(0.508484728368766-0.18507239686760943j)
0.04,(0.15502098178565404+0.6415403891366447j)
0.05,(0.6096283154860892-0.027054884570747114j)
0.06,(0.09229711478791162-0.5688344477432812j)
0.07,(0.554536116704484+0.29825180171796734j)
0.08,(0.39297321072558516+0.1119088106735774j)
0.09,(0.48079374292250654-1.5112626027823977j)
0.1,(0.2608303904044896-0.00512952613201583j)
0.11,(0.8255080562196229+1.704298124490576j)
0.12,(1.1394322216432955-0.7551892855515386j)
0.13,(0.2691302791948559-0.1411164253864457j)
0.14,(-0.14253967362378786+0.990547603857051j)
0.15,(0.48152162552185596-0.03724096492684491j)
0.16,(0.7232878341605823-0.6154134736529777j)
0.17,(0.32331062546747186+0.11284579411294571j)
0.18,(0.6182942308233024+0.15501478847936767j)
0.19,(0.6578154440362269-1.715922221972981j)
0.2,(0.4008926254270723-0.05825710482622188j)
0.21,(0.1968768107416842+1.008065431689962j)
0.22,(0.9570270445229347-0.7234608575880436j)
0.23,(0.4559524500612562-0.09012562694298733j)
0.24,(0.3892021881793499+0.8243513474079789j)
0.25,(0.5284052374043803-0.044472225132785634j)
0.26,(0.5881576842721806-0.5060476724143043j)
0.27,(0.47320856885152274+0.13138981328376328j)
0.28,(0.6514354738894914+0.010667234598789105j)
0.29,(0.20170039455459163-1.4331388021194227j)
0.3,(0.49561842805187833-5.3478921465218214e-05j)
0.31,(0.9620192689186031+0.48693650583216824j)
0.32,(1.0342574293045717-0.48342597197842574j)
0.33,(0.40761962280764097+0.031817559537014324j)
0.34,(0.6558172028435231+0.6587588285305571j)
0.35000000000000003,(0.5970827119690786+0.012780041088802409j)
0.36,(0.2345180277278903-0.3907088442581515j)
0.37,(0.284594261948739+0.38396779984310336j)
0.38,(0.4156007341560557+0.12097427365606982j)
0.39,(-0.17087335361197983-1.1753669796432895j)
0.4,(0.41932732938593875+0.049191213307740476j)
0.41000000000000003,(0.5171619615384877+0.8700237224751086j)
0.42,(1.0661229141760906-0.9713715860129841j)
0.43,(0.3545141363587467+0.004915934928059749j)
0.44,(0.1285763382208995+0.7948137082937851j)
0.45,(0.4619896241638184+0.015123605759256612j)
0.46,(0.49706800239812227-0.40754444818978447j)
