t, L_avg
0.000000000000000000e+00,1.000000000000036859e+00
1.000000000000000021e-02,9.953189974658133155e-01
2.000000000000000042e-02,9.904633630898135310e-01
2.999999999999999889e-02,9.843276827755682579e-01
4.000000000000000083e-02,9.933117103133580761e-01
5.000000000000000278e-02,9.956197130684365515e-01
5.999999999999999778e-02,9.938546350453039135e-01
7.000000000000000666e-02,9.919894488815603761e-01
8.000000000000000167e-02,9.887827989476485335e-01
8.999999999999999667e-02,9.855741093469991831e-01
1.000000000000000056e-01,9.880309080034659353e-01
1.100000000000000006e-01,9.850381574735855850e-01
1.199999999999999956e-01,9.864623980863795882e-01
1.300000000000000044e-01,9.818449115495304635e-01
1.400000000000000133e-01,9.737431638713973658e-01
1.499999999999999944e-01,9.724757726693942228e-01
1.600000000000000033e-01,9.787722965889744664e-01
1.700000000000000122e-01,9.676245587191701913e-01
1.799999999999999933e-01,9.672082418598728637e-01
1.900000000000000022e-01,9.485790873394743805e-01
2.000000000000000111e-01,9.622002999703214154e-01
2.099999999999999922e-01,9.509821495824517523e-01
2.200000000000000011e-01,9.561196267871936438e-01
2.300000000000000100e-01,9.543738342158136767e-01
2.399999999999999911e-01,9.440478641240968027e-01
2.500000000000000000e-01,9.425407100922913450e-01
2.600000000000000089e-01,9.211316112158014491e-01
2.700000000000000178e-01,9.264784583209260127e-01
2.800000000000000266e-01,9.293147452197587643e-01
2.899999999999999800e-01,9.165830021306462516e-01
2.999999999999999889e-01,8.946337868074691890e-01
3.099999999999999978e-01,8.968047016148315009e-01
3.200000000000000067e-01,8.882473909295666159e-01
3.300000000000000155e-01,8.689300644314441602e-01
3.400000000000000244e-01,8.644476662319875437e-01
3.500000000000000333e-01,8.590675817999757768e-01
3.599999999999999867e-01,8.564724733918624988e-01
3.699999999999999956e-01,8.520434688537823487e-01
3.800000000000000044e-01,8.388851416507321357e-01
3.900000000000000133e-01,8.325752354683971790e-01
4.000000000000000222e-01,8.388882778809856333e-01
4.100000000000000311e-01,8.102780774163746980e-01
4.199999999999999845e-01,8.087611784853030450e-01
4.299999999999999933e-01,8.095877514387570528e-01
4.400000000000000022e-01,8.058022659860375470e-01
4.500000000000000111e-01,7.961417175560181470e-01
4.600000000000000200e-01,7.827475959088231461e-01
4.700000000000000289e-01,7.819829149726871265e-01
4.799999999999999822e-01,7.828298794422192675e-01
4.899999999999999911e-01,7.394738318297902069e-01
5.000000000000000000e-01,7.400712224505499037e-01
5.100000000000000089e-01,7.366483158209604643e-01
5.200000000000000178e-01,7.389513323486036622e-01
5.300000000000000266e-01,7.065281914526833074e-01
5.400000000000000355e-01,7.000419245972289151e-01
5.500000000000000444e-01,6.896866854747409903e-01
5.600000000000000533e-01,6.727445711874517897e-01
5.700000000000000622e-01,6.522574746537538326e-01
5.799999999999999600e-01,6.568772054191518439e-01
5.899999999999999689e-01,6.601081962578152496e-01
5.999999999999999778e-01,6.333900589677874393e-01
6.099999999999999867e-01,6.212888330071373311e-01
6.199999999999999956e-01,6.058077397366776751e-01
6.300000000000000044e-01,5.986563809795309998e-01
6.400000000000000133e-01,5.924359624480152187e-01
6.500000000000000222e-01,5.762063185703956147e-01
6.600000000000000311e-01,5.550192872351524809e-01
6.700000000000000400e-01,5.500620016869577356e-01
6.800000000000000488e-01,5.360390913299680760e-01
6.900000000000000577e-01,5.451999060809626929e-01
7.000000000000000666e-01,5.084400414183377626e-01
7.099999999999999645e-01,4.996232747179264466e-01
7.199999999999999734e-01,4.827397720687929272e-01
7.299999999999999822e-01,4.704437596828011658e-01
7.399999999999999911e-01,4.614829404085549758e-01
7.500000000000000000e-01,4.820607612023230515e-01
7.600000000000000089e-01,4.752860771092584646e-01
7.700000000000000178e-01,4.418953021994196373e-01
7.800000000000000266e-01,4.518406197801176916e-01
7.900000000000000355e-01,4.257737517655524329e-01
8.000000000000000444e-01,4.116431943031585994e-01
8.100000000000000533e-01,3.946126865580742438e-01
8.200000000000000622e-01,3.741581315972786204e-01
8.300000000000000711e-01,3.893826882716374671e-01
8.399999999999999689e-01,3.621904691971504775e-01
8.499999999999999778e-01,3.748602254150662505e-01
8.599999999999999867e-01,3.702376771896763730e-01
8.699999999999999956e-01,3.716818843382114212e-01
8.800000000000000044e-01,3.169410756736849022e-01
8.900000000000000133e-01,3.333760476086111701e-01
9.000000000000000222e-01,3.290522178954779497e-01
9.100000000000000311e-01,3.358474686492660677e-01
9.200000000000000400e-01,3.088981455140956678e-01
9.300000000000000488e-01,3.105276747990764474e-01
9.400000000000000577e-01,3.166359686645069949e-01
9.500000000000000666e-01,3.001700342210864569e-01
9.599999999999999645e-01,2.824587829486152057e-01
9.699999999999999734e-01,2.764113083280422822e-01
9.799999999999999822e-01,2.910732069319710291e-01
9.899999999999999911e-01,2.704628830487095792e-01
1.000000000000000000e+00,2.790551387683243290e-01
1.010000000000000009e+00,2.576755935338135295e-01
1.020000000000000018e+00,2.741117696685483329e-01
1.030000000000000027e+00,2.420449823972879444e-01
1.040000000000000036e+00,2.540576970915900956e-01
1.050000000000000044e+00,2.257160743176204187e-01
1.060000000000000053e+00,2.116381908505778620e-01
1.070000000000000062e+00,1.952365914399239455e-01
1.080000000000000071e+00,1.938180312894664248e-01
1.090000000000000080e+00,1.999558284354573390e-01
1.100000000000000089e+00,2.033600769516496765e-01
1.110000000000000098e+00,2.088412237081581635e-01
1.120000000000000107e+00,1.924123788084040054e-01
1.130000000000000115e+00,1.957779372845138977e-01
1.140000000000000124e+00,1.797301686908650276e-01
1.150000000000000133e+00,1.796323058192429434e-01
1.159999999999999920e+00,1.810827124892671058e-01
1.169999999999999929e+00,1.749760186710734300e-01
1.179999999999999938e+00,1.639168366335813642e-01
1.189999999999999947e+00,1.667474916882347724e-01
1.199999999999999956e+00,1.627408497129139153e-01
1.209999999999999964e+00,1.556713184475438938e-01
1.219999999999999973e+00,1.554900571756571426e-01
1.229999999999999982e+00,1.501431632605703670e-01
1.239999999999999991e+00,1.521635168436128449e-01
1.250000000000000000e+00,1.483969261192970013e-01
1.260000000000000009e+00,1.398483217673972823e-01
1.270000000000000018e+00,1.431515175113462490e-01
1.280000000000000027e+00,1.357078733686843119e-01
1.290000000000000036e+00,1.330363046902690027e-01
1.300000000000000044e+00,1.267455068693710829e-01
1.310000000000000053e+00,1.264347976771411641e-01
1.320000000000000062e+00,1.212240882631940020e-01
1.330000000000000071e+00,1.180085219113524292e-01
1.340000000000000080e+00,1.166673022979080598e-01
1.350000000000000089e+00,1.103913981790404231e-01
1.360000000000000098e+00,1.052211756582807495e-01
1.370000000000000107e+00,9.906870821221137879e-02
1.380000000000000115e+00,9.837915023581569884e-02
1.390000000000000124e+00,1.021785273234510072e-01
1.400000000000000133e+00,9.325429917827857129e-02
1.409999999999999920e+00,9.131480309715014898e-02
1.419999999999999929e+00,9.115938174168708441e-02
1.429999999999999938e+00,8.624654986897564712e-02
1.439999999999999947e+00,8.552188168904149845e-02
1.449999999999999956e+00,8.294000757056568807e-02
1.459999999999999964e+00,8.050580684561242650e-02
1.469999999999999973e+00,7.924815119578371148e-02
1.479999999999999982e+00,7.718765789391573984e-02
1.489999999999999991e+00,7.797266582668527235e-02
1.500000000000000000e+00,7.044254361037433076e-02
1.510000000000000009e+00,7.691007280349976272e-02
1.520000000000000018e+00,7.186624845917150006e-02
1.530000000000000027e+00,6.563146367945849047e-02
1.540000000000000036e+00,6.680782205889806979e-02
1.550000000000000044e+00,6.486633218091399089e-02
1.560000000000000053e+00,6.366444315363112283e-02
1.570000000000000062e+00,5.662803343212206852e-02
1.580000000000000071e+00,5.974666281950163915e-02
1.590000000000000080e+00,5.730974997544453775e-02
1.600000000000000089e+00,5.583696456446259754e-02
1.610000000000000098e+00,5.136892392874783941e-02
1.620000000000000107e+00,5.110313200468606654e-02
1.630000000000000115e+00,4.598739837176581136e-02
1.640000000000000124e+00,4.545333651427764521e-02
1.650000000000000133e+00,4.273218702224133164e-02
1.660000000000000142e+00,3.984734221159152295e-02
1.669999999999999929e+00,3.868646913547856697e-02
1.679999999999999938e+00,3.699270265106430200e-02
1.689999999999999947e+00,3.939889581717226363e-02
1.699999999999999956e+00,3.784225582854598702e-02
1.709999999999999964e+00,3.682508411822305039e-02
1.719999999999999973e+00,3.662270689946399427e-02
1.729999999999999982e+00,3.615418653220166256e-02
1.739999999999999991e+00,3.549333319717229429e-02
1.750000000000000000e+00,3.512363288336857459e-02
1.760000000000000009e+00,3.448039788811808198e-02
1.770000000000000018e+00,3.161278821859798277e-02
1.780000000000000027e+00,2.898770470271672811e-02
1.790000000000000036e+00,2.888456568404713237e-02
1.800000000000000044e+00,2.951534834754732800e-02
1.810000000000000053e+00,2.713264633618175589e-02
1.820000000000000062e+00,2.760691767473173741e-02
1.830000000000000071e+00,2.583921649343079441e-02
1.840000000000000080e+00,2.341566109485217206e-02
1.850000000000000089e+00,2.337531663714130861e-02
1.860000000000000098e+00,2.088695102741081056e-02
1.870000000000000107e+00,2.176460407219096144e-02
1.880000000000000115e+00,1.988409818699348949e-02
1.890000000000000124e+00,2.118311247721788720e-02
1.900000000000000133e+00,1.993420278142536348e-02
1.910000000000000142e+00,1.954225915290893484e-02
1.919999999999999929e+00,1.867901849281185592e-02
1.929999999999999938e+00,1.841045025022787496e-02
1.939999999999999947e+00,1.621360843509774344e-02
1.949999999999999956e+00,1.705652645508794196e-02
1.959999999999999964e+00,1.565746589748620923e-02
1.969999999999999973e+00,1.474063914057002246e-02
1.979999999999999982e+00,1.535358647177634261e-02
1.989999999999999991e+00,1.384452550655204672e-02
2.000000000000000000e+00,1.390529685431183757e-02
2.010000000000000231e+00,1.407957508686168667e-02
2.020000000000000018e+00,1.402877150957525416e-02
2.030000000000000249e+00,1.382059266886598650e-02
2.040000000000000036e+00,1.436540542083002484e-02
2.049999999999999822e+00,1.391794065860489996e-02
2.060000000000000053e+00,1.416740034592249738e-02
2.069999999999999840e+00,1.210302699978472660e-02
2.080000000000000071e+00,1.251978278674142214e-02
2.089999999999999858e+00,1.172331175990098256e-02
2.100000000000000089e+00,1.215289945323073939e-02
2.109999999999999876e+00,1.114569477453082949e-02
2.120000000000000107e+00,1.043811018688564976e-02
2.129999999999999893e+00,8.414241187733640520e-03
2.140000000000000124e+00,8.085536866173486173e-03
2.149999999999999911e+00,7.545872423868312320e-03
2.160000000000000142e+00,8.064731521001382991e-03
2.169999999999999929e+00,7.044607354554401069e-03
2.180000000000000160e+00,7.412967082559460477e-03
2.189999999999999947e+00,6.677610937612220125e-03
2.200000000000000178e+00,6.575256469953400656e-03
2.209999999999999964e+00,7.554978551388881122e-03
2.220000000000000195e+00,6.645531584293862953e-03
2.229999999999999982e+00,5.946803465964104612e-03
2.240000000000000213e+00,6.573692436231684359e-03
2.250000000000000000e+00,5.564378147578963839e-03
2.260000000000000231e+00,6.038553702956070413e-03
2.270000000000000018e+00,4.922649355487630947e-03
2.280000000000000249e+00,5.606622308871900620e-03
2.290000000000000036e+00,4.546697322832528657e-03
2.300000000000000266e+00,3.631003616537786804e-03
2.310000000000000053e+00,3.871859990843879232e-03
2.319999999999999840e+00,3.308042766779494687e-03
2.330000000000000071e+00,2.674913447858775790e-03
2.339999999999999858e+00,2.477261461664821956e-03
2.350000000000000089e+00,2.396049708763782829e-03
2.359999999999999876e+00,2.141850073938028707e-03
2.370000000000000107e+00,1.742207557479905295e-03
2.379999999999999893e+00,1.962241088346094748e-03
2.390000000000000124e+00,1.910591102131721812e-03
2.399999999999999911e+00,1.805778536466492827e-03
2.410000000000000142e+00,1.665491125769309093e-03
2.419999999999999929e+00,1.951810695646191696e-03
2.430000000000000160e+00,1.897858124723130141e-03
2.439999999999999947e+00,2.269666464016248646e-03
2.450000000000000178e+00,2.063366591671651849e-03
2.459999999999999964e+00,2.107028393804572658e-03
2.470000000000000195e+00,1.852755574931976359e-03
2.479999999999999982e+00,1.464423114560596973e-03
2.490000000000000213e+00,1.307368629197074375e-03
2.500000000000000000e+00,1.136720555749622672e-03
2.510000000000000231e+00,1.304524353692277337e-03
2.520000000000000018e+00,1.116312472496261898e-03
2.530000000000000249e+00,1.297770009881516135e-03
2.540000000000000036e+00,9.967938958345030909e-04
2.550000000000000266e+00,1.098437345862528572e-03
2.560000000000000053e+00,1.050465270148995397e-03
2.569999999999999840e+00,1.006675479267987554e-03
2.580000000000000071e+00,9.182658279647038825e-04
2.589999999999999858e+00,9.156931401416528154e-04
2.600000000000000089e+00,9.314763307968287149e-04
2.609999999999999876e+00,8.631004104582881264e-04
2.620000000000000107e+00,8.557387956130159921e-04
2.629999999999999893e+00,8.627261066972086515e-04
2.640000000000000124e+00,7.752891221964527957e-04
2.649999999999999911e+00,7.764824346179401583e-04
2.660000000000000142e+00,6.719123499960098084e-04
2.669999999999999929e+00,6.057000174054852880e-04
2.680000000000000160e+00,6.194656613486163119e-04
2.689999999999999947e+00,5.548933496485530456e-04
2.700000000000000178e+00,5.115140951311187168e-04
2.709999999999999964e+00,4.470002722340118864e-04
2.720000000000000195e+00,4.429502634817618053e-04
2.729999999999999982e+00,4.140421385190515800e-04
2.740000000000000213e+00,4.369169319587923946e-04
2.750000000000000000e+00,4.272307193872227661e-04
