t, L_avg
0.000000000000000000e+00,9.999999999999705791e-01
1.000000000000000021e-02,7.993300815805021164e-01
2.000000000000000042e-02,7.761705436077552811e-01
2.999999999999999889e-02,7.033927262709172012e-01
4.000000000000000083e-02,7.885184704542230749e-01
5.000000000000000278e-02,6.617452728893444824e-01
5.999999999999999778e-02,7.762753752453455114e-01
7.000000000000000666e-02,8.050939283280451608e-01
8.000000000000000167e-02,8.414548168087265800e-01
8.999999999999999667e-02,9.319485097921784700e-01
1.000000000000000056e-01,6.939309888742217769e-01
1.100000000000000006e-01,7.560908470002347670e-01
1.199999999999999956e-01,8.117785465710029014e-01
1.300000000000000044e-01,7.499534844805100242e-01
1.400000000000000133e-01,8.278726416787058895e-01
1.499999999999999944e-01,7.074618261667520169e-01
1.600000000000000033e-01,8.443684530764811180e-01
1.700000000000000122e-01,7.456865311753915204e-01
1.799999999999999933e-01,7.964830853983830838e-01
1.900000000000000022e-01,8.274608182991640692e-01
2.000000000000000111e-01,6.965159493114496669e-01
2.099999999999999922e-01,8.444193146706764352e-01
2.200000000000000011e-01,8.789233405692037371e-01
2.300000000000000100e-01,6.482720599217072222e-01
2.399999999999999911e-01,7.393222651989159733e-01
2.500000000000000000e-01,6.728066391983975603e-01
2.600000000000000089e-01,7.297163576772500715e-01
2.700000000000000178e-01,7.047725932914733482e-01
2.800000000000000266e-01,7.700644603545396816e-01
2.899999999999999800e-01,7.904539578689218082e-01
2.999999999999999889e-01,6.373241806198395309e-01
3.099999999999999978e-01,7.718722974143261695e-01
3.200000000000000067e-01,7.286260367637715785e-01
3.300000000000000155e-01,6.297493143447321362e-01
3.400000000000000244e-01,7.216251921406229286e-01
3.500000000000000333e-01,6.332799850407881959e-01
3.599999999999999867e-01,7.068390752746072092e-01
3.699999999999999956e-01,6.415666899969140191e-01
3.800000000000000044e-01,6.055473836685032474e-01
3.900000000000000133e-01,6.960191129631476681e-01
4.000000000000000222e-01,5.717626060188027992e-01
4.100000000000000311e-01,6.473439503189162281e-01
4.199999999999999845e-01,7.762479000673155882e-01
4.299999999999999933e-01,6.217306957027002312e-01
4.400000000000000022e-01,6.395163754481363316e-01
4.500000000000000111e-01,4.927373322498030950e-01
4.600000000000000200e-01,6.100075688330321988e-01
4.700000000000000289e-01,5.637420158366961420e-01
4.799999999999999822e-01,5.426074908531522967e-01
4.899999999999999911e-01,6.112397001993814527e-01
5.000000000000000000e-01,4.862217210150227009e-01
5.100000000000000089e-01,6.193170534188385812e-01
5.200000000000000178e-01,6.615178450100074325e-01
5.300000000000000266e-01,5.037613857796805483e-01
5.400000000000000355e-01,5.274697778855950148e-01
5.500000000000000444e-01,5.412506240363998966e-01
5.600000000000000533e-01,5.452216926565535138e-01
5.700000000000000622e-01,4.774699938297143342e-01
5.799999999999999600e-01,4.497294383656440520e-01
5.899999999999999689e-01,5.385143377952145149e-01
5.999999999999999778e-01,4.982599636967824930e-01
6.099999999999999867e-01,5.156910541388908253e-01
6.199999999999999956e-01,6.339483826419787249e-01
6.300000000000000044e-01,4.259363766980613919e-01
6.400000000000000133e-01,5.075676516236343749e-01
6.500000000000000222e-01,4.794921233047370057e-01
6.600000000000000311e-01,4.534049281101489304e-01
6.700000000000000400e-01,4.349790876865367029e-01
6.800000000000000488e-01,3.683367858940059802e-01
6.900000000000000577e-01,5.252544748854002243e-01
7.000000000000000666e-01,4.003912312064923373e-01
7.099999999999999645e-01,4.106300565288464322e-01
7.199999999999999734e-01,5.596041417826171926e-01
7.299999999999999822e-01,3.557489389923003120e-01
7.399999999999999911e-01,3.894219042179747903e-01
7.500000000000000000e-01,3.704513359237237013e-01
7.600000000000000089e-01,4.007582158254464622e-01
7.700000000000000178e-01,3.476794125280528447e-01
7.800000000000000266e-01,2.903365687702227915e-01
7.900000000000000355e-01,3.756137493724657217e-01
8.000000000000000444e-01,3.133244619918074680e-01
8.100000000000000533e-01,3.251695771556604164e-01
8.200000000000000622e-01,3.931410956611535723e-01
8.300000000000000711e-01,3.174819335124918762e-01
8.399999999999999689e-01,3.135339554520583105e-01
8.499999999999999778e-01,3.746924612589052073e-01
8.599999999999999867e-01,2.757522020379873373e-01
8.699999999999999956e-01,2.759232861122546954e-01
8.800000000000000044e-01,2.375843543147951320e-01
8.900000000000000133e-01,3.165993939962684633e-01
9.000000000000000222e-01,2.555652164301378537e-01
9.100000000000000311e-01,2.511905129881646936e-01
9.200000000000000400e-01,3.535201602967869006e-01
9.300000000000000488e-01,2.177680695619544915e-01
9.400000000000000577e-01,2.244675869589390638e-01
9.500000000000000666e-01,2.783350207758432671e-01
9.599999999999999645e-01,2.161181776388552966e-01
9.699999999999999734e-01,2.366163985484425192e-01
9.799999999999999822e-01,2.035990686952757200e-01
9.899999999999999911e-01,2.303215713922134866e-01
1.000000000000000000e+00,1.863097370294641286e-01
1.010000000000000009e+00,1.874185143768641038e-01
1.020000000000000018e+00,2.504284522589790285e-01
1.030000000000000027e+00,1.910829974664322861e-01
1.040000000000000036e+00,1.878351288744864178e-01
1.050000000000000044e+00,2.314017378513293366e-01
1.060000000000000053e+00,1.693202954759120971e-01
1.070000000000000062e+00,1.688980499415224656e-01
1.080000000000000071e+00,1.469637202435091494e-01
1.090000000000000080e+00,1.776062432752559261e-01
1.100000000000000089e+00,1.520881159255134119e-01
1.110000000000000098e+00,1.495111347648770961e-01
1.120000000000000107e+00,2.010004894544509257e-01
1.130000000000000115e+00,1.271614562728408115e-01
1.140000000000000124e+00,1.371943691344789940e-01
1.150000000000000133e+00,1.532156846358572744e-01
1.159999999999999920e+00,1.199090756471892921e-01
1.169999999999999929e+00,1.241028836662950718e-01
1.179999999999999938e+00,1.300366070407191765e-01
1.189999999999999947e+00,1.262518689496374413e-01
1.199999999999999956e+00,1.308555238001822552e-01
1.209999999999999964e+00,1.048381451629413763e-01
1.219999999999999973e+00,1.459542243144982820e-01
1.229999999999999982e+00,1.030247037014748179e-01
