time_space,trajectory
0.0,(1.0000000000002782-5.940597652728789e-32j)
0.01,(0.978814374958433+2.155953434198123e-08j)
0.02,(0.9948224195647222+2.2927999217431549e-07j)
0.03,(0.9809997040181826-3.6761883002846396e-08j)
0.04,(0.9957625167950014+1.208862179688507e-07j)
0.05,(0.9862738330168092-1.4019439883933874e-07j)
0.06,(0.9869988447146452-1.1952904839799477e-08j)
0.07,(0.9898148880945165+2.291589425513183e-07j)
0.08,(0.9857394539858886-1.1999114905791083e-06j)
0.09,(0.9740114288795948-4.972986204708457e-07j)
0.1,(0.9667216367994761+9.528095044588139e-07j)
0.11,(0.9663695522390552+2.668256116789399e-07j)
0.12,(0.9576078187535874+2.755290499355579e-07j)
0.13,(0.9287633445796781+3.198292938851802e-06j)
0.14,(0.9281443298094435+6.367882934039213e-06j)
0.15,(0.9102791880989836+2.827839885993718e-07j)
0.16,(0.9037051383038331-1.37156039964822e-06j)
0.17,(0.8680769685929121-1.6088966852451893e-07j)
0.18,(0.8595093352233489-1.056656304347831e-06j)
0.19,(0.8305813858692213-1.48454237570798e-06j)
0.2,(0.8069349099199464+5.28019707064142e-06j)
0.21,(0.7840590374066364+8.04007329125661e-06j)
0.22,(0.7527968216879052+4.026243946163412e-06j)
0.23,(0.726448782575292+5.351606402449888e-08j)
0.24,(0.6898833536823737+9.596638811944591e-07j)
0.25,(0.6725072072251209-2.368978040075571e-06j)
0.26,(0.6334333859409926-1.0834714691370182e-06j)
0.27,(0.615480314228281+1.6786434890474154e-06j)
0.28,(0.5800521820510788+1.1977295235588654e-06j)
0.29,(0.5553963068613642+3.500681709533843e-08j)
0.3,(0.5416172385651723+3.5629252416137107e-06j)
0.31,(0.5265786873575701+4.714392926062014e-06j)
0.32,(0.502615170739334-8.992281195163062e-07j)
0.33,(0.4904277901873269-2.8710099901465402e-06j)
0.34,(0.48828459500791616-8.150940790684254e-07j)
0.35000000000000003,(0.4786310172438577-1.181556319411126e-07j)
0.36,(0.47348683923315027+9.018861899275497e-07j)
0.37,(0.4864742365183695+2.9380304788694504e-06j)
0.38,(0.4811158113361297+6.901080138499207e-06j)
0.39,(0.49325887355808434+4.708288651597936e-06j)
0.4,(0.5008866943492662+1.7533606942763238e-07j)
0.41000000000000003,(0.5253556610145915-1.1889381146127242e-07j)
0.42,(0.5330498889331812-3.854839159848074e-06j)
0.43,(0.5639862852780799-1.1733887630692043e-05j)
0.44,(0.565320403428301-1.1520288207373822e-05j)
0.45,(0.5909979380543341-2.218398621715229e-06j)
0.46,(0.6224374521914404+6.446610325889777e-08j)
0.47000000000000003,(0.643579857614334+1.6072983945845945e-07j)
0.48,(0.6511140422598296+3.2444589345009344e-06j)
0.49,(0.6721169715738343-3.500536755744548e-06j)
0.5,(0.683156680166664-1.7072997584607194e-05j)
0.51,(0.6922104033505371-6.811734954982882e-06j)
0.52,(0.72044906261133-4.894461428144733e-08j)
0.53,(0.7258597904866942-6.081283811748306e-06j)
0.54,(0.7035320597847093-5.82493024147512e-06j)
0.55,(0.7222690562493413+8.640588533083823e-06j)
0.56,(0.7226108301909676+9.033269306037833e-06j)
0.5700000000000001,(0.7283077872610129+2.84970039888339e-07j)
0.58,(0.7215099493800139-3.506120529296567e-08j)
0.59,(0.7074920791173709-6.585822023416881e-06j)
0.6,(0.6781324499964992-2.418147211593727e-05j)
0.61,(0.6934759951524498-1.2322442630354918e-05j)
0.62,(0.691826832507893-6.238105575327645e-06j)
0.63,(0.6534565367147812-6.144318273322306e-07j)
0.64,(0.6466583047317032-3.8392106924350894e-08j)
0.65,(0.61932736795546+8.980461398864616e-07j)
0.66,(0.5997207559220985+2.6356497533432e-06j)
0.67,(0.5995167151955605+1.9743997659042767e-06j)
0.68,(0.5952105908945473+5.25078522281019e-06j)
0.6900000000000001,(0.5411565078126629+1.269807309229916e-07j)
0.7000000000000001,(0.5264013416982214-2.7953658552694605e-07j)
0.71,(0.5253627706344401-2.179218350472575e-06j)
0.72,(0.5038479851632295-1.2696498150248458e-05j)
0.73,(0.49899769025187385-5.973216852648864e-06j)
0.74,(0.4879595227842362-4.2552833433046976e-07j)
0.75,(0.4467116204291349-5.3282361343412855e-09j)
0.76,(0.4410434904386149+3.1876411383448163e-07j)
0.77,(0.45379110641194637+1.218054421367186e-06j)
0.78,(0.4379885563336337-2.482288383040248e-07j)
0.79,(0.42126366819368294-4.765077003718676e-06j)
0.8,(0.42507262463144274-7.297130738109516e-07j)
0.81,(0.38962657267731293-2.1394331212522207e-08j)
0.8200000000000001,(0.40060469916162766-2.217810098086245e-06j)
0.8300000000000001,(0.42073571218510153+1.672298782891235e-06j)
0.84,(0.4029589972676627+4.228050606365152e-06j)
0.85,(0.3714001026710872+2.821615609137766e-06j)
0.86,(0.3880268515736397+1.3245127143102927e-06j)
0.87,(0.3786684736711855+2.2304361121637082e-07j)
0.88,(0.3760067982982332+1.3630869940355144e-06j)
0.89,(0.39177262038134897+1.2367680763391448e-06j)
0.9,(0.3615540942643048+5.284054740463691e-06j)
0.91,(0.33140551453682787-1.494613331172602e-06j)
0.92,(0.34898838287090383-5.8943846629885767e-08j)
0.93,(0.34799980155598925+1.3284051293279438e-06j)
0.9400000000000001,(0.3274865631806793+1.1322752180613787e-05j)
0.9500000000000001,(0.3219150191717348+2.2740205936438227e-05j)
0.96,(0.2965799945095861+1.820024271958738e-05j)
0.97,(0.27160598967514843+4.842311844850508e-06j)
0.98,(0.29933348655154957-7.377905980116605e-08j)
0.99,(0.29012950339660126-7.173995403458372e-07j)
1.0,(0.2525283140518232+3.959610145142201e-06j)
1.01,(0.2465790958870024+1.0001005282016205e-05j)
1.02,(0.24584413342969783+1.6288300678189887e-05j)
1.03,(0.22910365582976597+6.448829376564922e-06j)
1.04,(0.2354340354864033+7.492204545349256e-08j)
1.05,(0.2313791650465038+1.4143909678098348e-06j)
1.06,(0.1941821646395751-2.1587773720648815e-06j)
1.07,(0.19535567193042386-5.209390366408056e-06j)
1.08,(0.20111224599233557-2.2478376910982596e-06j)
1.09,(0.18933242973423386+4.6750232082212565e-07j)
1.1,(0.1862239199925961+1.2418489236985797e-07j)
1.11,(0.17869048823194075+2.2177971438801474e-06j)
1.12,(0.15363528608949487+4.835849407674164e-06j)
1.1300000000000001,(0.1612828943183312-2.4956260645935477e-06j)
1.1400000000000001,(0.17776296666401553-8.502311790911488e-06j)
1.1500000000000001,(0.15403751521604342-1.5422783052888615e-06j)
1.16,(0.1407881128774083-7.439409555357843e-07j)
1.17,(0.14272378785135797-6.067893213932375e-06j)
1.18,(0.13004201549243177-5.982485738673855e-06j)
1.19,(0.1330528478506242-2.5341762524153795e-06j)
1.2,(0.13937964219367005-4.772399065182074e-08j)
1.21,(0.1196432560667004+4.0426488045399647e-08j)
1.22,(0.10337613732080261-9.99703525005269e-08j)
1.23,(0.11299181284561391-3.908972220834318e-06j)
1.24,(0.10690281869035774-9.344885365536675e-06j)
1.25,(0.10516627172008924-6.849165615594753e-06j)
1.26,(0.10491221836476049-3.7061602439887615e-06j)
1.27,(0.08614131174943054-6.82236635056118e-08j)
1.28,(0.07718981429569036+1.5847618965176125e-07j)
1.29,(0.09094231501279706+1.169003229935646e-06j)
1.3,(0.08484986242725324-5.970170150195026e-07j)
1.31,(0.06880764651199033-1.8452102632680218e-06j)
1.32,(0.06695517403607472-7.377440597244231e-07j)
1.33,(0.05939822708396089-4.016691771950966e-08j)
1.34,(0.053270227832653866-4.215756235267262e-07j)
1.35,(0.0591875073135798+9.677862816696947e-07j)
1.36,(0.05177151624112903+7.795311321316825e-07j)
1.37,(0.0388432971377474+7.11798876651491e-07j)
1.3800000000000001,(0.03780934726229743+1.1016270344617521e-07j)
1.3900000000000001,(0.037216470838773004-1.7290544118353822e-08j)
1.4000000000000001,(0.032097741630657865-8.465057838677562e-08j)
1.41,(0.03352556765490496+3.739563155348041e-07j)
1.42,(0.028127640253293833+3.830134593775433e-07j)
1.43,(0.020363844404386416-9.286917738499303e-09j)
1.44,(0.022280796620626434+1.777942731793941e-08j)
1.45,(0.024224248913298815-4.06981726955497e-08j)
1.46,(0.019860319072337568-5.503040747284679e-07j)
1.47,(0.018714930865285882-5.155096049976158e-07j)
1.48,(0.01827143577169613-2.6074638316134316e-07j)
1.49,(0.015361500296343275+8.50792813966995e-08j)
1.5,(0.018149594057162793+2.317759384648463e-08j)
1.51,(0.0208826807975252+1.1598815492181281e-07j)
1.52,(0.016903657921554672+1.6322574154840917e-07j)
1.53,(0.01610905169899426-1.497775357440207e-08j)
1.54,(0.018479216641637677+1.6161911851303255e-07j)
1.55,(0.017614053370386303-6.740886698059282e-08j)
1.56,(0.019529876828720465+4.459301517295695e-09j)
1.57,(0.021948013378356834+2.7670365842646475e-07j)
1.58,(0.016755816365680645+4.7063516351177837e-08j)
1.59,(0.016006172780509257+1.7209073655801215e-07j)
