t, L_avg
0.000000000000000000e+00,1.000000000000143663e+00
1.000000000000000021e-02,9.962982346760782537e-01
2.000000000000000042e-02,9.946588287534590123e-01
2.999999999999999889e-02,9.948134873193446026e-01
4.000000000000000083e-02,9.951673639650554515e-01
5.000000000000000278e-02,9.947443933814262840e-01
5.999999999999999778e-02,9.920280534050379684e-01
7.000000000000000666e-02,9.907216831477593244e-01
8.000000000000000167e-02,9.929909693887334354e-01
8.999999999999999667e-02,9.853893183240975961e-01
1.000000000000000056e-01,9.874450504019987029e-01
1.100000000000000006e-01,9.910378631243013103e-01
1.199999999999999956e-01,9.832385432350896348e-01
1.300000000000000044e-01,9.779996137879533036e-01
1.400000000000000133e-01,9.749376996889380642e-01
1.499999999999999944e-01,9.842895884295763675e-01
1.600000000000000033e-01,9.833459078703867817e-01
1.700000000000000122e-01,9.761754189312035201e-01
1.799999999999999933e-01,9.757966451475770242e-01
1.900000000000000022e-01,9.637982515106860992e-01
2.000000000000000111e-01,9.673957731755419287e-01
2.099999999999999922e-01,9.593321403479244669e-01
2.200000000000000011e-01,9.488011265744914491e-01
2.300000000000000100e-01,9.530994429382932953e-01
2.399999999999999911e-01,9.346281926903321491e-01
2.500000000000000000e-01,9.371495517213956905e-01
2.600000000000000089e-01,9.320458927667936155e-01
2.700000000000000178e-01,9.295972474907597816e-01
2.800000000000000266e-01,9.181390636856816556e-01
2.899999999999999800e-01,8.958989391609895048e-01
2.999999999999999889e-01,9.017268698329308219e-01
3.099999999999999978e-01,8.895843250740027575e-01
3.200000000000000067e-01,8.832055324761943771e-01
3.300000000000000155e-01,8.678757081119725658e-01
3.400000000000000244e-01,8.642355325350414841e-01
3.500000000000000333e-01,8.528085748632918683e-01
3.599999999999999867e-01,8.400755216622876054e-01
3.699999999999999956e-01,8.336200413039229762e-01
3.800000000000000044e-01,8.155280937354429938e-01
3.900000000000000133e-01,8.056956336956678788e-01
4.000000000000000222e-01,7.966101024480567450e-01
4.100000000000000311e-01,7.930223242027725217e-01
4.199999999999999845e-01,7.685471457242365467e-01
4.299999999999999933e-01,7.576791797985797938e-01
4.400000000000000022e-01,7.632435684540004317e-01
4.500000000000000111e-01,7.442816633275785021e-01
4.600000000000000200e-01,7.340265349644231607e-01
4.700000000000000289e-01,7.270751752339619234e-01
4.799999999999999822e-01,7.285470187338159986e-01
