time_space,trajectory
0.0,(0.9999999999997851+2.4695282849353987e-29j)
0.01,(1.0165139455656091+0.9045782548484899j)
0.02,(1.1143824181325628-0.20483744227409653j)
0.03,(0.5918731590967186-0.06257836042889284j)
0.04,(0.48313394560988737+0.45009707277332117j)
0.05,(0.33513668660084056+0.05853624172366886j)
0.06,(0.7686222429100945-0.5439154635191238j)
0.07,(0.6075486357557888+0.02515419655471026j)
0.08,(0.8737308798670886-0.02283763903663225j)
0.09,(1.0273533823103795-0.5342807553047119j)
0.1,(0.5949841283726366-0.00932385677110036j)
0.11,(0.7868270291606257+1.271377952276061j)
0.12,(1.2546107481678856-0.3654531721229282j)
0.13,(0.5619520961279789-0.07051757313066663j)
0.14,(0.5154916833369739+0.6890056544721527j)
0.15,(0.6807028478957251+0.025203242714546617j)
0.16,(0.8805419133608804-0.4091491370991644j)
0.17,(0.6155731605445198-0.05121387409552475j)
0.18,(0.7716700796116007-0.09407826898497428j)
0.19,(1.1692036578352962-1.3320037813794203j)
0.2,(0.49028765021036314-0.020151582887011j)
0.21,(0.7528963072862163+0.7454287733334617j)
0.22,(0.9894359391082116-0.42179704623197906j)
0.23,(0.47748181603653883+0.010567426114211785j)
0.24,(0.41486074155994385+0.7740382265130014j)
0.25,(0.5694388035180056-0.042922028001714324j)
0.26,(0.9053347050199391-0.25955941525591847j)
0.27,(0.3622907364261366+0.10594258720959604j)
0.28,(0.9219866260233078+0.06216295372274968j)
0.29,(0.8419860946726984-1.1958232676899834j)
0.3,(0.462209111132291-0.0033779276112846546j)
0.31,(0.8204651461931168+0.6567302478306112j)
0.32,(0.9337780738696204-0.5424374013961939j)
0.33,(0.6080255440583426+0.14956639315052433j)
0.34,(0.7304209834289072+0.9109793508061067j)
0.35000000000000003,(0.39554963476472205+0.033777701369327j)
0.36,(0.5896760024210036-0.3316763809695214j)
0.37,(0.4291180259090868+0.3072179265723539j)
0.38,(0.5316590669399841+0.11149465381757213j)
0.39,(1.0937347916204812-1.148516905257486j)
0.4,(0.5417568821627472-0.017648382879520197j)
0.41000000000000003,(0.9075834500368066+0.6446864497018218j)
0.42,(1.0164418706710523-0.44973975283473294j)
0.43,(0.4488150167523793+0.07908211974254306j)
0.44,(0.9394226285930372+0.9905850877300342j)
0.45,(0.6095692961728361+0.053518080653477205j)
0.46,(0.4809964252174971-0.24568449011519736j)
0.47000000000000003,(0.6958644993345664+0.25961644090865393j)
0.48,(0.2835563689415915+0.006147129142767448j)
0.49,(0.765949145203378-0.8372698536703267j)
0.5,(0.43372682628983905-0.05159634271531977j)
0.51,(0.9633974617410028+0.4494887623154955j)
0.52,(1.3522472091138462-0.2973753641902132j)
0.53,(0.34725782989888637-0.04750360265861337j)
0.54,(0.908299771637183+1.0481872228041238j)
0.55,(0.42198012189161416+0.08242533823432861j)
0.56,(0.513946060621367+0.022616813229624715j)
0.5700000000000001,(0.6020378064810641+0.2340159158683665j)
0.58,(0.26674444964451216-0.05138061208286231j)
0.59,(0.9669126844943873-0.8236435794302436j)
0.6,(0.3044534507058758-0.016315295476380106j)
0.61,(0.6082497617796917+0.2600241653007032j)
0.62,(1.6052386005439485-0.9645404480413977j)
0.63,(0.26303472231463654-0.004664155501617015j)
0.64,(0.7225323525160199+0.5959398597814353j)
0.65,(0.4373264937907331+0.11536709878368333j)
0.66,(0.5544070428242118+0.006829389654312301j)
0.67,(0.4713155647312446+0.40830724890112313j)
0.68,(0.2198589312511178-0.052372068844247985j)
0.6900000000000001,(0.9318667648433636-0.7092548616577888j)
0.7000000000000001,(0.30322568995065197+0.03044851238462538j)
0.71,(0.6137904728873177+0.14526321511854098j)
0.72,(1.2768870282632163-1.1188339539353842j)
0.73,(0.38658330183488526+0.019129402949665517j)
0.74,(0.37601527286435676+0.2695431208777056j)
0.75,(0.4705179991021964-0.009194812368618558j)
0.76,(0.4496745631217986-0.19167563501221757j)
0.77,(0.22521593056111197+0.2278728284536287j)
0.78,(0.19464796391547756+0.002777506740366341j)
0.79,(0.566536361093274-0.6348476852288172j)
