t, L_avg
0.000000000000000000e+00,9.999999999998827604e-01
1.000000000000000021e-02,6.114670139498090684e-01
2.000000000000000042e-02,1.033952190023706752e+00
2.999999999999999889e-02,4.033888149992408412e-01
4.000000000000000083e-02,1.486046042275464552e-01
5.000000000000000278e-02,2.670231324179200283e-01
5.999999999999999778e-02,2.916691863027490728e-01
7.000000000000000666e-02,3.607531190255421905e-01
8.000000000000000167e-02,4.705923705421463099e-01
8.999999999999999667e-02,2.300696377005109483e-01
1.000000000000000056e-01,2.821759907127410205e-01
1.100000000000000006e-01,2.709008488884350752e-01
1.199999999999999956e-01,8.416526766535518123e-01
1.300000000000000044e-01,2.990009671454791906e-01
1.400000000000000133e-01,2.637553853274907656e-01
1.499999999999999944e-01,4.779118270630429155e-01
1.600000000000000033e-01,3.990777546730779890e-01
1.700000000000000122e-01,3.520257444366361455e-01
1.799999999999999933e-01,5.021422299587209315e-01
1.900000000000000022e-01,-4.805084844548621614e-01
2.000000000000000111e-01,2.401829129526136253e-01
2.099999999999999922e-01,6.550059628723901017e-01
2.200000000000000011e-01,1.209455875202443131e+00
2.300000000000000100e-01,2.359313159198275778e-01
2.399999999999999911e-01,-2.069371042600307853e-01
2.500000000000000000e-01,2.851738985249849812e-01
2.600000000000000089e-01,3.266661577716404308e-01
2.700000000000000178e-01,3.867405583517858902e-01
2.800000000000000266e-01,4.770878539842022814e-01
2.899999999999999800e-01,-1.338069148983665746e-01
2.999999999999999889e-01,2.661261268734365082e-01
3.099999999999999978e-01,6.285609849870983368e-01
3.200000000000000067e-01,1.157955350595765598e+00
3.300000000000000155e-01,3.145307944562975577e-01
3.400000000000000244e-01,-7.629749076778627459e-02
3.500000000000000333e-01,3.484704570092593823e-01
3.599999999999999867e-01,3.090809193939576538e-01
3.699999999999999956e-01,3.582634487074480845e-01
3.800000000000000044e-01,2.970692863752317225e-01
3.900000000000000133e-01,-1.308021646834094665e-01
4.000000000000000222e-01,3.925364472395170279e-01
4.100000000000000311e-01,5.968081743792138516e-01
4.199999999999999845e-01,9.931756700184724007e-01
4.299999999999999933e-01,2.248286577210543147e-01
4.400000000000000022e-01,-1.702529798529086591e-01
4.500000000000000111e-01,4.096514775849819934e-01
4.600000000000000200e-01,4.227029037428055025e-01
4.700000000000000289e-01,3.795876407664640073e-01
4.799999999999999822e-01,2.243381435686825076e-01
4.899999999999999911e-01,-3.964716916163497640e-01
5.000000000000000000e-01,2.157043738592256676e-01
5.100000000000000089e-01,5.115416673807954284e-01
5.200000000000000178e-01,1.229328770315018193e+00
5.300000000000000266e-01,2.470431018447242499e-01
5.400000000000000355e-01,-9.701233296402769768e-02
5.500000000000000444e-01,3.947047390090096530e-01
5.600000000000000533e-01,3.278554947770695449e-01
5.700000000000000622e-01,3.319270162723997331e-01
5.799999999999999600e-01,2.261689698752479827e-01
5.899999999999999689e-01,-3.370160343134451786e-01
5.999999999999999778e-01,2.245444010653138978e-01
6.099999999999999867e-01,5.437520244064609765e-01
6.199999999999999956e-01,1.006465309189136903e+00
6.300000000000000044e-01,2.565286470851597111e-01
6.400000000000000133e-01,-9.405630114530658115e-02
6.500000000000000222e-01,4.401574415161714771e-01
6.600000000000000311e-01,2.496391835195543862e-01
6.700000000000000400e-01,1.599677715073042628e-01
6.800000000000000488e-01,1.854779188711246918e-01
6.900000000000000577e-01,2.410002724702892118e-01
7.000000000000000666e-01,1.855899902000229251e-01
7.099999999999999645e-01,4.101693350806876470e-01
7.199999999999999734e-01,6.735579765033918864e-01
7.299999999999999822e-01,1.643985254046541056e-01
7.399999999999999911e-01,1.541257770189710663e-01
7.500000000000000000e-01,4.482089476652318938e-01
7.600000000000000089e-01,2.565213601643384633e-01
7.700000000000000178e-01,1.831076837234656418e-01
7.800000000000000266e-01,1.165490314583170900e-01
7.900000000000000355e-01,1.426526084848605547e-01
8.000000000000000444e-01,2.085898279345464457e-01
8.100000000000000533e-01,2.481793627232997679e-01
8.200000000000000622e-01,5.361205217731622730e-01
8.300000000000000711e-01,2.031817565254540603e-01
8.399999999999999689e-01,7.640056287464030982e-02
8.499999999999999778e-01,7.028452823002891980e-01
8.599999999999999867e-01,2.143649459827484394e-01
8.699999999999999956e-01,6.180508058575288205e-02
8.800000000000000044e-01,1.382655805894275891e-01
8.900000000000000133e-01,1.335870096858232658e-01
9.000000000000000222e-01,1.531897543613752188e-01
9.100000000000000311e-01,2.254069386729056212e-01
9.200000000000000400e-01,9.819859049588310074e-02
9.300000000000000488e-01,1.180912894484971165e-01
9.400000000000000577e-01,5.710946774747735488e-02
9.500000000000000666e-01,7.919204753128306074e-01
9.599999999999999645e-01,1.457754843178379889e-01
9.699999999999999734e-01,3.592448232901245680e-02
9.799999999999999822e-01,1.403523872693804853e-01
9.899999999999999911e-01,1.631567445865642063e-01
1.000000000000000000e+00,1.356857552322534022e-01
1.010000000000000009e+00,1.697217399600321475e-01
1.020000000000000018e+00,-2.269307496316843031e-01
1.030000000000000027e+00,1.044459594106268707e-01
1.040000000000000036e+00,1.466694700281035157e-01
1.050000000000000044e+00,1.054092302723476759e+00
1.060000000000000053e+00,9.013764616191309587e-02
1.070000000000000062e+00,1.302952911893778265e-01
1.080000000000000071e+00,3.954854458762414871e-02
1.090000000000000080e+00,2.198459250410488841e-01
1.100000000000000089e+00,1.214812749115035118e-01
1.110000000000000098e+00,6.262629347725988394e-02
1.120000000000000107e+00,-7.058661371636056059e-02
1.130000000000000115e+00,8.070894473161033256e-02
1.140000000000000124e+00,1.147201292057691557e-01
1.150000000000000133e+00,8.221307744752975877e-01
1.159999999999999920e+00,9.481637719180385782e-02
1.169999999999999929e+00,8.618764437874965045e-02
1.179999999999999938e+00,1.203685039523253730e-01
1.189999999999999947e+00,1.024664813435082061e-01
1.199999999999999956e+00,1.034107257793123458e-01
1.209999999999999964e+00,6.456645238339163428e-02
1.219999999999999973e+00,1.779466436552586961e-01
1.229999999999999982e+00,6.887284981076616242e-02
1.239999999999999991e+00,9.030618736293691273e-02
1.250000000000000000e+00,9.379577212991722091e-01
1.260000000000000009e+00,8.141312558458337068e-02
1.270000000000000018e+00,5.584524727640747394e-02
1.280000000000000027e+00,1.056271656428368899e-01
1.290000000000000036e+00,8.036997461790985897e-02
1.300000000000000044e+00,7.532057267959690883e-02
1.310000000000000053e+00,5.211966329935409370e-02
1.320000000000000062e+00,2.631900863791949985e-02
1.330000000000000071e+00,5.958456395154423935e-02
1.340000000000000080e+00,7.401822241112412937e-02
1.350000000000000089e+00,9.149799664360145357e-01
1.360000000000000098e+00,5.381559364208133439e-02
1.370000000000000107e+00,3.083898780994904013e-02
1.380000000000000115e+00,8.372014262702233423e-02
1.390000000000000124e+00,6.596075605825642285e-02
1.400000000000000133e+00,6.003804004827890256e-02
1.409999999999999920e+00,2.411378388754949198e-02
1.419999999999999929e+00,9.690829691009143765e-03
1.429999999999999938e+00,4.361138382674893677e-02
1.439999999999999947e+00,5.558952001732878068e-02
1.449999999999999956e+00,8.919962958424969557e-01
1.459999999999999964e+00,3.240918342199559932e-02
1.469999999999999973e+00,3.880686196398054622e-02
1.479999999999999982e+00,1.146872077659652350e-01
1.489999999999999991e+00,4.996015754565880790e-02
1.500000000000000000e+00,3.939396613483886478e-02
1.510000000000000009e+00,1.841239090603325260e-02
1.520000000000000018e+00,9.438050757238479471e-02
1.530000000000000027e+00,2.335632509198878881e-02
1.540000000000000036e+00,3.177725223758087747e-02
1.550000000000000044e+00,3.884291963072152298e-01
1.560000000000000053e+00,2.167013566853193476e-02
1.570000000000000062e+00,1.834213710660525729e-02
1.580000000000000071e+00,1.092375864699594301e-01
1.590000000000000080e+00,3.129407077010622207e-02
1.600000000000000089e+00,4.118589265653988668e-02
1.610000000000000098e+00,1.699515754338550011e-02
1.620000000000000107e+00,5.336739819652937256e-02
1.630000000000000115e+00,2.405856936860822221e-02
1.640000000000000124e+00,2.206483129527551240e-02
1.650000000000000133e+00,4.119655930356659335e-01
