time_space,trajectory
0.0,(0.4999999999999404-2.045364358823229e-29j)
0.01,(0.40622834283116+0.5172607398217871j)
0.02,(0.2821095923999116-0.11328728089948902j)
0.03,(0.22094469998656932-0.07894055314420649j)
0.04,(-0.329580898911613+0.2162741789558071j)
0.05,(0.08989107698771333+0.000885797150964318j)
0.06,(-0.2795020046265225-0.031187952751308017j)
0.07,(0.038344548775655164+0.038396997408208317j)
0.08,(0.3852252138076704+0.2997777179489546j)
0.09,(3.710419066871241+2.044934767793337j)
0.1,(0.07163953191772283-0.0038596201928532705j)
0.11,(2.049727016903777-5.130511009114067j)
0.12,(0.47351190935873416-2.926962624782151j)
0.13,(0.029600105006923647-0.007967427792097834j)
0.14,(0.4874704395495234-0.5154815258828117j)
0.15,(0.011646122045748724+0.0012073710488107417j)
0.16,(-0.03770542620157784+0.3677401732010465j)
0.17,(0.01825546731895367+0.044067865988401046j)
0.18,(0.2724333121295093+0.04054180752170754j)
0.19,(20.970844342609304-8.462856196728302j)
0.2,(0.02324702204448822-0.002840537039932525j)
0.21,(4.61341964521245-8.698760919594521j)
0.22,(-3.981403601414175-3.68433216566616j)
0.23,(0.012971285451260483-0.004179684993488472j)
0.24,(2.387612718474135-0.25773798738775433j)
0.25,(0.010245650169734125-4.292678964031643e-05j)
0.26,(-0.1758574801837587+0.185040678277028j)
0.27,(-0.030357248259226397+0.03618876129900868j)
0.28,(0.04788379242131167+0.002900876764319543j)
0.29,(19.444778931227397+12.94100988298576j)
0.3,(0.016661211375965605+0.004648190264661847j)
0.31,(-2.9312578638530096-0.9300773287944797j)
0.32,(-6.985905045669289-4.324082551920292j)
0.33,(0.006999344445134678-0.0048944892749459975j)
0.34,(3.4409585991364144-3.405013892068103j)
0.35000000000000003,(0.026789960744680173-0.007380373634157396j)
0.36,(-0.31534315134300034+0.07106923753676325j)
0.37,(-0.07020061551696415+0.058674476697593646j)
0.38,(0.031891241394624834+0.014275302016668752j)
0.39,(26.35675299054814-1.8938999963986767j)
0.4,(0.009239501763831127+0.0007258210293799765j)
0.41000000000000003,(-1.562163007061653-1.6213731512844336j)
0.42,(-34.60857969763733+13.343940403988956j)
0.43,(0.007097336394648618-0.002997404157883302j)
0.44,(1.8105914743122713+0.45231253541762984j)
0.45,(0.044519069809548464-0.00613509051508693j)
0.46,(-0.1156921416905482+0.053817162259083576j)
0.47000000000000003,(-0.035590023810039284-0.011983180343969058j)
0.48,(0.02347184749323378+0.002903311688408899j)
0.49,(3.8575010903534177-28.18373912600309j)
0.5,(0.008795292498757133+0.005206208102238252j)
0.51,(-0.7248958681331265-0.4481902933234243j)
