t, L_avg
0.000000000000000000e+00,4.999999999996349587e-01
1.000000000000000021e-02,3.385013695785902277e-01
2.000000000000000042e-02,4.631992694740382777e-01
2.999999999999999889e-02,1.372581735072968545e-01
4.000000000000000083e-02,-1.186981337080583593e-01
5.000000000000000278e-02,8.585018382375117496e-02
5.999999999999999778e-02,-3.331423742169813823e-02
7.000000000000000666e-02,1.012437059522838106e-02
8.000000000000000167e-02,3.644094628644709566e-01
8.999999999999999667e-02,7.363817359785820749e+00
1.000000000000000056e-01,2.490378910352061825e-02
1.100000000000000006e-01,4.321321616468427607e+00
1.199999999999999956e-01,-1.661452279180978708e+00
1.300000000000000044e-01,1.320014239686406049e-02
1.400000000000000133e-01,3.633240092443218994e-01
1.499999999999999944e-01,1.733345517191993423e-02
1.600000000000000033e-01,2.044470788409180062e-01
1.700000000000000122e-01,-1.530730496023347161e-02
1.799999999999999933e-01,7.180211433259278686e-02
1.900000000000000022e-01,-9.953444524974397467e-02
2.000000000000000111e-01,1.008449937840015173e-02
2.099999999999999922e-01,7.296594284718924683e+00
2.200000000000000011e-01,-7.077784217769172770e+00
2.300000000000000100e-01,7.050778330386680420e-03
2.399999999999999911e-01,2.151052361223155351e+00
2.500000000000000000e-01,9.087716392183272859e-03
2.600000000000000089e-01,-4.595503162609527320e-02
2.700000000000000178e-01,-3.159955755537569022e-02
2.800000000000000266e-01,1.920036975267803633e-02
2.899999999999999800e-01,4.931542762244016664e+00
2.999999999999999889e-01,2.165392168056193452e-03
3.099999999999999978e-01,1.356795324349145737e+00
3.200000000000000067e-01,-1.492362811484770369e+01
3.300000000000000155e-01,3.219794220060873385e-03
3.400000000000000244e-01,2.956960447646944878e+00
3.500000000000000333e-01,9.996193325547339525e-03
3.599999999999999867e-01,-1.702876904859640106e-01
3.699999999999999956e-01,-5.143769780597966246e-02
3.800000000000000044e-01,6.058753897543619343e-03
3.900000000000000133e-01,1.713836923243365007e+01
4.000000000000000222e-01,2.827403949486611764e-03
4.100000000000000311e-01,-7.908887233614256829e-01
4.199999999999999845e-01,-3.061008561747576096e+01
4.299999999999999933e-01,1.776562236970860229e-03
4.400000000000000022e-01,1.854409943171257513e+00
4.500000000000000111e-01,1.768419754900379948e-02
4.600000000000000200e-01,-9.892953773039764309e-02
4.700000000000000289e-01,-4.641335666567455998e-02
4.799999999999999822e-01,4.653364810890995955e-03
4.899999999999999911e-01,1.323902859636490348e+01
5.000000000000000000e-01,4.160585377410591992e-03
5.100000000000000089e-01,-9.282264692662662853e-01
5.200000000000000178e-01,-6.688553929152715227e+01
5.300000000000000266e-01,2.641615638875254718e-03
5.400000000000000355e-01,1.487516288987312363e+00
5.500000000000000444e-01,5.157872869784062286e-02
5.600000000000000533e-01,-4.619281795847883509e-02
5.700000000000000622e-01,-8.096670764669702813e-02
5.799999999999999600e-01,1.021965645135350636e-03
5.899999999999999689e-01,1.254996858349828415e+01
5.999999999999999778e-01,4.120990772427649343e-03
6.099999999999999867e-01,-3.603060415941528594e-01
6.199999999999999956e-01,-1.983814684497910363e+01
6.300000000000000044e-01,9.068385499084721454e-04
6.400000000000000133e-01,9.189430818671024959e-01
6.500000000000000222e-01,1.336244266764389510e-01
6.600000000000000311e-01,-1.104401822537833325e-02
6.700000000000000400e-01,-6.119606277464910427e-02
6.800000000000000488e-01,1.279585508344289156e-03
6.900000000000000577e-01,2.124761998605369229e+01
7.000000000000000666e-01,4.334480975996192649e-03
7.099999999999999645e-01,-4.464400041101394129e-02
7.199999999999999734e-01,1.073427300179130498e+03
7.299999999999999822e-01,1.574364071228050339e-03
7.399999999999999911e-01,1.258614996926687768e+00
7.500000000000000000e-01,2.940422631378504792e-01
7.600000000000000089e-01,-4.427498934223949700e-05
7.700000000000000178e-01,-1.062260751585881458e-01
7.800000000000000266e-01,1.036282518973684905e-03
7.900000000000000355e-01,7.144609817584495204e+00
8.000000000000000444e-01,5.591867755105485449e-03
8.100000000000000533e-01,-3.813816772490956873e-03
8.200000000000000622e-01,9.027277663830459460e+02
8.300000000000000711e-01,1.658833723662345074e-03
8.399999999999999689e-01,4.892139901021498871e-01
8.499999999999999778e-01,8.362865576276840018e-01
8.599999999999999867e-01,-7.132115375175500545e-04
8.699999999999999956e-01,1.454956068323086903e-02
8.800000000000000044e-01,2.450558826607303689e-03
8.900000000000000133e-01,3.019080395831477581e+00
9.000000000000000222e-01,3.318361845426411744e-03
9.100000000000000311e-01,7.138032149733465961e-03
9.200000000000000400e-01,8.736047386092207034e+02
9.300000000000000488e-01,2.408616344197589410e-03
9.400000000000000577e-01,1.518287710806204838e-01
