time_space,trajectory
0.0,(1.000000000000539-2.8609558415929425e-32j)
0.01,(0.9899476313880086+1.1240646663048977e-07j)
0.02,(0.9963140757009477+1.0967867114830824e-06j)
0.03,(0.9909101447318137-2.911750859251769e-07j)
0.04,(0.9928943524624991-1.2412655418336629e-06j)
0.05,(0.9932785027873905+1.3250817884935098e-06j)
0.06,(0.9883849171530791+2.08686802923958e-07j)
0.07,(0.9911597276449111+1.24340660064726e-06j)
0.08,(0.9874097748040584-7.928023218563568e-07j)
0.09,(0.9898210718432098+1.722107530802156e-05j)
0.1,(0.9888464041479128+3.0143573460815057e-06j)
0.11,(0.9854207234159363-2.6837308054314414e-06j)
0.12,(0.9835043297519405-1.0366806482955515e-06j)
0.13,(0.9844056544722796+1.3985656169350652e-05j)
0.14,(0.9839313124138052+1.6574410945973852e-05j)
0.15,(0.9842646123590729-1.488759265011841e-05j)
0.16,(0.9833426567777488-8.589357261401049e-06j)
0.17,(0.9869011912322552+3.4604425624360924e-07j)
0.18,(0.9801782076431594+4.372409324471983e-06j)
0.19,(0.9700496523519148+2.6094677734144262e-05j)
0.2,(0.973640109420712-1.036713936171175e-05j)
0.21,(0.964719991244748-3.928321199990719e-05j)
0.22,(0.9635856358103652+3.885610838462349e-06j)
0.23,(0.9601615426718454+4.876954230963886e-07j)
0.24,(0.96463763035722-5.831996951477547e-06j)
0.25,(0.9579072995948494-6.203242013026522e-05j)
0.26,(0.948606699335081-1.387915454170764e-05j)
0.27,(0.9569122148272162+2.2772444551418163e-05j)
0.28,(0.9427991586544764-5.636902338715121e-06j)
0.29,(0.940974920893277-5.250387537810147e-07j)
0.3,(0.9405812541499446-5.76959881652752e-06j)
0.31,(0.9417979229475287-2.2703759499579963e-05j)
0.32,(0.9277415931825211-2.4293980707222994e-05j)
0.33,(0.9227900461069618-3.6574240863830366e-06j)
0.34,(0.9298153277758004-1.2035831852274803e-06j)
0.35000000000000003,(0.9152563795474496+4.0018461168778326e-07j)
0.36,(0.9038257187884532+3.0693586339865684e-05j)
0.37,(0.9111631021741918+4.013151231880473e-05j)
0.38,(0.9016116487680285-1.2565529998852335e-05j)
0.39,(0.8804547933587468+7.240127786391064e-06j)
0.4,(0.8799319215462017+4.406630345842051e-06j)
