t, L_avg
0.000000000000000000e+00,1.000000000000368150e+00
1.000000000000000021e-02,9.940971218428009681e-01
2.000000000000000042e-02,9.940564608112216760e-01
2.999999999999999889e-02,9.911524047016830874e-01
4.000000000000000083e-02,9.928825987033479405e-01
5.000000000000000278e-02,9.946487192184034765e-01
5.999999999999999778e-02,9.889151720297870707e-01
7.000000000000000666e-02,9.914019139757587196e-01
8.000000000000000167e-02,9.882498437772400113e-01
8.999999999999999667e-02,9.884606168278126104e-01
1.000000000000000056e-01,9.865492409993488199e-01
1.100000000000000006e-01,9.852192880071071190e-01
1.199999999999999956e-01,9.859612246850564254e-01
1.300000000000000044e-01,9.725652190644999973e-01
1.400000000000000133e-01,9.747283473107712926e-01
1.499999999999999944e-01,9.774823145947785230e-01
1.600000000000000033e-01,9.771877756233375845e-01
1.700000000000000122e-01,9.570771859809132920e-01
1.799999999999999933e-01,9.630547967681257759e-01
1.900000000000000022e-01,9.701889561075844881e-01
2.000000000000000111e-01,9.771928729663793556e-01
2.099999999999999922e-01,9.656220952540857105e-01
2.200000000000000011e-01,9.507564288346810333e-01
2.300000000000000100e-01,9.658903703860615142e-01
2.399999999999999911e-01,9.679069213370878888e-01
2.500000000000000000e-01,9.541508298183221104e-01
2.600000000000000089e-01,9.472072411470027209e-01
2.700000000000000178e-01,9.192059831728992547e-01
2.800000000000000266e-01,9.094575219630026686e-01
2.899999999999999800e-01,9.086712548109053822e-01
2.999999999999999889e-01,9.305162871664902635e-01
3.099999999999999978e-01,8.969741768755359335e-01
3.200000000000000067e-01,8.702059377145703323e-01
3.300000000000000155e-01,8.475186245489281234e-01
3.400000000000000244e-01,8.732648700072496162e-01
3.500000000000000333e-01,9.134999675122890128e-01
3.599999999999999867e-01,9.008341098091339205e-01
3.699999999999999956e-01,8.572265113993250418e-01
3.800000000000000044e-01,8.281729969436659733e-01
3.900000000000000133e-01,8.544947641159867935e-01
4.000000000000000222e-01,8.868340228069174769e-01
4.100000000000000311e-01,8.838751863879823478e-01
4.199999999999999845e-01,8.099938745603426637e-01
4.299999999999999933e-01,7.932700215774186603e-01
4.400000000000000022e-01,8.223563089699070794e-01
4.500000000000000111e-01,8.514363811482101863e-01
4.600000000000000200e-01,8.306169916047261292e-01
4.700000000000000289e-01,8.314617343732917387e-01
4.799999999999999822e-01,8.218618225513596443e-01
4.899999999999999911e-01,7.844533556556179121e-01
5.000000000000000000e-01,7.711998164827713609e-01
5.100000000000000089e-01,7.381764948817869376e-01
5.200000000000000178e-01,6.971772361279575669e-01
5.300000000000000266e-01,7.006199579733960459e-01
5.400000000000000355e-01,6.428358506989161336e-01
5.500000000000000444e-01,7.212604192595439834e-01
5.600000000000000533e-01,7.145876469704035561e-01
5.700000000000000622e-01,6.547279458228136839e-01
5.799999999999999600e-01,6.609084056163700982e-01
5.899999999999999689e-01,6.762914692223531699e-01
5.999999999999999778e-01,7.290815044555805091e-01
6.099999999999999867e-01,7.113551383755152280e-01
6.199999999999999956e-01,6.379858353936580517e-01
6.300000000000000044e-01,6.702194588407976994e-01
6.400000000000000133e-01,6.386158014226036572e-01
6.500000000000000222e-01,7.034808758104131865e-01
6.600000000000000311e-01,6.677734949867266678e-01
6.700000000000000400e-01,5.928107369705462038e-01
6.800000000000000488e-01,6.496360749331071549e-01
6.900000000000000577e-01,6.228538517224513349e-01
7.000000000000000666e-01,6.143843781017045425e-01
7.099999999999999645e-01,6.101196475228392035e-01
7.199999999999999734e-01,5.785077100418380969e-01
7.299999999999999822e-01,5.292690539940341221e-01
7.399999999999999911e-01,4.545836908781410446e-01
7.500000000000000000e-01,5.526328066145762552e-01
7.600000000000000089e-01,5.237011000960906104e-01
7.700000000000000178e-01,5.091590344277594493e-01
7.800000000000000266e-01,5.062483220939439921e-01
7.900000000000000355e-01,4.377808673412115215e-01
8.000000000000000444e-01,5.368703072458671510e-01
8.100000000000000533e-01,5.202926026090570755e-01
8.200000000000000622e-01,5.040195466953527603e-01
8.300000000000000711e-01,4.877800028272989419e-01
8.399999999999999689e-01,5.167272076012212612e-01
8.499999999999999778e-01,5.156233357897134217e-01
8.599999999999999867e-01,4.928503468166379742e-01
8.699999999999999956e-01,4.596501996770764875e-01
8.800000000000000044e-01,4.729590894780464350e-01
8.900000000000000133e-01,4.251263689841728866e-01
9.000000000000000222e-01,4.181883682643928735e-01
9.100000000000000311e-01,4.067751024109553803e-01
9.200000000000000400e-01,3.882234340970497910e-01
9.300000000000000488e-01,3.535127401850406970e-01
9.400000000000000577e-01,3.337246501326215364e-01
9.500000000000000666e-01,3.665425775895471139e-01
9.599999999999999645e-01,3.617691076985994347e-01
9.699999999999999734e-01,2.979970565597247489e-01
9.799999999999999822e-01,2.836409518303089072e-01
9.899999999999999911e-01,2.619402657237037690e-01
1.000000000000000000e+00,3.281816094352455471e-01
1.010000000000000009e+00,3.048365507461497925e-01
1.020000000000000018e+00,2.602496354715085891e-01
1.030000000000000027e+00,2.379722224028559818e-01
1.040000000000000036e+00,2.781445735756918891e-01
1.050000000000000044e+00,2.703438190832988530e-01
1.060000000000000053e+00,2.920958432737265076e-01
1.070000000000000062e+00,2.609395278177151223e-01
1.080000000000000071e+00,2.513926449284057396e-01
1.090000000000000080e+00,2.535680222155937136e-01
1.100000000000000089e+00,2.733585187053709231e-01
1.110000000000000098e+00,2.526406807353248629e-01
1.120000000000000107e+00,2.097141264735477018e-01
1.130000000000000115e+00,2.103857738214235940e-01
1.140000000000000124e+00,1.730715026279579516e-01
1.150000000000000133e+00,2.191023954635445414e-01
