time_space,trajectory
0.0,(1.0000000000001208+1.7427672114084607e-32j)
0.01,(0.9807941798536232-1.1666656689416484e-06j)
0.02,(0.9831577096821775-1.4472950500531154e-05j)
0.03,(0.9732170290581482-4.4967890796448874e-06j)
0.04,(0.975819975336581+9.633328606908517e-06j)
0.05,(0.991201160207062-1.5718447006744812e-06j)
0.06,(0.9842093815477515-9.631467275478021e-08j)
0.07,(0.9873646518871756+2.2524148341241786e-05j)
0.08,(0.9596778393034112+3.291575160975573e-05j)
0.09,(0.9755065094288913-5.109371845389204e-06j)
0.1,(0.9926232846869903-1.4398056791817915e-05j)
0.11,(0.9798364651124248-3.4039283683169976e-06j)
0.12,(0.9767764111181299-2.8459539684662656e-06j)
0.13,(0.9608844472804847-2.039154341311047e-05j)
0.14,(0.959435573202653-1.4434661339221509e-05j)
0.15,(0.9820053763331928+7.318362054153925e-05j)
0.16,(0.9754107262604391+6.128409290260966e-05j)
0.17,(0.9572322429157684+9.462566025265107e-07j)
0.18,(0.9666892686984697-3.2138241380021254e-06j)
0.19,(0.9357507444743095-2.1998282577662304e-05j)
0.2,(0.9569503647638695-2.9140672873638656e-05j)
0.21,(0.9572321827000649+3.4737390371307687e-06j)
0.22,(0.9299168588798719-1.1213213340048976e-05j)
0.23,(0.937808284367548-1.2220397229022307e-06j)
0.24,(0.9055703308970211+2.3869019536393805e-05j)
0.25,(0.9190063015039589+0.00018133878516703143j)
0.26,(0.9075605889808147-1.8283666493862216e-06j)
0.27,(0.9082067709284778-2.307079316628468e-05j)
0.28,(0.8900657424601811+1.159639022599213e-06j)
0.29,(0.852888827692592+1.901528267379741e-07j)
0.3,(0.8802225211332748-1.676509676472482e-05j)
0.31,(0.8627959494339004+6.851314092769406e-05j)
0.32,(0.849608522467269-5.234152140253383e-05j)
0.33,(0.8362890016718101+6.797037548001698e-05j)
0.34,(0.819544618127299+1.867442769496414e-05j)
0.35000000000000003,(0.8100653954511258-2.0317293461731305e-06j)
0.36,(0.8160230350812724-1.9034981913525675e-05j)
0.37,(0.7983461840076225+5.966517309378547e-05j)
0.38,(0.7628979632090185-2.8884352742648103e-05j)
0.39,(0.7769684975928037-5.572316120926449e-05j)
0.4,(0.7490076850857862-1.019918181241599e-05j)
0.41000000000000003,(0.7399659988646373+7.76169409862212e-06j)
0.42,(0.7366477038278114+0.00015622416134153394j)
0.43,(0.7078053347671439+5.145093141124853e-05j)
0.44,(0.6966046387026724-5.3024259888623384e-05j)
0.45,(0.6894526074995047-1.771976486059427e-05j)
0.46,(0.6761737628227973+2.1140404814804936e-06j)
0.47000000000000003,(0.649600423886201-5.01326508236737e-06j)
0.48,(0.661133083745398-2.8212922954103776e-05j)
0.49,(0.6328455547392254-0.00014998628753495536j)
0.5,(0.6107092278003676+4.616895293080521e-05j)
0.51,(0.6289475497754784+5.6754093535816834e-05j)
0.52,(0.5979096454797752-2.5867952916252833e-07j)
0.53,(0.5872253025639368-3.900157393965597e-06j)
0.54,(0.5880014793503991-5.481849214825562e-05j)
0.55,(0.5790662497764201-1.5380671080975903e-05j)
0.56,(0.5602538112947317-0.000126460600181381j)
0.5700000000000001,(0.5670694833418644-4.5304098579213e-05j)
0.58,(0.5586066098907901+5.635235782139446e-06j)
0.59,(0.5324933808298423+0.00010175376317345363j)
0.6,(0.5613729723055483-2.490083201462226e-05j)
0.61,(0.5497237361591601+6.982396116574614e-05j)
0.62,(0.5211128349298042-3.7534483175816026e-06j)
0.63,(0.5473301530829848-1.2277267024131345e-05j)
