t, L_avg
0.000000000000000000e+00,1.000000000000088818e+00
1.000000000000000021e-02,9.884576494850454420e-01
2.000000000000000042e-02,9.867992507435321414e-01
2.999999999999999889e-02,9.877699943914355352e-01
4.000000000000000083e-02,9.845508259737411061e-01
5.000000000000000278e-02,9.918842082253168657e-01
5.999999999999999778e-02,9.834715908482161151e-01
7.000000000000000666e-02,9.876343083787942900e-01
8.000000000000000167e-02,9.810884117467914001e-01
8.999999999999999667e-02,9.702656965340110684e-01
1.000000000000000056e-01,9.702339970562245952e-01
1.100000000000000006e-01,9.772572936309695812e-01
1.199999999999999956e-01,9.738085040035439066e-01
1.300000000000000044e-01,9.568570428349664203e-01
1.400000000000000133e-01,9.478648078097531293e-01
1.499999999999999944e-01,9.489529060628683066e-01
1.600000000000000033e-01,9.576099067228598383e-01
1.700000000000000122e-01,9.189655533603662274e-01
1.799999999999999933e-01,9.493823310998918963e-01
1.900000000000000022e-01,9.309099205798934129e-01
2.000000000000000111e-01,9.659056099612712831e-01
2.099999999999999922e-01,9.285204349548388247e-01
2.200000000000000011e-01,9.345722603330387512e-01
2.300000000000000100e-01,9.518773104726645506e-01
2.399999999999999911e-01,9.328714868143661576e-01
2.500000000000000000e-01,9.488667675771513821e-01
2.600000000000000089e-01,9.160939633954929828e-01
2.700000000000000178e-01,8.867741456238805720e-01
2.800000000000000266e-01,9.310628560649778507e-01
2.899999999999999800e-01,8.753767189007980454e-01
2.999999999999999889e-01,8.847340075888310285e-01
3.099999999999999978e-01,8.706610748027592273e-01
3.200000000000000067e-01,9.039286465498890255e-01
3.300000000000000155e-01,8.613042392541393477e-01
3.400000000000000244e-01,8.503680349589932685e-01
3.500000000000000333e-01,8.339659535168024718e-01
3.599999999999999867e-01,8.375591302864378029e-01
3.699999999999999956e-01,8.122924229170370714e-01
3.800000000000000044e-01,7.662909146478936728e-01
3.900000000000000133e-01,7.833103178360077967e-01
4.000000000000000222e-01,8.241371978851508295e-01
4.100000000000000311e-01,7.447412432773232727e-01
4.199999999999999845e-01,7.647361517490970373e-01
4.299999999999999933e-01,7.913811775056162068e-01
4.400000000000000022e-01,8.005798873591780662e-01
4.500000000000000111e-01,7.853408398905822319e-01
4.600000000000000200e-01,7.791915710489878411e-01
4.700000000000000289e-01,8.041936925434359784e-01
4.799999999999999822e-01,7.913556301057937947e-01
4.899999999999999911e-01,7.692051014245429030e-01
5.000000000000000000e-01,7.680609896479212440e-01
5.100000000000000089e-01,7.409600188454802394e-01
5.200000000000000178e-01,7.369617343046839242e-01
5.300000000000000266e-01,7.314978086082890574e-01
5.400000000000000355e-01,6.634429087624231780e-01
5.500000000000000444e-01,6.967529480054430735e-01
5.600000000000000533e-01,7.081951560852969285e-01
5.700000000000000622e-01,6.689611914287094674e-01
5.799999999999999600e-01,6.597501164204565560e-01
5.899999999999999689e-01,6.337691073708824341e-01
5.999999999999999778e-01,5.959229212421821575e-01
6.099999999999999867e-01,5.649773347835188586e-01
6.199999999999999956e-01,5.365653886408370266e-01
6.300000000000000044e-01,5.482497802483969895e-01
6.400000000000000133e-01,5.539290130003664547e-01
6.500000000000000222e-01,5.204772278796927498e-01
6.600000000000000311e-01,5.412192956818546730e-01
6.700000000000000400e-01,5.570711399910084349e-01
6.800000000000000488e-01,5.519418360044987537e-01
6.900000000000000577e-01,5.578264053284620605e-01
7.000000000000000666e-01,5.360758362686608436e-01
7.099999999999999645e-01,5.288513282713007690e-01
7.199999999999999734e-01,5.358525232388128279e-01
7.299999999999999822e-01,5.229009545545488802e-01
7.399999999999999911e-01,5.071885376175353510e-01
7.500000000000000000e-01,5.130243542120005440e-01
7.600000000000000089e-01,5.103959089382241743e-01
7.700000000000000178e-01,4.850895375179480329e-01
7.800000000000000266e-01,4.892304368295606887e-01
7.900000000000000355e-01,4.717611943581745404e-01
8.000000000000000444e-01,4.600596227478781497e-01
8.100000000000000533e-01,4.901380738587742814e-01
8.200000000000000622e-01,4.909686752185263292e-01
8.300000000000000711e-01,4.502584266769036336e-01
8.399999999999999689e-01,4.301986299574060424e-01
8.499999999999999778e-01,4.142706303954130087e-01
8.599999999999999867e-01,3.914569424871652270e-01
8.699999999999999956e-01,3.999590988318086904e-01
8.800000000000000044e-01,3.848215093051882141e-01
8.900000000000000133e-01,3.557147555010116702e-01
9.000000000000000222e-01,3.441731431449384093e-01
9.100000000000000311e-01,3.150786115612761451e-01
9.200000000000000400e-01,2.995875844313361513e-01
9.300000000000000488e-01,3.132321762322070602e-01
9.400000000000000577e-01,3.108353776604134699e-01
9.500000000000000666e-01,2.816741050515630951e-01
9.599999999999999645e-01,2.863679958148421800e-01
9.699999999999999734e-01,2.755658481668958326e-01
9.799999999999999822e-01,2.517452240984392464e-01
9.899999999999999911e-01,2.553568562265609021e-01
1.000000000000000000e+00,2.392397372377398912e-01
1.010000000000000009e+00,2.223408947841572780e-01
1.020000000000000018e+00,2.265853835364113333e-01
1.030000000000000027e+00,2.179087824747233393e-01
1.040000000000000036e+00,2.158498449377338757e-01
1.050000000000000044e+00,2.140002076057063718e-01
1.060000000000000053e+00,2.079402334320930579e-01
1.070000000000000062e+00,1.979715082672711679e-01
1.080000000000000071e+00,1.860907270328104324e-01
1.090000000000000080e+00,1.721085742623081061e-01
1.100000000000000089e+00,1.505619920441399751e-01
1.110000000000000098e+00,1.237890380880446867e-01
1.120000000000000107e+00,1.485235151601581594e-01
1.130000000000000115e+00,1.184327752706041681e-01
1.140000000000000124e+00,1.190335991682920785e-01
1.150000000000000133e+00,1.150084793453412524e-01
1.159999999999999920e+00,1.089764477366575168e-01
1.169999999999999929e+00,1.131557138311828636e-01
1.179999999999999938e+00,1.292649987789059041e-01
1.189999999999999947e+00,1.290178980885362259e-01
1.199999999999999956e+00,1.263243998939212742e-01
1.209999999999999964e+00,1.243576040142529010e-01
1.219999999999999973e+00,1.157704079269448599e-01
1.229999999999999982e+00,1.142620909789801298e-01
1.239999999999999991e+00,1.134803011867153988e-01
1.250000000000000000e+00,1.091184677034550410e-01
1.260000000000000009e+00,1.039294612272323309e-01
1.270000000000000018e+00,1.078288657917359505e-01
1.280000000000000027e+00,1.042053798120730346e-01
1.290000000000000036e+00,9.232315606473945335e-02
1.300000000000000044e+00,9.257211507400571471e-02
1.310000000000000053e+00,1.002087841369602578e-01
1.320000000000000062e+00,9.379343863303465922e-02
1.330000000000000071e+00,9.482631275171819751e-02
1.340000000000000080e+00,9.286303669425610696e-02
1.350000000000000089e+00,7.618785846425539521e-02
1.360000000000000098e+00,6.551418663477645565e-02
1.370000000000000107e+00,6.923187285190580964e-02
1.380000000000000115e+00,7.469453632804168297e-02
1.390000000000000124e+00,7.993103992609421060e-02
1.400000000000000133e+00,7.253462192457371671e-02
1.409999999999999920e+00,7.427728800741056903e-02
1.419999999999999929e+00,7.157883581959451069e-02
1.429999999999999938e+00,6.567404909941657043e-02
1.439999999999999947e+00,7.451498896292051144e-02
1.449999999999999956e+00,6.617736468109239323e-02
1.459999999999999964e+00,5.971891984724479741e-02
1.469999999999999973e+00,5.945487430975360948e-02
1.479999999999999982e+00,5.318256720325681419e-02
1.489999999999999991e+00,5.460221897382219747e-02
1.500000000000000000e+00,5.025182924644944898e-02
1.510000000000000009e+00,4.095614166937405071e-02
1.520000000000000018e+00,3.814046329776044075e-02
1.530000000000000027e+00,2.833167295719129022e-02
1.540000000000000036e+00,3.097273640543284773e-02
1.550000000000000044e+00,2.722857434247834968e-02
1.560000000000000053e+00,2.535792262283675588e-02
1.570000000000000062e+00,2.948783553602507546e-02
1.580000000000000071e+00,2.283901306466121217e-02
1.590000000000000080e+00,2.336162561072410021e-02
1.600000000000000089e+00,2.620570857083821814e-02
1.610000000000000098e+00,2.354853660821992767e-02
1.620000000000000107e+00,2.110542209993095802e-02
1.630000000000000115e+00,2.170939844432947033e-02
1.640000000000000124e+00,1.629056283603419128e-02
1.650000000000000133e+00,1.834414914006265995e-02
1.660000000000000142e+00,1.748296471729288842e-02
1.669999999999999929e+00,1.794608486168113026e-02
1.679999999999999938e+00,2.406985534562602544e-02
1.689999999999999947e+00,3.108483071222705590e-02
1.699999999999999956e+00,3.076684424244737620e-02
1.709999999999999964e+00,2.976768529507382161e-02
1.719999999999999973e+00,2.812586949558762428e-02
1.729999999999999982e+00,2.607798285473476863e-02
1.739999999999999991e+00,2.416283137475083720e-02
1.750000000000000000e+00,2.207013378329471948e-02
1.760000000000000009e+00,2.016314690919165237e-02
1.770000000000000018e+00,1.967787645214238990e-02
1.780000000000000027e+00,1.843149462492879587e-02
1.790000000000000036e+00,1.802865514709989236e-02
1.800000000000000044e+00,1.746831957002311503e-02
1.810000000000000053e+00,1.839622814066070935e-02
1.820000000000000062e+00,1.979819040919950784e-02
1.830000000000000071e+00,1.995764099414425868e-02
1.840000000000000080e+00,2.179979972182399459e-02
1.850000000000000089e+00,2.202138380250564381e-02
1.860000000000000098e+00,2.292758580170354762e-02
1.870000000000000107e+00,2.228858866206507791e-02
1.880000000000000115e+00,1.967368170415878526e-02
1.890000000000000124e+00,1.822328042581897872e-02
1.900000000000000133e+00,1.773284407218332290e-02
1.910000000000000142e+00,1.801777095834683137e-02
1.919999999999999929e+00,1.885953428679579963e-02
1.929999999999999938e+00,2.040723478507450520e-02
1.939999999999999947e+00,1.907511382942853051e-02
1.949999999999999956e+00,1.876900293145784132e-02
1.959999999999999964e+00,1.722900190291090650e-02
1.969999999999999973e+00,1.561099310296231411e-02
1.979999999999999982e+00,1.346988942537216682e-02
1.989999999999999991e+00,1.154598709919739397e-02
2.000000000000000000e+00,9.950621788957962968e-03
2.010000000000000231e+00,8.574204562127613755e-03
2.020000000000000018e+00,7.435130027741864225e-03
2.030000000000000249e+00,6.646700971285204353e-03
2.040000000000000036e+00,6.074350721670391043e-03
2.049999999999999822e+00,5.628869546320101024e-03
2.060000000000000053e+00,5.230455734968698055e-03
2.069999999999999840e+00,5.139928883886771271e-03
2.080000000000000071e+00,4.622753890441377161e-03
2.089999999999999858e+00,4.364546422426660022e-03
2.100000000000000089e+00,4.090038700253232837e-03
2.109999999999999876e+00,3.852162085386033868e-03
2.120000000000000107e+00,3.670451626165125315e-03
2.129999999999999893e+00,3.542078164788090879e-03
2.140000000000000124e+00,3.530086263602538223e-03
2.149999999999999911e+00,3.616079577916230837e-03
2.160000000000000142e+00,3.790774013874938751e-03
2.169999999999999929e+00,3.992005348463344844e-03
2.180000000000000160e+00,4.196425568624762015e-03
2.189999999999999947e+00,4.367330317298756710e-03
2.200000000000000178e+00,4.366175360732377914e-03
2.209999999999999964e+00,4.043316295515136591e-03
2.220000000000000195e+00,3.330703691363156790e-03
2.229999999999999982e+00,3.116146082006888453e-03
2.240000000000000213e+00,2.491712417251649991e-03
2.250000000000000000e+00,2.398580053501120184e-03
2.260000000000000231e+00,1.798730014743007716e-03
2.270000000000000018e+00,1.550135499250443298e-03
2.280000000000000249e+00,1.609496487160611304e-03
2.290000000000000036e+00,1.240977847299933870e-03
2.300000000000000266e+00,1.394869341796965484e-03
2.310000000000000053e+00,1.406636790751102355e-03
2.319999999999999840e+00,1.281718410447911169e-03
2.330000000000000071e+00,1.474131340953937445e-03
2.339999999999999858e+00,1.495982787419775951e-03
2.350000000000000089e+00,1.493695348058091642e-03
2.359999999999999876e+00,1.549826885667207783e-03
2.370000000000000107e+00,1.169127535217806980e-03
2.379999999999999893e+00,1.218706623648295722e-03
2.390000000000000124e+00,1.080065475625990477e-03
2.399999999999999911e+00,9.013584147924112461e-04
2.410000000000000142e+00,1.066122117854009397e-03
2.419999999999999929e+00,8.791572243509541409e-04
2.430000000000000160e+00,9.111431487055618623e-04
2.439999999999999947e+00,9.982036797130710085e-04
2.450000000000000178e+00,1.000314096633990717e-03
2.459999999999999964e+00,1.018381430095356959e-03
2.470000000000000195e+00,9.388553945701451613e-04
2.479999999999999982e+00,8.790317343071400030e-04
2.490000000000000213e+00,7.355237504562887711e-04
2.500000000000000000e+00,6.338361839522336887e-04
2.510000000000000231e+00,6.140773291519497105e-04
2.520000000000000018e+00,5.853415099315135376e-04
2.530000000000000249e+00,5.053627908864751026e-04
2.540000000000000036e+00,5.832701314979611652e-04
2.550000000000000266e+00,6.083070707813566756e-04
2.560000000000000053e+00,6.479688682859276010e-04
2.569999999999999840e+00,7.823006672899438831e-04
2.580000000000000071e+00,8.108899137418863756e-04
2.589999999999999858e+00,9.004080139638064592e-04
2.600000000000000089e+00,9.320694819808783820e-04
2.609999999999999876e+00,8.958679545754382866e-04
2.620000000000000107e+00,8.245164496373525971e-04
2.629999999999999893e+00,7.437291173727144603e-04
2.640000000000000124e+00,6.799828158672232637e-04
2.649999999999999911e+00,6.295823954240521757e-04
2.660000000000000142e+00,5.900016017175023671e-04
2.669999999999999929e+00,5.674309871391315652e-04
2.680000000000000160e+00,5.721004788280450049e-04
2.689999999999999947e+00,6.030449866160638665e-04
2.700000000000000178e+00,6.198863205124638398e-04
2.709999999999999964e+00,6.501722510545636076e-04
2.720000000000000195e+00,6.457266287984277185e-04
2.729999999999999982e+00,6.442202161045073715e-04
2.740000000000000213e+00,6.029569039099289809e-04
2.750000000000000000e+00,5.418577760153007105e-04
2.760000000000000231e+00,5.465474045797009961e-04
2.770000000000000018e+00,4.879126081654240133e-04
2.780000000000000249e+00,4.469164785303482695e-04
2.790000000000000036e+00,4.532029794645912359e-04
2.800000000000000266e+00,4.396393569425840206e-04
2.810000000000000053e+00,4.064695242978450624e-04
2.819999999999999840e+00,4.184195956316340281e-04
2.830000000000000071e+00,4.099521577992910979e-04
2.839999999999999858e+00,3.899820414686114029e-04
2.850000000000000089e+00,3.788455325445256715e-04
2.859999999999999876e+00,3.400818889517189295e-04
2.870000000000000107e+00,3.251220454761190272e-04
2.879999999999999893e+00,2.922869139365169610e-04
2.890000000000000124e+00,2.570053144574353885e-04
2.899999999999999911e+00,2.427192448881170461e-04
2.910000000000000142e+00,2.147876862613644420e-04
2.919999999999999929e+00,1.955687730295636417e-04
2.930000000000000160e+00,1.900382491615910030e-04
2.939999999999999947e+00,1.700245721779357930e-04
2.950000000000000178e+00,1.663953117678372497e-04
2.959999999999999964e+00,1.575710492874752644e-04
2.970000000000000195e+00,1.352056354133790352e-04
2.979999999999999982e+00,1.323775521915300057e-04
2.990000000000000213e+00,1.193736571186860271e-04
3.000000000000000000e+00,9.792914653048680402e-05
3.010000000000000231e+00,9.455159303770724918e-05
3.020000000000000018e+00,8.286904236667826280e-05
3.030000000000000249e+00,6.975869629297055214e-05
