time_space,trajectory
0.0,(0.9999999999998914+1.0162434856970715e-29j)
0.01,(0.8253469034190853+0.6879064553133469j)
0.02,(0.8056892577220137-0.3113209030887691j)
0.03,(0.21854296270226678-0.15199624220437152j)
0.04,(-0.7002528280214698+0.6739582298357716j)
0.05,(0.22888030008282906+0.05621090759414929j)
0.06,(-0.4617636199835113-0.19237336945788405j)
0.07,(0.09695438477217738+0.06740408447735605j)
0.08,(1.4426726469159319+0.4534968757997561j)
0.09,(-9.225599382462727+6.355734832607702j)
0.1,(0.05968403400212184-0.0035495505949202726j)
0.11,(-9.105572815345461-0.6116144480903134j)
0.12,(0.2824945094921272-1.6908287256167798j)
0.13,(0.07245972452335754-0.07486539231711532j)
0.14,(-1.7250669921103554-1.0548173662847615j)
0.15,(0.07344695447144206+0.012111075887956277j)
0.16,(-0.5961976063314051-0.8553759204934555j)
0.17,(0.31537068671377777+0.18534973790175255j)
0.18,(0.20003582611386145-0.027447539176829034j)
0.19,(-11.849529798857928+10.035358764903346j)
0.2,(0.07962968216830742+0.006525794271125932j)
0.21,(-5.502184203835974+1.3984399853558667j)
0.22,(1.60869796837918-5.732566610010992j)
0.23,(0.01870837875375828-0.014457705865842056j)
0.24,(-2.785335375244121-3.435635724966288j)
0.25,(0.1294798089531559-0.010898418984175581j)
0.26,(-1.272601710120429-0.42396870497124084j)
0.27,(0.018358826785039598+0.30991060267468834j)
0.28,(0.07527070346320171+0.004213586751136563j)
0.29,(-36.60894104768486+20.273794332204954j)
0.3,(0.014131833322405777+0.001176816778446378j)
0.31,(-2.8882191153579133+3.988988733395539j)
0.32,(2.179783158152408-6.95435615603933j)
0.33,(0.08774942065127865+0.027144958581434227j)
0.34,(-3.700156570012121+1.4046371335155288j)
0.35000000000000003,(0.03721433376226399-0.004077557499086684j)
0.36,(-0.5014721679016003-0.9930199296707033j)
0.37,(0.1670305761414545+0.3995277677647022j)
0.38,(0.11999235918936238-0.0062620734920601955j)
0.39,(-7.296152024312174+1.1709564943878856j)
0.4,(0.07209658098117389-0.0033869976364428594j)
0.41000000000000003,(-3.7392183949422284+2.0675401430112137j)
0.42,(-14.14600268993693-17.267700874531247j)
0.43,(0.029268941031975446-0.013528350389562994j)
0.44,(-4.469903724392182-1.3591222037041568j)
0.45,(0.20993903062194205+0.035529931601543385j)
0.46,(0.07099477712440702-0.3184430492313468j)
0.47000000000000003,(0.025549962158646636+0.5787721318492804j)
0.48,(0.06468513328215424+0.022397920448599076j)
0.49,(-17.835519257148896+4.937804781541726j)
0.5,(0.06868401058117386+0.016399619279246914j)
0.51,(-0.06849901550583418+1.7067886814936413j)
0.52,(-10.517880618359559-19.126110491581223j)
0.53,(0.053188971904775166+0.0007717155148950016j)
0.54,(-2.7983733363679-0.6041927182201999j)
0.55,(0.1665867455808032+0.04599248910247673j)
0.56,(0.2558855005491228-0.3734015625146506j)
0.5700000000000001,(-0.04795534096793639+0.26918661265350535j)
0.58,(0.10548872367021375-0.024584886870773547j)
0.59,(-3.1926926006891994+4.8018782029962015j)
0.6,(0.10954179345877879+0.042084635863248884j)
0.61,(0.2724789977469196+1.0359678604510563j)
0.62,(-16.147340425610917-13.117185239564463j)
0.63,(0.05969919669840644-0.008506476876286514j)
0.64,(-1.3827863686732724+1.1690681957670934j)
0.65,(0.6067718793469561-0.09194638308957136j)
0.66,(0.18062227162239763-0.17140873616866878j)
0.67,(0.004555499417219772+0.7994593613126724j)
0.68,(0.07171541615471937+0.0029802934560197963j)
0.6900000000000001,(-9.843346359065851-2.4966624815237135j)
0.7000000000000001,(0.04172295984889903+0.014415188631892588j)
0.71,(0.13918751606772975+0.4322745634940804j)
0.72,(-12.417004207680495-12.461959574958188j)
0.73,(0.05631255441811373-0.009803244916761525j)
0.74,(-0.8284506729882977+0.17059111420862158j)
0.75,(0.6262638559366847-0.11018902792350718j)
0.76,(0.04927303018392942-0.09422541626175161j)
0.77,(-0.14185305942458268+0.27237110276311144j)
0.78,(0.07450341477358573-0.005531995909788229j)
0.79,(-1.3825324387850941+1.1371076663261825j)
0.8,(0.05013370131198393+0.011188629548557589j)
0.81,(0.11308673352325659+0.09611895547718495j)
0.8200000000000001,(-34.47926473197894+17.252337958744633j)
0.8300000000000001,(0.05027484991601131+0.004417712382479043j)
0.84,(-1.3822566593014858+0.3646867054104084j)
0.85,(0.9115066529531183-0.4486467703647491j)
0.86,(0.03019311317214049-0.05845671730902715j)
0.87,(-0.2706736887089619+0.237338589248427j)
0.88,(0.01965910097192191-0.001340447488909288j)
0.89,(-2.241424723929767-0.9055516117237288j)
0.9,(0.07920322095996192+0.022454099947167124j)
0.91,(0.08309207757515763+0.06104773028683208j)
0.92,(-36.270292406213166-6.490695058538948j)
0.93,(0.03156288827558155+0.007861728867840182j)
0.9400000000000001,(-0.35292564997102416+0.4401693994757352j)
0.9500000000000001,(1.356275442652127-0.9187172641729705j)
0.96,(0.05370674628577683-0.03411962616829824j)
0.97,(-0.25556761086974095+0.11429215981211838j)
0.98,(0.04800953677276196+0.00888394609216525j)
0.99,(-0.7764359230774557-0.3215467114961319j)
1.0,(0.06483364132081239+0.02692819307475747j)
1.01,(0.07642124890513627+0.007185567425303572j)
1.02,(-75.80488840749086+20.50763607411837j)
1.03,(0.015859197110818703-0.004956469762578716j)
1.04,(-0.28401416672022933+0.2237205596868731j)
1.05,(3.8045045346799706-6.046880069877299j)
1.06,(0.033611822338254736-0.016198008453841603j)
1.07,(-0.5209039967782445+0.553816286004738j)
1.08,(0.02862927047497567+0.006901138741180495j)
1.09,(-1.1902320496417624-0.6035018310630367j)
1.1,(0.11695420372014406+0.040065889158759325j)
1.11,(0.06042758405172202+0.002339719388085723j)
1.12,(-60.85783415905312+4.693296286149468j)
1.1300000000000001,(0.028984218424954175-0.011632033183394511j)
1.1400000000000001,(-0.45725445435385426+0.5279138206009965j)
1.1500000000000001,(9.654019814177198-10.052231778042778j)
1.16,(0.03266578265223551-0.01259029444518985j)
1.17,(-0.4091774383442674+0.1339182861349812j)
1.18,(0.07139597499986378+0.013322619389693865j)
1.19,(-0.4000645320311947-0.5162183788299651j)
1.2,(0.08493173140208124+0.10178930795324855j)
1.21,(0.027535286315133325+0.012173652181927713j)
1.22,(-26.48236619040547+8.689657405072522j)
1.23,(0.03749720814831878-0.007350294977281983j)
1.24,(-0.01322363850637749+0.14864227180084524j)
1.25,(9.056909829063667-23.042608026630194j)
1.26,(0.029194766316366676+0.0012795009983044164j)
1.27,(-0.24470577692677264+0.176696981795504j)
1.28,(0.0479156413919181-0.003100938454485148j)
1.29,(0.05494764346101137-0.2749602684835001j)
1.3,(0.045431224118249375+0.054426138511221946j)
1.31,(0.029014665382072466-0.006242779652495177j)
1.32,(-7.285627514594196-0.20222471378483753j)
1.33,(0.025833906245099292+0.0003758814705611024j)
1.34,(0.027745482015474703+0.10399933528659233j)
1.35,(3.3327302475130427-4.3706916908887115j)
1.36,(0.02286029851122309-0.0033881419544963915j)
1.37,(-0.030829263196463442+0.07012851917291582j)
1.3800000000000001,(0.12326387665680924+0.035396544088746526j)
1.3900000000000001,(0.03585517573794054-0.06833305166733543j)
1.4000000000000001,(0.02686611511566503+0.026677450271270296j)
1.41,(0.012818535589376135-0.0005110664422973248j)
1.42,(-2.248976796289205-1.4389219523046939j)
1.43,(0.022683816516039474-0.004101659994217383j)
1.44,(0.040835691332924494+0.049030905593983584j)
1.45,(4.35934694126615-4.799072882648599j)
1.46,(0.016584268232278907-0.00017688997803116157j)
1.47,(-0.042808306437852904+0.06952172365025538j)
1.48,(0.12079190947137168+0.022612141924394986j)
1.49,(0.038183883604988665-0.03398406310086202j)
1.5,(0.01437679839955486+0.02764527565654416j)
1.51,(0.01789012483392878-0.002285314454080933j)
1.52,(-2.6676177923039583-0.5328652711481064j)
1.53,(0.020227253434790364-0.0044365803019258705j)
1.54,(0.011107405100167302+0.04717012200845561j)
1.55,(-12.595700329464314-38.788919610124914j)
1.56,(0.02096109166958999-0.005826976474691981j)
1.57,(-0.05193996320634169+0.01445580518085268j)
1.58,(0.2013706175559553+0.28123559133041j)
1.59,(0.007086796932327726-0.03868633144512332j)
1.6,(0.005959417766707847+0.030580662783934207j)
1.61,(0.026711633629330458+0.0016008610715367295j)
1.62,(-1.8421902117384106-1.317366231156892j)
1.6300000000000001,(0.018149321172348163-0.0014135221315472902j)
1.6400000000000001,(0.018667216033322807+0.015535904040959838j)
1.6500000000000001,(-18.826770133528687-28.94497491295703j)
1.6600000000000001,(0.014567516713746212-0.0017617678639439212j)
1.67,(-0.018384007981391413+0.0894327112010076j)
1.68,(0.6810092930551249+0.12569935641458868j)
1.69,(0.022081174263790613-0.01843352894896822j)
1.7,(0.005981641654749626+0.030922253553412656j)
1.71,(0.017065992118071395-0.0035389444381177405j)
1.72,(-1.7195412768451832-1.0939491963386412j)
1.73,(0.016035168980274978-0.006012536379774575j)
1.74,(0.016855986447629635+0.005507652854529267j)
1.75,(-30.06081446125389-102.85217927160635j)
1.76,(0.005359178696694935-0.001860845844559351j)
1.77,(-0.04248240627265192+0.05694499328174868j)
1.78,(0.7326820132086753+0.5592112359019313j)
1.79,(0.006436334922863612+0.0028111428580790414j)
1.8,(0.10265777363530042+0.1224678231360391j)
1.81,(0.0033368027530062032-0.0006220078984639938j)
1.82,(-0.07585366161836785-0.26992435507129003j)
