t, L_avg
0.000000000000000000e+00,9.999999999996570521e-01
1.000000000000000021e-02,5.591172524961465218e-01
2.000000000000000042e-02,9.709337002079391210e-01
2.999999999999999889e-02,1.938706998309616680e-01
4.000000000000000083e-02,-4.507986344972516601e-01
5.000000000000000278e-02,2.430630387823898009e-01
5.999999999999999778e-02,-3.986718988819518694e-01
7.000000000000000666e-02,9.800166284623273993e-02
8.000000000000000167e-02,7.264316902875034287e-01
8.999999999999999667e-02,-2.241719606993401115e+00
1.000000000000000056e-01,7.546386381153573353e-02
1.100000000000000006e-01,-5.149151591578464249e+00
1.199999999999999956e-01,6.971046466264501085e-01
1.300000000000000044e-01,7.345029522398743849e-02
1.400000000000000133e-01,-1.070792708159256090e+00
1.499999999999999944e-01,8.311321515883604572e-02
1.600000000000000033e-01,-8.720390659442620596e-01
1.700000000000000122e-01,2.086833674220984203e-01
1.799999999999999933e-01,2.683772560574287924e-01
1.900000000000000022e-01,-8.588425671345408574e+00
2.000000000000000111e-01,8.260115923876204524e-02
2.099999999999999922e-01,-5.511331323062022669e+00
2.200000000000000011e-01,1.191201800351421758e+00
2.300000000000000100e-01,6.264865060557792131e-02
2.399999999999999911e-01,-5.632999677462251498e-01
2.500000000000000000e-01,6.388339850019307542e-02
2.600000000000000089e-01,-4.972896641486146962e-01
2.700000000000000178e-01,6.493227166872750367e-02
2.800000000000000266e-01,2.169370103758758161e-01
2.899999999999999800e-01,-2.652990673768819363e+00
2.999999999999999889e-01,6.657704358739124917e-02
3.099999999999999978e-01,-3.470810556401643154e+00
3.200000000000000067e-01,-5.936755469024035392e-01
3.300000000000000155e-01,7.431332195799643381e-02
3.400000000000000244e-01,-1.958715918392035960e+00
3.500000000000000333e-01,5.300664164360223418e-02
3.599999999999999867e-01,-3.722433710820007846e-01
3.699999999999999956e-01,3.118563934781345970e-02
3.800000000000000044e-01,1.065671605633177060e-01
3.900000000000000133e-01,-5.469431562829271343e+00
4.000000000000000222e-01,9.961926217985907217e-02
4.100000000000000311e-01,-1.092363897175753218e+00
4.199999999999999845e-01,-4.817172235177133999e+00
4.299999999999999933e-01,5.009397248214121634e-02
4.400000000000000022e-01,-1.354221666633367072e+00
4.500000000000000111e-01,2.192506418429213122e-01
4.600000000000000200e-01,-1.370986851591129707e-01
4.700000000000000289e-01,-1.248344983878809655e-01
4.799999999999999822e-01,6.568907724701986139e-02
4.899999999999999911e-01,-3.033121444259210264e+00
5.000000000000000000e-01,6.265099446671303085e-02
5.100000000000000089e-01,-7.047542220046622286e-02
5.200000000000000178e-01,-5.883562267965286807e+00
