t, L_avg
0.000000000000000000e+00,1.000000000000104805e+00
1.000000000000000021e-02,9.799509853700376638e-01
2.000000000000000042e-02,9.858375716076079875e-01
2.999999999999999889e-02,9.855097234584839772e-01
4.000000000000000083e-02,9.791250943315773503e-01
5.000000000000000278e-02,9.850840441448156515e-01
5.999999999999999778e-02,9.880413967441312728e-01
7.000000000000000666e-02,9.782634010189608098e-01
8.000000000000000167e-02,9.828503643478095908e-01
8.999999999999999667e-02,9.873392978382327101e-01
1.000000000000000056e-01,9.793788511816248210e-01
1.100000000000000006e-01,9.739695681253606185e-01
1.199999999999999956e-01,9.871841217142542924e-01
1.300000000000000044e-01,9.620182190954724710e-01
1.400000000000000133e-01,9.673714231679456654e-01
1.499999999999999944e-01,9.662179461128899138e-01
1.600000000000000033e-01,9.576463765082390278e-01
1.700000000000000122e-01,9.548930554325600895e-01
1.799999999999999933e-01,9.654144210059203424e-01
1.900000000000000022e-01,9.411601434359417873e-01
2.000000000000000111e-01,9.569229330750477214e-01
2.099999999999999922e-01,9.541969982844853426e-01
2.200000000000000011e-01,9.228877360039464683e-01
2.300000000000000100e-01,9.591295710680654008e-01
2.399999999999999911e-01,9.518854553283313535e-01
2.500000000000000000e-01,9.230049355925297183e-01
2.600000000000000089e-01,9.075503744848871790e-01
2.700000000000000178e-01,9.189379744007148965e-01
2.800000000000000266e-01,8.905016936043512743e-01
2.899999999999999800e-01,8.755227546668575833e-01
2.999999999999999889e-01,9.058936923871602209e-01
3.099999999999999978e-01,8.367210692797535376e-01
3.200000000000000067e-01,8.530174839606132764e-01
3.300000000000000155e-01,8.676327321633865441e-01
3.400000000000000244e-01,8.273376573978779014e-01
3.500000000000000333e-01,8.981203273882669702e-01
3.599999999999999867e-01,8.805947139810430535e-01
3.699999999999999956e-01,8.498377751574498484e-01
3.800000000000000044e-01,7.936248200324071966e-01
3.900000000000000133e-01,7.923098683451883506e-01
4.000000000000000222e-01,8.558119937553105849e-01
4.100000000000000311e-01,7.569408908920000068e-01
4.199999999999999845e-01,7.658329422578777912e-01
4.299999999999999933e-01,7.381195016675292653e-01
4.400000000000000022e-01,7.336869325752893856e-01
4.500000000000000111e-01,7.728528067427891113e-01
4.600000000000000200e-01,7.686566704309467646e-01
4.700000000000000289e-01,7.839972708704143756e-01
4.799999999999999822e-01,7.727563450956234092e-01
4.899999999999999911e-01,7.216334627934564150e-01
5.000000000000000000e-01,6.915859650776359224e-01
5.100000000000000089e-01,6.894136686831009442e-01
5.200000000000000178e-01,7.281421099987512857e-01
5.300000000000000266e-01,7.054910920741495062e-01
5.400000000000000355e-01,6.744913044946470038e-01
5.500000000000000444e-01,6.893969169805533870e-01
5.600000000000000533e-01,6.821340028815098266e-01
5.700000000000000622e-01,6.735604183745991236e-01
5.799999999999999600e-01,6.705946699983116321e-01
