time_space,trajectory
0.0,(0.9999999999997589+1.7389519527603115e-29j)
0.01,(0.9977896311083508+3.5695899063834884e-07j)
0.02,(0.978667720623987+6.110103611927145e-06j)
0.03,(0.9551490217416381-1.4322944193184823e-06j)
0.04,(0.9636871755482875-1.4879883196773866e-05j)
0.05,(0.991210618374934-2.5548078933209516e-06j)
0.06,(0.9993451331680021-4.745757816824142e-08j)
0.07,(0.9914680307464241+2.353592189998323e-08j)
0.08,(0.9898243579168853+2.6259829486550997e-05j)
0.09,(0.991195785922019+1.3318162812686756e-05j)
0.1,(0.989808461799299-2.303936371719248e-05j)
0.11,(0.9944533398527483-2.9020735168380965e-06j)
0.12,(0.9956043816656467-1.3493579276631043e-06j)
0.13,(0.9724713669788843-2.7515580677512872e-05j)
0.14,(0.9489526334666353-1.2351154118692559e-06j)
0.15,(0.960738793860178+4.346791331511172e-05j)
0.16,(0.9834536153622965+8.763994290621226e-06j)
0.17,(0.9887465373046992+1.7385004418519948e-06j)
0.18,(0.9890114412030401+6.2408190491392035e-06j)
0.19,(0.9798620311226933-4.77387339821593e-05j)
0.2,(0.957487671851602-9.121237128521398e-05j)
0.21,(0.951517754131711+2.681920249860097e-06j)
0.22,(0.966501423340409+1.1366305262096761e-05j)
0.23,(0.9726392279668263+7.614886168413342e-07j)
0.24,(0.9643412478209406+3.6777768985479e-05j)
0.25,(0.9538428978091227+1.3972101063835792e-05j)
0.26,(0.9495224077373805-9.372221918103338e-05j)
0.27,(0.9559914782145561-1.9533611415557246e-05j)
0.28,(0.9580334614895976+3.077371473498585e-07j)
0.29,(0.9459336040058719+4.870239405292852e-07j)
0.3,(0.9290975564166152+4.38239747705796e-05j)
0.31,(0.9026900029799464+1.7329599829727527e-05j)
0.32,(0.8815114252261042-9.775961222075133e-05j)
0.33,(0.899345958006086-2.2210400604070596e-05j)
0.34,(0.9230675334854268-2.2043388371841246e-06j)
0.35000000000000003,(0.9082548707983302-1.3682883474514894e-06j)
0.36,(0.8954045696958586+3.391632738907733e-05j)
0.37,(0.8920652462646014+1.6992493050302422e-06j)
0.38,(0.8613993710962515-0.00012957753921111795j)
