t, L_avg
0.000000000000000000e+00,1.000000000000135447e+00
1.000000000000000021e-02,9.980853091749656292e-01
2.000000000000000042e-02,9.911778697730259102e-01
2.999999999999999889e-02,9.754498584364501568e-01
4.000000000000000083e-02,9.818923686836729114e-01
5.000000000000000278e-02,9.930650687194753079e-01
5.999999999999999778e-02,9.991057426121444651e-01
7.000000000000000666e-02,9.896786737397782474e-01
8.000000000000000167e-02,9.875898831154510393e-01
8.999999999999999667e-02,9.879188811528161196e-01
1.000000000000000056e-01,9.896253390282497842e-01
1.100000000000000006e-01,9.936428889954505017e-01
1.199999999999999956e-01,9.951670319893881622e-01
1.300000000000000044e-01,9.793839393062283571e-01
1.400000000000000133e-01,9.556227226841161881e-01
1.499999999999999944e-01,9.503174605907049877e-01
1.600000000000000033e-01,9.750838146831939390e-01
1.700000000000000122e-01,9.810269564945321985e-01
1.799999999999999933e-01,9.826883221634183929e-01
1.900000000000000022e-01,9.674124106042760740e-01
2.000000000000000111e-01,9.527885290913848948e-01
2.099999999999999922e-01,9.428131515662092621e-01
2.200000000000000011e-01,9.625985273637629458e-01
2.300000000000000100e-01,9.726967979951874899e-01
2.399999999999999911e-01,9.712332643847817470e-01
2.500000000000000000e-01,9.538531454955240241e-01
2.600000000000000089e-01,9.464871664344866042e-01
2.700000000000000178e-01,9.577121165436135453e-01
2.800000000000000266e-01,9.582519796779619403e-01
2.899999999999999800e-01,9.573716393018226745e-01
2.999999999999999889e-01,9.373423537813141415e-01
3.099999999999999978e-01,9.040105895189787244e-01
3.200000000000000067e-01,8.812861144073402819e-01
3.300000000000000155e-01,8.897367059265968159e-01
3.400000000000000244e-01,9.016581637617839817e-01
3.500000000000000333e-01,8.944208159001421077e-01
3.599999999999999867e-01,9.078092367175587540e-01
3.699999999999999956e-01,8.849763694128003344e-01
3.800000000000000044e-01,8.719166468690857652e-01
3.900000000000000133e-01,8.920682111770998901e-01
4.000000000000000222e-01,8.922091350599612447e-01
4.100000000000000311e-01,8.745377352359662293e-01
4.199999999999999845e-01,8.538830252944554777e-01
4.299999999999999933e-01,8.528265748117119793e-01
4.400000000000000022e-01,8.468809935662022781e-01
4.500000000000000111e-01,8.358017718564374476e-01
4.600000000000000200e-01,8.384818162683387310e-01
4.700000000000000289e-01,8.278241840385418548e-01
4.799999999999999822e-01,8.530308049352375299e-01
4.899999999999999911e-01,8.241709657475968509e-01
5.000000000000000000e-01,8.184466033218871228e-01
5.100000000000000089e-01,8.282035194738089912e-01
5.200000000000000178e-01,8.264933208563338685e-01
5.300000000000000266e-01,8.150654870646873995e-01
5.400000000000000355e-01,7.972355125962782285e-01
5.500000000000000444e-01,7.751004229170058712e-01
5.600000000000000533e-01,7.510167803508944750e-01
5.700000000000000622e-01,7.474818902322502012e-01
5.799999999999999600e-01,7.449449806257363305e-01
5.899999999999999689e-01,7.243396308156089258e-01
5.999999999999999778e-01,7.029712590685321949e-01
6.099999999999999867e-01,6.844992754670585766e-01
6.199999999999999956e-01,6.458298854796973298e-01
6.300000000000000044e-01,6.441183824846115069e-01
6.400000000000000133e-01,6.365414388343239027e-01
6.500000000000000222e-01,6.259814824690737023e-01
6.600000000000000311e-01,6.159118338140234794e-01
6.700000000000000400e-01,5.776834677651399019e-01
6.800000000000000488e-01,5.992724946324630153e-01
6.900000000000000577e-01,6.401450683611057402e-01
7.000000000000000666e-01,6.257523359107709515e-01
7.099999999999999645e-01,6.429656503285214875e-01
7.199999999999999734e-01,6.261052539572187214e-01
7.299999999999999822e-01,6.144227135572479792e-01
7.399999999999999911e-01,6.008609954426008537e-01
7.500000000000000000e-01,5.643557290558627315e-01
7.600000000000000089e-01,5.442215146541500292e-01
7.700000000000000178e-01,5.345322400904433113e-01
7.800000000000000266e-01,5.270355008708301758e-01
7.900000000000000355e-01,5.129084751698209654e-01
8.000000000000000444e-01,5.319777483799174034e-01
8.100000000000000533e-01,5.312510369147096512e-01
8.200000000000000622e-01,4.862922337816012464e-01
8.300000000000000711e-01,4.783375090122133910e-01
8.399999999999999689e-01,4.586256491571116811e-01
8.499999999999999778e-01,4.463403233407796655e-01
8.599999999999999867e-01,4.662216188037855980e-01
8.699999999999999956e-01,4.744807835772843485e-01
8.800000000000000044e-01,4.526252060314872594e-01
8.900000000000000133e-01,4.455690384934913872e-01
9.000000000000000222e-01,4.482579749173229988e-01
9.100000000000000311e-01,4.204011566497406482e-01
9.200000000000000400e-01,4.169328490607218662e-01
9.300000000000000488e-01,4.219323853885306730e-01
9.400000000000000577e-01,3.903401600952172146e-01
9.500000000000000666e-01,3.828786582774155178e-01
9.599999999999999645e-01,3.968333337635748803e-01
9.699999999999999734e-01,3.770490209425844119e-01
9.799999999999999822e-01,3.707159564737906310e-01
9.899999999999999911e-01,3.850658360774242284e-01
1.000000000000000000e+00,3.574500706542322881e-01
1.010000000000000009e+00,3.389900044418934222e-01
1.020000000000000018e+00,3.528838802055369595e-01
1.030000000000000027e+00,3.328195993919096374e-01
1.040000000000000036e+00,3.175708837941191853e-01
1.050000000000000044e+00,3.223621740941378100e-01
1.060000000000000053e+00,3.027705292348624733e-01
1.070000000000000062e+00,2.744626968662791100e-01
1.080000000000000071e+00,2.592367755779147465e-01
1.090000000000000080e+00,2.425668711607361638e-01
1.100000000000000089e+00,2.254300359417400756e-01
1.110000000000000098e+00,2.090041023979740953e-01
1.120000000000000107e+00,1.926146630824728812e-01
1.130000000000000115e+00,1.781723311026965351e-01
1.140000000000000124e+00,1.782173233752229191e-01
1.150000000000000133e+00,2.067489559319192205e-01
1.159999999999999920e+00,2.146393790659946732e-01
1.169999999999999929e+00,2.026759946373735133e-01
1.179999999999999938e+00,1.840931166728426716e-01
1.189999999999999947e+00,1.437739001554484142e-01
1.199999999999999956e+00,1.563984274596825208e-01
1.209999999999999964e+00,1.616374691359810933e-01
1.219999999999999973e+00,1.472644620701890616e-01
1.229999999999999982e+00,1.494080595433806835e-01
1.239999999999999991e+00,1.442174996262425291e-01
1.250000000000000000e+00,1.246609972677610312e-01
1.260000000000000009e+00,1.535339098369747357e-01
1.270000000000000018e+00,1.593145480161361482e-01
1.280000000000000027e+00,1.526606243354936832e-01
1.290000000000000036e+00,1.593877190622008666e-01
1.300000000000000044e+00,1.741443792714893191e-01
1.310000000000000053e+00,1.556329348091136655e-01
1.320000000000000062e+00,1.483777488986594006e-01
1.330000000000000071e+00,1.617554010991366087e-01
1.340000000000000080e+00,1.505789033739021732e-01
1.350000000000000089e+00,1.430290529355606466e-01
1.360000000000000098e+00,1.371960853451188456e-01
1.370000000000000107e+00,1.152605273201520175e-01
1.380000000000000115e+00,1.001071758740884887e-01
1.390000000000000124e+00,1.149211272510982096e-01
1.400000000000000133e+00,1.026915986869996050e-01
1.409999999999999920e+00,9.834825912228739586e-02
1.419999999999999929e+00,1.136525252917345158e-01
1.429999999999999938e+00,1.104475640732206498e-01
1.439999999999999947e+00,1.043722914678208852e-01
1.449999999999999956e+00,1.085131481253750613e-01
1.459999999999999964e+00,9.790842450695483312e-02
1.469999999999999973e+00,7.672384999032391684e-02
1.479999999999999982e+00,6.880941199972287481e-02
1.489999999999999991e+00,7.223081963484168089e-02
1.500000000000000000e+00,5.809612815448068901e-02
1.510000000000000009e+00,6.113110240072097690e-02
1.520000000000000018e+00,6.782085198768433854e-02
1.530000000000000027e+00,4.972405375526306459e-02
1.540000000000000036e+00,6.021670491638235478e-02
1.550000000000000044e+00,6.059081764443449009e-02
1.560000000000000053e+00,5.967253072081771248e-02
1.570000000000000062e+00,5.540715276088466201e-02
1.580000000000000071e+00,6.290774287436555479e-02
1.590000000000000080e+00,5.045751269261641858e-02
1.600000000000000089e+00,4.398560324569961155e-02
1.610000000000000098e+00,4.674849654712748270e-02
1.620000000000000107e+00,3.821272670519784004e-02
1.630000000000000115e+00,3.309622546994890613e-02
1.640000000000000124e+00,3.601463631586002134e-02
1.650000000000000133e+00,3.740544951657694822e-02
1.660000000000000142e+00,3.965383430376865498e-02
1.669999999999999929e+00,3.669796159404774966e-02
1.679999999999999938e+00,3.500774280878965472e-02
1.689999999999999947e+00,3.174740933008386723e-02
1.699999999999999956e+00,3.694397056366521825e-02
1.709999999999999964e+00,3.347940752041175805e-02
1.719999999999999973e+00,2.564850503518132166e-02
1.729999999999999982e+00,2.413710615429746909e-02
1.739999999999999991e+00,2.378050389976053836e-02
1.750000000000000000e+00,2.381118872143538068e-02
1.760000000000000009e+00,2.210465731763901903e-02
1.770000000000000018e+00,2.595557679950474816e-02
1.780000000000000027e+00,2.362537472507290903e-02
1.790000000000000036e+00,2.588253035627820914e-02
1.800000000000000044e+00,2.564307237136192671e-02
1.810000000000000053e+00,2.367544037396050391e-02
1.820000000000000062e+00,2.382456344442667948e-02
1.830000000000000071e+00,2.373185896644113002e-02
1.840000000000000080e+00,2.273289005434317445e-02
1.850000000000000089e+00,2.444753691375895627e-02
1.860000000000000098e+00,2.781496167329833638e-02
1.870000000000000107e+00,2.284014276591594256e-02
1.880000000000000115e+00,2.314845715755726313e-02
1.890000000000000124e+00,2.372987381370748189e-02
1.900000000000000133e+00,1.947813682217508502e-02
1.910000000000000142e+00,2.120994543051052394e-02
1.919999999999999929e+00,2.392562894433783449e-02
1.929999999999999938e+00,1.942545247135210595e-02
1.939999999999999947e+00,1.838641743883778767e-02
1.949999999999999956e+00,2.211520994351905134e-02
1.959999999999999964e+00,1.782631357551919815e-02
1.969999999999999973e+00,1.518025999011579814e-02
1.979999999999999982e+00,1.833957220486163997e-02
1.989999999999999991e+00,1.659405800073947279e-02
2.000000000000000000e+00,1.391930728679819165e-02
2.010000000000000231e+00,1.741964563354210863e-02
2.020000000000000018e+00,1.464727548116781693e-02
2.030000000000000249e+00,1.069995171479338342e-02
2.040000000000000036e+00,1.195034342213516232e-02
2.049999999999999822e+00,1.001871563635553519e-02
2.060000000000000053e+00,7.406315194306333297e-03
2.069999999999999840e+00,8.872007607622939274e-03
2.080000000000000071e+00,8.395324101805837214e-03
2.089999999999999858e+00,6.355080097837615544e-03
2.100000000000000089e+00,7.003190333853295119e-03
2.109999999999999876e+00,6.782492688908389744e-03
2.120000000000000107e+00,5.340248155212244663e-03
2.129999999999999893e+00,6.222140945715130475e-03
2.140000000000000124e+00,6.638956173642893144e-03
2.149999999999999911e+00,4.550044171687402626e-03
2.160000000000000142e+00,4.583028019283679963e-03
2.169999999999999929e+00,4.884900766922172649e-03
2.180000000000000160e+00,3.757988347272390398e-03
2.189999999999999947e+00,4.068783710676478899e-03
2.200000000000000178e+00,3.689028601299079117e-03
2.209999999999999964e+00,3.705935586869400777e-03
2.220000000000000195e+00,3.618324412672169893e-03
2.229999999999999982e+00,3.652153480299052696e-03
2.240000000000000213e+00,3.792052470160455456e-03
2.250000000000000000e+00,3.659347702522688754e-03
2.260000000000000231e+00,3.378079377792185534e-03
2.270000000000000018e+00,3.404787442583407688e-03
2.280000000000000249e+00,3.809865593398621426e-03
2.290000000000000036e+00,4.114680914671486889e-03
2.300000000000000266e+00,4.001810146161100326e-03
2.310000000000000053e+00,3.260804308119494288e-03
2.319999999999999840e+00,2.680513268328943086e-03
2.330000000000000071e+00,2.455840439619859112e-03
2.339999999999999858e+00,2.108181762671440963e-03
2.350000000000000089e+00,1.988444092980035799e-03
2.359999999999999876e+00,1.882251890994001385e-03
2.370000000000000107e+00,1.998850467114588695e-03
2.379999999999999893e+00,2.371883381933476143e-03
2.390000000000000124e+00,2.310346938271625773e-03
2.399999999999999911e+00,1.932339734815602394e-03
2.410000000000000142e+00,1.625760645407375079e-03
2.419999999999999929e+00,1.722916119526627862e-03
2.430000000000000160e+00,1.599867474019608764e-03
2.439999999999999947e+00,1.460183414732389370e-03
2.450000000000000178e+00,1.234167415481281314e-03
2.459999999999999964e+00,1.025333731279457362e-03
2.470000000000000195e+00,9.886973352751802016e-04
2.479999999999999982e+00,9.335200949349867043e-04
2.490000000000000213e+00,8.822493785576558060e-04
2.500000000000000000e+00,1.130512720551528349e-03
2.510000000000000231e+00,1.660988576499671313e-03
2.520000000000000018e+00,1.020165186913268027e-03
2.530000000000000249e+00,1.291036129261749921e-03
2.540000000000000036e+00,1.460721777007438103e-03
2.550000000000000266e+00,9.269433557115798255e-04
2.560000000000000053e+00,6.492821252211109818e-04
2.569999999999999840e+00,8.040788607785809630e-04
2.580000000000000071e+00,7.905399874916958780e-04
2.589999999999999858e+00,8.115157038902625491e-04
2.600000000000000089e+00,1.583258547814452369e-03
2.609999999999999876e+00,1.465043194819693872e-03
2.620000000000000107e+00,1.317803447387482733e-03
2.629999999999999893e+00,1.591234620398070555e-03
2.640000000000000124e+00,1.163570962652515266e-03
2.649999999999999911e+00,7.697262891083020593e-04
2.660000000000000142e+00,1.045037984976829011e-03
2.669999999999999929e+00,8.628790912764033091e-04
2.680000000000000160e+00,6.679243292934296250e-04
2.689999999999999947e+00,1.108364949684490040e-03
2.700000000000000178e+00,1.011530649420929861e-03
