time_space,trajectory
0.0,(1.0000000000003493+2.319898919978298e-32j)
0.01,(0.9862126146651716-1.0301940554592984e-06j)
0.02,(0.9871878584406287-2.2268358167137043e-05j)
0.03,(0.997197710983896-1.7681623290648666e-05j)
0.04,(0.9671488927007862+2.7015591304610166e-05j)
0.05,(0.9871959263675129+2.42978399475043e-06j)
0.06,(0.9976619038830327-3.9975905912069833e-07j)
0.07,(0.975657303041018+1.4360383020103486e-05j)
0.08,(0.9941249833872128+5.4943766931614385e-05j)
0.09,(0.9968263928811996-1.4649729118802816e-06j)
0.1,(0.9931429767973317+3.754352384089844e-07j)
0.11,(0.989095548196131-5.0102621993091085e-06j)
0.12,(0.9906895080320786-1.004117640385755e-05j)
0.13,(0.9773105854993265-2.280010205309502e-05j)
0.14,(0.9787145480682624+0.00018613975949279378j)
0.15,(0.9791189649234798+9.918194338017091e-05j)
0.16,(0.9654647238709235-6.092441599785619e-06j)
0.17,(0.9717455685633138+1.816105492193921e-06j)
0.18,(0.9758426169974677-1.4384637548116247e-06j)
0.19,(0.964599958604392-5.6190997028970786e-05j)
0.2,(0.9655404301262392+2.3887095148254994e-05j)
0.21,(0.9644440545202224-6.34808419209657e-05j)
0.22,(0.9406636324297823-8.60362757516309e-05j)
0.23,(0.9558081706033288+1.0811621785291975e-07j)
0.24,(0.9344552032156516+7.030791576211888e-05j)
0.25,(0.9216190348605067+0.00011908137022059151j)
0.26,(0.9394580767699471+6.862563749749831e-06j)
0.27,(0.922322424984058-9.52816954329657e-06j)
0.28,(0.9221713758983826-4.945315506182724e-05j)
0.29,(0.9220340200560629-5.27489065268528e-07j)
0.3,(0.9127570687082541+4.162386895376131e-05j)
0.31,(0.9087373327060523+8.946876091677046e-06j)
0.32,(0.8969207659917472-0.00024383198976207903j)
0.33,(0.876874645075844+7.724483951629111e-05j)
0.34,(0.8865458644593291+5.1705242342638524e-05j)
0.35000000000000003,(0.872923643487948+3.553011464750879e-06j)
0.36,(0.8587134867670962-9.153023294051734e-07j)
0.37,(0.8615920443197851-0.0001084294162433907j)
0.38,(0.8581714019821844-0.00046142652620344244j)
0.39,(0.8519159726626641-0.00012455268376305998j)
0.4,(0.8338158681900198+2.1960492538889695e-05j)
0.41000000000000003,(0.8372295382262933+1.5608545191850484e-05j)
0.42,(0.8207843848114711-7.505363237513473e-05j)
0.43,(0.8101608106828555+0.00014702620556417159j)
0.44,(0.8067626649736797+0.00021587400032959964j)
0.45,(0.7931440129131293-1.4606192344263159e-05j)
0.46,(0.7910279640983078+8.922437339621568e-08j)
0.47000000000000003,(0.791752845184098-2.1863192302465412e-05j)
0.48,(0.7805480623339273-0.00039906445045712855j)
0.49,(0.7761297427444727-0.00021693905235763988j)
0.5,(0.7754061612084014+0.0004623824766821672j)
0.51,(0.7599946779014312+0.00010354930961919525j)
0.52,(0.7558422977151836+2.3990058059182087e-09j)
0.53,(0.7411203365418068+2.0058940406538143e-05j)
0.54,(0.7407649925599796-6.028376240260856e-05j)
0.55,(0.7296585158613788-0.00027466764082318334j)
0.56,(0.7256426005442489+4.1494420512943226e-05j)
0.5700000000000001,(0.7300981283281461-4.208437648996442e-06j)
0.58,(0.7104694733452178-5.225468963180262e-06j)
0.59,(0.7200062906714102-2.381665154951924e-05j)
0.6,(0.7145938085763878+0.0005582496099890857j)
0.61,(0.6875176875961094+0.0003598381260822545j)
0.62,(0.6936425874888346+1.2128141923065818e-05j)
0.63,(0.6975986015682076-3.336076180896701e-06j)
0.64,(0.6671716842853667-1.934491332958708e-05j)
0.65,(0.6749021671685312-0.00021310324542241074j)
0.66,(0.6785950049178897+0.00019684563755983331j)
0.67,(0.6627812841134919+0.00016862459904374208j)
0.68,(0.6664147210238516-0.00013707953712439546j)
0.6900000000000001,(0.6612610084848505+3.7211377595634862e-06j)
0.7000000000000001,(0.651309752452833+5.854914841802597e-05j)
0.71,(0.6436809021133827+0.00011243071766444026j)
0.72,(0.6424428147305856-9.106385317580742e-06j)
0.73,(0.6198200567022775-0.00011076197903934979j)
0.74,(0.617229977314771-0.00021658463474734165j)
0.75,(0.619322245185321-3.0537218657491347e-06j)
0.76,(0.597695101139217+8.257908533598904e-05j)
0.77,(0.5948560766332613+0.00026776585560173757j)
0.78,(0.5957703770175086-0.0001046900701062263j)
0.79,(0.5763987048833394+0.00010364279936154333j)
0.8,(0.5672680373634115+5.60516702330703e-05j)
0.81,(0.5626938224738243-8.808933983807925e-08j)
0.8200000000000001,(0.5419114739334177-4.516667691546509e-06j)
0.8300000000000001,(0.5398785182505376-7.991640205810522e-05j)
0.84,(0.5265596616936954-0.0006521114310998738j)
0.85,(0.5207851891232446-0.00019114931062760238j)
0.86,(0.5166826600760726+8.703273917826852e-05j)
0.87,(0.5056841106921263+1.0968022669697995e-05j)
0.88,(0.5113550629346347-2.858320926203788e-06j)
0.89,(0.4975618590140723+4.905056426990126e-05j)
0.9,(0.48689153992727097-0.0001350865650127116j)
0.91,(0.4933771521787979-0.00019734024288483443j)
0.92,(0.48371480802089156+4.39903666191725e-06j)
0.93,(0.4679919188742386+5.772325968111737e-06j)
0.9400000000000001,(0.47844139065316427-0.00025367622615118896j)
0.9500000000000001,(0.47278899692902826-0.00013760529783516659j)
0.96,(0.4643404474990135+0.0005702358050609653j)
0.97,(0.4706681018274979+0.0001745057233013303j)
0.98,(0.46639801843203504+4.5496498447963476e-07j)
0.99,(0.45897890588774665-4.392552466126973e-06j)
1.0,(0.46105106631496523-0.0002964183882480291j)
1.01,(0.45749613452613036-0.0005830915540676917j)
1.02,(0.4387625481387758+0.0001665143702137718j)
1.03,(0.45017053973371446+0.00010554073663207752j)
1.04,(0.44347891499781633-3.379510262156866e-07j)
1.05,(0.42296904611967034+1.35758577805887e-07j)
1.06,(0.4352146448826649+0.000357346738949509j)
1.07,(0.42940726064082874+0.00017204761861883j)
1.08,(0.40737548885675734-1.7950261847011246e-05j)
1.09,(0.4103574518453347-1.2533751524400601e-05j)
1.1,(0.4003020478967194-4.475215408102447e-06j)
1.11,(0.376248932466297-0.00016521110609094537j)
1.12,(0.37472581431143187+0.000301106602586829j)
1.1300000000000001,(0.3576597168221068+0.0004573486776420335j)
1.1400000000000001,(0.340076270300049+8.617645841066065e-07j)
