time_space,trajectory
0.0,(0.999999999999977-1.127026001119691e-31j)
0.01,(0.4919654655149095+0.04588614614745664j)
0.02,(0.6404812963181409-0.17265069993893847j)
0.03,(0.296284544228565-0.03685682049936298j)
0.04,(0.7849564115647629+0.2980403356467584j)
0.05,(0.2882744485259742-0.017158631551641854j)
0.06,(0.5985040088381155-0.08697344992262492j)
0.07,(0.04993026688737886+0.015889593114280814j)
0.08,(0.5308274930328889-0.024419863848815702j)
0.09,(-0.007720513528609044+0.014424333225613267j)
0.1,(0.6128875207462476-0.010073658158823743j)
0.11,(-0.13501484097463493+0.02267142103631439j)
0.12,(0.7561104257417226-0.11841842353955753j)
0.13,(0.1954456358434469-0.016476103692302495j)
0.14,(0.7067767404050842+0.21897570296412006j)
0.15,(0.15139856707843777-0.0029141711095203348j)
0.16,(1.0498352025339386-0.09718381967817934j)
0.17,(0.4321862790097369-0.027349939882296306j)
0.18,(1.0197381695856387+0.0082773213273848j)
0.19,(0.7394172985387746-0.2372484046126481j)
0.2,(0.4302053560506053+0.06687876153749853j)
0.21,(0.652277897992127+0.08166333592582094j)
0.22,(0.6108592667125505+0.016798640575457463j)
0.23,(0.28378191155430194-0.0013604600870440338j)
0.24,(0.5152360595898772+0.13171038738505397j)
0.25,(0.06333681691933732-0.0010714404405054963j)
0.26,(0.4058742582247529-0.13960394882277005j)
0.27,(0.07681536495843445+0.03270139791170611j)
0.28,(0.6033838084897439+0.09931437081555694j)
0.29,(-0.1994259896923246+0.0012784901985682033j)
0.3,(0.6926791837158011+0.041934543561444604j)
0.31,(0.23333261985404083+0.030579757329964905j)
0.32,(0.7320536122463519+0.0059509459985495625j)
0.33,(0.32688572449241404-0.06374491587192511j)
0.34,(0.599225104307653+0.11432443914020528j)
0.35000000000000003,(0.5020208425188624+0.04006765388190103j)
0.36,(0.7319993826230526-0.12258273768062727j)
0.37,(0.7326902921487797+0.04301464889572409j)
0.38,(0.1782670687279924-0.044620437492225926j)
0.39,(0.5098186215886759-0.1748451757279894j)
0.4,(0.3640688006110086+0.023459985148303168j)
0.41000000000000003,(0.3970707565384696+0.14870827314157925j)
0.42,(0.4254563616416468-0.13752265812994283j)
0.43,(-0.06603151234428423-0.0255705072807059j)
0.44,(0.34157183075744907+0.12731906297907372j)
0.45,(0.13685915150870867+0.013140429209733635j)
0.46,(0.3778509880119793-0.03031743358700878j)
0.47000000000000003,(-0.06998153070120426-0.043681736050321454j)
0.48,(0.2930180879912447+0.017985058424978145j)
0.49,(0.23330262658470008-0.14101670991167914j)
0.5,(0.3599429820814577-0.027448044377753687j)
0.51,(0.39014014603959246+0.08699943283327372j)
0.52,(0.13558925966905086-0.023019753072216254j)
0.53,(0.4779488106930462+0.024679826212432664j)
0.54,(0.4595231750804348+0.07880287856702217j)
0.55,(0.338316713459848-0.08388152590527351j)
0.56,(0.1967060299557098-0.010870560103316369j)
0.5700000000000001,(0.1563244296576797+0.033449130769002314j)
0.58,(0.21389567313628224+0.010404038951048607j)
0.59,(0.31575169372601264-0.1079557127975651j)
0.6,(0.1396432291185247-0.0034691893028087673j)
0.61,(-0.013884500914183008-0.003174969561668844j)
0.62,(0.12537127389837552-0.03274333538507421j)
0.63,(0.18911592994402557-0.011320001000170766j)
0.64,(0.13735791587387255+0.07473043828086358j)
0.65,(0.15417990193797243-0.003024124286913401j)
0.66,(0.015601825385757231-0.00036014132656037804j)
0.67,(0.18932920616784862+0.03416927088142846j)
0.68,(0.11429821332430481-0.013355982486954509j)
0.6900000000000001,(0.36701339961310914-0.0682771141403752j)
0.7000000000000001,(0.07029455997867379-0.006462033220247079j)
0.71,(0.24307622920526234-0.005962951423918676j)
0.72,(0.40626752210594236-0.11163633352347402j)
0.73,(0.21666428632224707+0.004108485491756891j)
0.74,(0.24201492505822148+0.05176871328397914j)
0.75,(0.05944213224541372+0.01911063289397687j)
0.76,(0.12640890941181282-0.006667244502126377j)
0.77,(0.2032962531105717+0.04942110285985651j)
0.78,(0.036424421866859014+0.013194991242849037j)
0.79,(0.13888447366813533-0.049176895632720874j)
0.8,(-0.07260645180128965+0.005947751707676154j)
0.81,(0.2005295091242554+0.028705760646400128j)
0.8200000000000001,(0.06856886162114807-0.011561932971591598j)
0.8300000000000001,(0.1576332089773658-0.006623083660921685j)
0.84,(-0.03507473714984599+0.009818879349060824j)
0.85,(0.23931371745815908+0.0034730055189833094j)
0.86,(0.14731382107664887-0.031122715996216993j)
0.87,(0.2037990286607286+0.03193667872642024j)
0.88,(0.13767160819518673+0.028518116911605423j)
0.89,(0.05941974611093139-0.004292801204869621j)
0.9,(0.24101894084991707+0.024301648698774877j)
0.91,(0.209292203175487-0.005139502149929123j)
0.92,(0.195398683314706-0.037045577852705194j)
0.93,(0.08970996693759958+0.01761132924799278j)
0.9400000000000001,(0.06972460820451593+0.053866401353840215j)
0.9500000000000001,(0.24812948619575753-0.04617428128168733j)
0.96,(0.006527963195453234-0.0017580965517546513j)
0.97,(0.17845682897175455+0.03688044139838827j)
0.98,(-0.07492628517616408+0.01194066539111331j)
0.99,(0.2462490775426261-0.038527624334786174j)
1.0,(0.021248631215805485-0.00011775672809792755j)
1.01,(0.14735147349672734+0.025103471670622872j)
1.02,(0.0127957253397081-0.028818089658273833j)
1.03,(0.13208810122713607-0.013838483217064301j)
1.04,(0.16185968191132477+0.03921735273987597j)
1.05,(0.18048393337391372+0.006968174370497498j)
1.06,(0.13987148790313522+0.021287392027496934j)
1.07,(0.066598248939583+0.002491978773297133j)
1.08,(0.1373510284843167-0.022478276195106922j)
1.09,(0.14767401705802852-0.024884514365074085j)
1.1,(0.05600443809184387+0.011338055426950515j)
1.11,(0.09415860431859804+0.010747771483396989j)
1.12,(0.0005818726816191922-0.002344548493982002j)
1.1300000000000001,(0.040041102056314906-0.0011095380647227556j)
1.1400000000000001,(-0.003320551472216589-0.0033294478817789655j)
1.1500000000000001,(0.07802516285935611-0.006444877569652995j)
1.16,(-0.046270540487351006-0.0053618200396345515j)
1.17,(0.09351056833661665+0.02257886777205803j)
1.18,(0.00839026060107597-0.0023824088723994746j)
1.19,(0.06765284250224204-0.01516179617733389j)
1.2,(0.020455348704330956+0.001822303254602926j)
1.21,(0.01727010679818773-0.0037502909678755587j)
1.22,(0.05102331851287755-0.001019743503000741j)
1.23,(0.7909766525183546-0.05952681729052537j)
1.24,(0.03322565169302312+0.003222972469082253j)
1.25,(0.021361867098679342-0.0021854824889062812j)
1.26,(0.01867215940437604-0.001654310297194282j)
1.27,(0.045624600027599216+0.010967225860521505j)
1.28,(0.011550344728468361-0.0006978885938702666j)
1.29,(0.02960364397680639-0.004379328267092699j)
1.3,(-0.006328658204901289-0.0012628264980450163j)
1.31,(0.014993902503603971+0.0005635863777935595j)
1.32,(0.0019852570692648975-0.0005743739644094317j)
1.33,(0.010218183344703166+0.00012841597840234845j)
1.34,(-0.0008999798582897575-7.248310573751254e-05j)
1.35,(0.009651896647995453-0.00018160671145684058j)
1.36,(0.0016950240709426934-0.0003835741801411907j)
1.37,(0.00691802600118116+0.00021526458286918895j)
1.3800000000000001,(0.004799522874309984+0.000308642770790244j)
1.3900000000000001,(0.00396388860561814-0.0009270034094361272j)
1.4000000000000001,(0.007703125236980649-0.0003940348724623888j)
1.41,(0.007095045456068987+0.0016356707128135544j)
1.42,(0.001185600107823717-0.00037498491819753247j)
1.43,(0.006680264036444224+0.0008896458625546391j)
1.44,(0.0010435706348036573+4.643690732572949e-05j)
1.45,(0.0061731821017384815-0.00020859608674449512j)
1.46,(0.0020995184294315384+0.0003845880742038028j)
1.47,(0.0022125242942379166+0.0007159475598867792j)
1.48,(0.0006067909775216199-8.489707596714164e-06j)
1.49,(0.001992032565705306-0.0003171913743707983j)
1.5,(0.0006909586959171742+5.418630149806808e-05j)
1.51,(0.0004467952095548202-3.820031770451e-05j)
1.52,(0.0007600570050653082-0.00019932785661491722j)
1.53,(-0.00809563691517661+0.00045407171789616836j)
1.54,(0.0009110200453848488+0.0002282088974190281j)
1.55,(0.0036549359122528104-0.0006243679845648667j)
1.56,(0.0011298835746604116-0.00014960049806353673j)
1.57,(0.0018954581544515837+0.0006875306757991813j)
1.58,(0.0023854075581776703+0.0005179699062199503j)
1.59,(0.0026912449945676953+0.0005851444500741808j)
1.6,(-0.00022476780620571033-1.550700951470369e-05j)
1.61,(0.0007280217966416023-0.0001559343187841991j)
1.62,(0.0019075687546042971-0.00029893086008020425j)
1.6300000000000001,(0.0038469122016996544-0.00019520256728259558j)
1.6400000000000001,(0.002215697651500685+0.00030169562492180093j)
1.6500000000000001,(0.0015868694314627272-0.0002853059961573849j)
1.6600000000000001,(0.0020561255238278025-0.00025444546788096055j)
1.67,(0.0008790823248419519+0.00033875765040843807j)
1.68,(-0.06624611293871599+0.0009336247003191948j)
1.69,(0.0006739131539016356-0.00016644416180835891j)
1.7,(0.0005804348771459704+4.588468605557785e-05j)
1.71,(0.000712280539691634+0.0002471421383092586j)
1.72,(0.007556008822492659-0.0011564717691958516j)
1.73,(0.0017207872961934063-8.191574643385649e-05j)
1.74,(0.0010147510428208993-0.00019872903600120763j)
1.75,(0.003574278421029883+0.00046983209340301535j)
1.76,(0.0022489945114345304-4.070269918404476e-05j)
1.77,(-0.003680784687140021-0.0002560688749253672j)
1.78,(0.00491607637143198+5.2629674790740375e-05j)
1.79,(0.008953070368547754-0.0012522738740140347j)
1.8,(0.0015516116500373831+0.00018370615967123097j)
1.81,(0.0038863666269035183-0.00012324615147224282j)
1.82,(0.005625078600105192-0.001823109631643444j)
1.83,(0.0005163419290622447-9.637507185243736e-05j)
1.84,(0.0033623289781421033+6.305352094340405e-06j)
1.85,(0.001033188850481804-0.0007558697825492137j)
1.86,(0.002901019145743004-6.1025518710302825e-05j)
1.87,(-4.2685718532509264e-05+6.896069528387125e-06j)
1.8800000000000001,(0.0011056100410987368+0.0003682774565231175j)
1.8900000000000001,(0.00022616555408961527-4.190359697120311e-05j)
1.9000000000000001,(0.0030365885725459237+9.002084944692916e-05j)
1.9100000000000001,(0.0024964154254900695+0.0001432227939750353j)
1.92,(0.003897750727188041-0.0008376317470628021j)
1.93,(0.003997699909093677-0.0005164404711555086j)
1.94,(0.006644717127036158+0.00043684075354395605j)
1.95,(0.014214440055112042-0.004306920725566419j)
1.96,(0.002752796057429422+3.175098845769003e-05j)
1.97,(0.002827050173976232-0.00020688943186252011j)
1.98,(0.03704239225456603-0.002726542148979118j)
1.99,(0.010327339706277062+0.0004261397004681858j)
2.0,(0.005755815816412564+0.0010582321114812022j)
2.0100000000000002,(0.0017294552982485606+0.0003677163200979587j)
2.02,(0.0035000497118695567-0.0003037051582349057j)
2.0300000000000002,(-0.0001701897734499952-0.00035890768245957686j)
2.04,(0.007249611987637479-0.0001665914429629782j)
2.05,(-0.000599190375532711+0.00011901936570691817j)
2.06,(0.00041604460388760357-8.165759571984263e-05j)
2.07,(-0.0006118343685513638+0.00010176584143199933j)
2.08,(-0.0031706441381023466+0.00019680116183987557j)
2.09,(0.0022399568564573243-0.0003916342133385522j)
2.1,(0.005605182458028029+0.0008079713322986197j)
2.11,(0.0009114856754374148+0.0001241705820465626j)
2.12,(0.0039822095656729265+0.0007216602948181362j)
2.13,(0.006471355224973122-0.0002904664283016678j)
2.14,(0.0016834111671724876-0.00018976779807856732j)
2.15,(0.0004400772584557029-2.83205144290726e-05j)
2.16,(0.0009072729644898476-5.053520502940863e-05j)
2.17,(0.003257521573522204+0.000563332453471567j)
2.18,(0.0035420309035130576+0.0001803725886050706j)
2.19,(0.0008893119914021351-0.0001293851354796275j)
2.2,(0.0010001946954274056+0.00018007831519694167j)
2.21,(-8.64685769164585e-05+8.012161667711503e-05j)
2.22,(0.0022391781274732716-0.00018658469149968347j)
2.23,(-0.00046767032087381574+5.895381045168389e-05j)
2.24,(0.0004944276284523331+0.00014646535484639527j)
2.25,(-0.00010294917723205918+2.8983266988064378e-05j)
2.2600000000000002,(0.000440032579612207+1.556470632732447e-05j)
2.27,(0.004105529523408348+6.287637498200977e-05j)
2.2800000000000002,(0.0003530056885519023+9.266813053492979e-05j)
2.29,(0.00013291370538282495-2.3578163427349792e-05j)
2.3000000000000003,(0.00040231566251683353-2.681366874196835e-05j)
2.31,(0.0004011333635486391+2.8135877002423276e-05j)
2.32,(-0.0028387399912088813+0.0006701762617182861j)
2.33,(0.0003058416810355599+2.4715398137726875e-05j)
2.34,(1.1632906285350487e-05-9.72617165162157e-07j)
2.35,(0.00018196434867498-3.35788188096239e-05j)
2.36,(0.0004647644159366472+1.209980645497821e-05j)
2.37,(5.5379920463466975e-05+1.1063489084340021e-05j)
2.38,(0.00017699487450432378+6.149529086248719e-06j)
2.39,(-2.2263917432229273e-05-3.028608565186343e-06j)
2.4,(6.25144748440939e-05+1.3981332090484256e-05j)
2.41,(-1.6937977875697638e-06-1.5272967882328674e-07j)
2.42,(0.0001205839323963435+4.935422962865335e-06j)
2.43,(-2.3265014859735616e-05-3.884792450734789e-06j)
2.44,(3.3379737960497592e-06-5.416995213356564e-07j)
2.45,(4.8450788333805846e-05-8.591806412947711e-06j)
2.46,(0.00013533421561412633-3.052848180104654e-05j)
2.47,(4.814123553376553e-05+2.7262374565763074e-06j)
2.48,(5.842112437017131e-05-9.830899012290177e-06j)
2.49,(0.00011383240382187915+7.421479189842923e-06j)
2.5,(3.9027495613218235e-05+1.666974423183627e-06j)
2.5100000000000002,(-2.683590190630368e-05+3.5450693292787198e-06j)
2.52,(4.4650097876428434e-06+5.834190703809247e-07j)
2.5300000000000002,(-4.074779823365506e-06+1.4600254438207224e-07j)
2.54,(7.31541196127929e-06+1.8877138934280755e-06j)
2.5500000000000003,(1.5136216362742032e-05-2.5389764832813213e-06j)
2.56,(1.435848843827191e-05-1.6191085889253862e-06j)
2.57,(-1.0400218903001408e-05+5.3327285383644303e-08j)
2.58,(2.9888707476723753e-05+3.178396598338474e-06j)
2.59,(1.147579689836143e-05+2.280805695254412e-07j)
2.6,(0.00474658267450997-0.00010796281264680241j)
2.61,(-1.6492595779414712e-05-3.976101917143944e-06j)
2.62,(1.2752684657975634e-05-2.5081965078239696e-06j)
2.63,(-5.593632356022141e-06+9.447588665682668e-07j)
2.64,(7.137799798945662e-06-2.2379686353066641e-07j)
2.65,(1.896702919879619e-05+1.5517615114735869e-06j)
2.66,(2.8524612272950972e-06-1.0711366759646686e-07j)
2.67,(6.732837819869332e-06-6.192544683475794e-07j)
2.68,(1.940094397546377e-05+1.5217675667550702e-06j)
2.69,(2.3968599603994073e-06-2.1539392907441805e-07j)
2.7,(-1.366998954018058e-06-3.891648091867466e-07j)
2.71,(1.9254285332984155e-06+9.310453378825916e-07j)
2.72,(-1.0828745391189503e-05+7.908680733341609e-07j)
2.73,(2.5100220900494875e-06+9.568872399090747e-08j)
2.74,(4.098985503598323e-06-8.439925380599159e-07j)
2.75,(-3.2888781026143775e-07-1.1007431186634179e-07j)
2.7600000000000002,(1.2162697177795022e-06-3.2794729583871424e-07j)
2.77,(2.874494860255991e-06+2.5504476148211384e-07j)
2.7800000000000002,(1.1734945537692695e-06+1.3392320501148114e-07j)
2.79,(-2.2582829591983748e-07+2.012275630593646e-08j)
2.8000000000000003,(0.00011988823740513299+2.5375822366225884e-05j)
2.81,(6.900738550873093e-07+2.1379884687832207e-07j)
2.82,(3.0076940691095052e-05+3.685275404242472e-06j)
2.83,(1.3228934591798727e-06-6.142973193099524e-08j)
2.84,(8.71524214491535e-07+1.383592083508436e-07j)
2.85,(2.203531038965657e-06-2.825499093587515e-07j)
2.86,(1.5284390811717578e-06-1.86000130063001e-08j)
2.87,(4.196876790078244e-06+5.711468356971886e-08j)
2.88,(6.332790285974812e-07-4.518234102238082e-08j)
2.89,(-1.3487052481736896e-07-1.9044551622091862e-08j)
2.9,(1.9738487514197134e-07+9.309143633089787e-09j)
2.91,(1.6003159305997578e-05+2.2064880924539317e-06j)
2.92,(3.380076919603357e-08+1.4873460146802856e-08j)
2.93,(2.8102785620154204e-07+2.0154945557122567e-08j)
2.94,(-8.510012283186195e-08+3.813250791537951e-08j)
2.95,(6.88255597712883e-07-5.850016817821397e-09j)
2.96,(6.922761399807055e-07-7.019503285647569e-07j)
2.97,(8.745400811706739e-07-5.4407234610388936e-08j)
2.98,(-3.6278879348304743e-07+4.330756808482555e-08j)
2.99,(0.00032174299156306773-2.9078360375293394e-05j)
3.0,(1.7013655081767357e-06-3.358632954897237e-08j)
3.0100000000000002,(4.403202439051812e-06+8.332142482213342e-07j)
3.02,(1.6659804589101317e-06+1.9635384883985838e-07j)
3.0300000000000002,(1.1610394111565636e-06+6.811918979874603e-08j)
3.04,(1.2682596987639593e-06-1.4921377595211716e-07j)
3.0500000000000003,(2.36889767712702e-07+2.3604614698710634e-08j)
3.06,(-1.750489373969893e-06+1.671170090543643e-07j)
3.0700000000000003,(6.305577483934514e-08+1.2780542592767508e-08j)
3.08,(-1.723433616023629e-07-5.9718053111357945e-09j)
3.09,(1.9779587969065332e-07-4.889451651529775e-08j)
3.1,(-6.466029785602875e-07-1.6042230980338337e-07j)
3.11,(1.0467817539825037e-06+1.58757146972776e-07j)
3.12,(-3.827941687821878e-07-9.0453554945421e-08j)
3.13,(1.3041941076448568e-06-8.733729240071413e-08j)
3.14,(3.6880987302963933e-09-1.4918503611177543e-08j)
3.15,(-5.667170522441121e-07+1.910460352455628e-09j)
3.16,(6.309766585559317e-08-2.4453946293489225e-08j)
3.17,(-2.978981247754849e-07+1.997044586917915e-08j)
3.18,(2.700458762449437e-07+6.369314817357282e-08j)
3.19,(6.21510061253353e-08-3.380542628914999e-09j)
3.2,(1.163810993394394e-07-5.723823040479629e-09j)
3.21,(1.5637439828182717e-07+1.6943219185934583e-08j)
3.22,(2.1800534086804218e-07-3.3912939360034244e-08j)
3.23,(4.0066857933537166e-07+4.0791749131317525e-08j)
3.24,(3.636649925571342e-08+8.91152716900709e-09j)
3.25,(-5.111208978596319e-07+5.895281207275408e-08j)
3.2600000000000002,(1.0720884883118438e-08-5.755008436764317e-09j)
3.27,(-1.3532522963894484e-07+1.703512299005505e-08j)
3.2800000000000002,(-2.6565853999429134e-08+1.7014971198276674e-09j)
3.29,(1.1426399426355027e-07-2.732288326792424e-08j)
3.3000000000000003,(-1.115325911147863e-08-2.3196680931199488e-09j)
3.31,(2.418828617986072e-08+6.246361275229922e-09j)
3.3200000000000003,(1.0850947599390725e-09-5.412564962308877e-10j)
3.33,(1.276861104557582e-09-9.806060770361428e-11j)
3.34,(-2.488671230004906e-09-6.918436193537236e-10j)
3.35,(2.0165168713095066e-09+2.4508899361213553e-10j)
3.36,(6.943281137340435e-07-1.0381422328094264e-07j)
3.37,(5.892345653011551e-09+1.1997502600275334e-09j)
3.38,(9.250970785315294e-09-1.7348832449069345e-09j)
3.39,(7.0775961031256434e-09-2.5928499333530737e-10j)
3.4,(4.843849472352146e-09-2.667730494766891e-11j)
3.41,(7.560265995451473e-09+6.576053446139635e-10j)
3.42,(1.8863481346047703e-10+8.017080018938387e-11j)
3.43,(5.822630127568197e-10-6.841116589152135e-11j)
3.44,(-1.3312055535241476e-10-1.3979723954448532e-11j)
3.45,(1.291105192580323e-10-1.1275262295963375e-11j)
3.46,(-8.180770040125194e-11-6.456226115180676e-11j)
3.47,(2.331710250542169e-10+7.377380930781003e-11j)
3.48,(2.0648980762728148e-10+4.0443837022188826e-11j)
3.49,(3.0635686033647883e-09-1.0746414302943161e-10j)
3.5,(2.655400578861296e-10+2.661386523657085e-11j)
3.5100000000000002,(1.2283931071769048e-08+3.250008148726248e-09j)
3.52,(3.4682018689440355e-10+1.2751111912019793e-12j)
3.5300000000000002,(-1.0453375151688208e-09-6.23069368716772e-12j)
3.54,(2.5181596880741137e-10+6.831373695190931e-11j)
3.5500000000000003,(4.904408965259504e-09+3.6382665555476167e-10j)
3.56,(3.2439234030362123e-10-2.5117758154467218e-11j)
3.5700000000000003,(4.3297747503159536e-10-1.1283603827191899e-10j)
3.58,(1.6917603132470713e-10+1.3460112156523527e-11j)
3.59,(3.835503780893082e-10-9.045800470289064e-11j)
3.6,(7.337129122418676e-10+2.0238847425982694e-10j)
3.61,(2.408240412174569e-09+6.813928063868845e-10j)
3.62,(6.445417352592855e-10-2.001161853124624e-10j)
3.63,(-1.5903322659751228e-09-2.163143768030537e-10j)
3.64,(6.182751708246311e-10+1.6436821009664107e-10j)
3.65,(3.755604835413797e-09+2.205803794346169e-10j)
3.66,(5.860509314759269e-10-2.657342735149957e-10j)
3.67,(2.5332450672220035e-09+3.6128435990410743e-10j)
3.68,(1.7340149439348268e-09+2.4453701351296377e-10j)
3.69,(5.276260325927824e-10-1.7628608140997832e-10j)
3.7,(-2.7032139130099204e-10+1.2840084156374957e-10j)
3.71,(2.862447960393632e-11+8.162542858621172e-12j)
3.72,(-4.902646553538202e-10-2.5282797548569562e-11j)
3.73,(1.287745153104761e-10-7.81378422186408e-12j)
3.74,(6.292869328693585e-09+7.337911311010157e-10j)
3.75,(3.3574526023634227e-09-5.419370806814553e-10j)
3.7600000000000002,(1.1103201710277357e-08-4.65845809753754e-10j)
3.77,(1.489804061012999e-08+4.017804885279088e-09j)
3.7800000000000002,(1.1567997064060393e-08-2.0628660920760617e-09j)
3.79,(2.729793645920625e-07-1.3320857754244388e-07j)
3.8000000000000003,(1.266558645030125e-08-1.3367645476399094e-09j)
3.81,(6.480138950813441e-09+6.942214368443179e-10j)
3.8200000000000003,(-3.6599175850482013e-09+2.2434661445431882e-10j)
3.83,(2.3074763347946374e-10-6.904687237400968e-11j)
3.84,(4.248567589660402e-11+1.245970543716733e-10j)
3.85,(4.5019431051149105e-10-4.7436113585139576e-11j)
3.86,(2.090846644277085e-09-2.1244355432312935e-11j)
3.87,(5.4675632670182074e-09-1.461207611735816e-11j)
3.88,(1.36878097433741e-10-2.872605963873071e-11j)
3.89,(-1.2963957879916e-08+2.897833927845264e-09j)
3.9,(-9.767644196538988e-11+6.165346700446066e-12j)
3.91,(-2.3009667077816482e-08+1.265482330517935e-09j)
3.92,(2.460483919552987e-09-3.472521200121438e-10j)
3.93,(1.1819202273768491e-08+1.5400913046051198e-09j)
3.94,(3.4743441842354077e-08+7.037062807721475e-09j)
3.95,(1.8805560367040878e-08+1.1806089397118646e-09j)
3.96,(2.0796841427926706e-08-2.8269499365306666e-09j)
3.97,(1.289316284665702e-10+1.5737701789416667e-11j)
3.98,(-7.993921789668074e-09-6.485752480586272e-10j)
3.99,(4.9439822604035064e-08-3.036456083872262e-08j)
4.0,(2.1172985768190924e-07+3.323546791189403e-08j)
