t, L_avg
0.000000000000000000e+00,9.999999999999741318e-01
1.000000000000000021e-02,7.862858370356593518e-01
2.000000000000000042e-02,7.498489023917058738e-01
2.999999999999999889e-02,8.422010721626884688e-01
4.000000000000000083e-02,7.577153770937223864e-01
5.000000000000000278e-02,6.283093960027704705e-01
5.999999999999999778e-02,7.752397730807412124e-01
7.000000000000000666e-02,7.044844265105061343e-01
8.000000000000000167e-02,8.245755815229467434e-01
8.999999999999999667e-02,8.348795389829679614e-01
1.000000000000000056e-01,7.730507075475014922e-01
1.100000000000000006e-01,7.837113814284450974e-01
1.199999999999999956e-01,7.888279603296148856e-01
1.300000000000000044e-01,6.892642169775400340e-01
1.400000000000000133e-01,8.307137987212345198e-01
1.499999999999999944e-01,6.736277450315258930e-01
1.600000000000000033e-01,7.871434217422283997e-01
1.700000000000000122e-01,8.043692889091047515e-01
1.799999999999999933e-01,8.113769875387149000e-01
1.900000000000000022e-01,7.305370156820075733e-01
2.000000000000000111e-01,6.651210721007552173e-01
2.099999999999999922e-01,7.427812616216948882e-01
2.200000000000000011e-01,7.308326460238769862e-01
2.300000000000000100e-01,6.729608427025937090e-01
2.399999999999999911e-01,6.943906379493594017e-01
2.500000000000000000e-01,6.496688072127663194e-01
2.600000000000000089e-01,5.557911745510049073e-01
2.700000000000000178e-01,7.373421031915700086e-01
2.800000000000000266e-01,7.546249887189411254e-01
2.899999999999999800e-01,6.621565411745026219e-01
2.999999999999999889e-01,6.645663439100907288e-01
3.099999999999999978e-01,6.460238108038884874e-01
3.200000000000000067e-01,6.793639080575721856e-01
3.300000000000000155e-01,5.327270229642113719e-01
3.400000000000000244e-01,6.554124384822279659e-01
3.500000000000000333e-01,6.151360657194557824e-01
3.599999999999999867e-01,6.501973720973849291e-01
3.699999999999999956e-01,6.044971462340689161e-01
3.800000000000000044e-01,5.634748147037871302e-01
3.900000000000000133e-01,5.515073010034249323e-01
4.000000000000000222e-01,5.584450603849988592e-01
4.100000000000000311e-01,6.167348458129420230e-01
4.199999999999999845e-01,5.886856223807255262e-01
4.299999999999999933e-01,5.258739485381663803e-01
4.400000000000000022e-01,5.298883820973809833e-01
4.500000000000000111e-01,5.679564838200783505e-01
4.600000000000000200e-01,5.434316321661366578e-01
4.700000000000000289e-01,4.738514160286767529e-01
4.799999999999999822e-01,5.469013080811668814e-01
4.899999999999999911e-01,5.331813725611653787e-01
5.000000000000000000e-01,3.692834407189060641e-01
5.100000000000000089e-01,4.409433667236839494e-01
5.200000000000000178e-01,4.747651661449665550e-01
5.300000000000000266e-01,4.295203279189955814e-01
5.400000000000000355e-01,4.788342617577702187e-01
5.500000000000000444e-01,5.254833045244469147e-01
5.600000000000000533e-01,4.859700724749039802e-01
5.700000000000000622e-01,4.857222210777908389e-01
5.799999999999999600e-01,4.288366406049548551e-01
5.899999999999999689e-01,3.844123224498265379e-01
5.999999999999999778e-01,4.091498057384069242e-01
6.099999999999999867e-01,4.041121612818253661e-01
6.199999999999999956e-01,4.351153128018235838e-01
6.300000000000000044e-01,3.754601476613212974e-01
6.400000000000000133e-01,3.722729967766857939e-01
6.500000000000000222e-01,3.510232067860639127e-01
6.600000000000000311e-01,3.915704090683601590e-01
6.700000000000000400e-01,3.494764505536490651e-01
6.800000000000000488e-01,3.135263593991811648e-01
6.900000000000000577e-01,3.940147571206493726e-01
7.000000000000000666e-01,3.979258580779063692e-01
7.099999999999999645e-01,3.794294761061832721e-01
7.199999999999999734e-01,4.864929977758345458e-01
7.299999999999999822e-01,3.994121308187581487e-01
7.399999999999999911e-01,3.345824369833133027e-01
7.500000000000000000e-01,3.369550314759461873e-01
7.600000000000000089e-01,3.732655365992227914e-01
7.700000000000000178e-01,3.168827754237032446e-01
7.800000000000000266e-01,3.244576960313300118e-01
7.900000000000000355e-01,2.791202447326456282e-01
8.000000000000000444e-01,3.440413992350860317e-01
8.100000000000000533e-01,3.018741009271108111e-01
8.200000000000000622e-01,3.733499555900070543e-01
8.300000000000000711e-01,3.370954813948913165e-01
8.399999999999999689e-01,2.979582279015891011e-01
8.499999999999999778e-01,3.059806517732385767e-01
8.599999999999999867e-01,3.228467657104701627e-01
8.699999999999999956e-01,2.834957091497288806e-01
8.800000000000000044e-01,3.135751151814135662e-01
8.900000000000000133e-01,2.755903386916321862e-01
9.000000000000000222e-01,3.044300842646325833e-01
9.100000000000000311e-01,3.099360993270482423e-01
9.200000000000000400e-01,3.601736904744963219e-01
9.300000000000000488e-01,2.722567006258831412e-01
9.400000000000000577e-01,2.389415654450103288e-01
9.500000000000000666e-01,2.841078850303274117e-01
9.599999999999999645e-01,2.567143903576556418e-01
9.699999999999999734e-01,2.580492211402519720e-01
9.799999999999999822e-01,2.858475911734915109e-01
9.899999999999999911e-01,2.551268526522332269e-01
1.000000000000000000e+00,2.780586863941936770e-01
1.010000000000000009e+00,2.499309708747358971e-01
1.020000000000000018e+00,2.639351353857959936e-01
1.030000000000000027e+00,2.352351995575107102e-01
1.040000000000000036e+00,2.587445065122178645e-01
1.050000000000000044e+00,2.319379888000196455e-01
1.060000000000000053e+00,2.389182480049165114e-01
1.070000000000000062e+00,2.167765326296296480e-01
1.080000000000000071e+00,2.121837428961648730e-01
1.090000000000000080e+00,2.148731942780492954e-01
1.100000000000000089e+00,2.044035439803570942e-01
1.110000000000000098e+00,1.859278788824808570e-01
1.120000000000000107e+00,1.955323704853404454e-01
1.130000000000000115e+00,1.291610121009643952e-01
1.140000000000000124e+00,2.015168245897032140e-01
1.150000000000000133e+00,1.586746107837045394e-01
1.159999999999999920e+00,1.175232715201569300e-01
1.169999999999999929e+00,1.660235581355563594e-01
1.179999999999999938e+00,1.550238502095954984e-01
1.189999999999999947e+00,1.441837846304346304e-01
1.199999999999999956e+00,1.358393589050069794e-01
1.209999999999999964e+00,1.107996082969465446e-01
1.219999999999999973e+00,1.383090058018213164e-01
1.229999999999999982e+00,1.202237161581937996e-01
1.239999999999999991e+00,1.242271438022027052e-01
1.250000000000000000e+00,1.253905791050705654e-01
1.260000000000000009e+00,9.702580896747771411e-02
1.270000000000000018e+00,1.127189224276289037e-01
1.280000000000000027e+00,1.088225096009151072e-01
1.290000000000000036e+00,9.328335130488384086e-02
1.300000000000000044e+00,9.086893378744374805e-02
1.310000000000000053e+00,5.826911598383117952e-02
1.320000000000000062e+00,7.908943267563253721e-02
1.330000000000000071e+00,7.819461422134017792e-02
