time_space,trajectory
0.0,(1.000000000000032+8.245158758386743e-33j)
0.01,(0.9967645817857426+1.0379260903176037e-06j)
0.02,(0.9877594067232883+3.2204189727996935e-06j)
0.03,(0.9776943723493791+1.603298507217187e-06j)
0.04,(0.980131464212263+2.1644561398649327e-05j)
0.05,(0.995215981679472-1.3541389825222596e-05j)
0.06,(0.9972683591902063+5.482249343749619e-07j)
0.07,(0.9888579308541136+2.410996946094989e-06j)
0.08,(0.9821370781097728-0.00011946555542982877j)
0.09,(0.973825306379188+0.00010096460638269718j)
0.1,(0.9848747925028826-8.749130228576206e-06j)
0.11,(0.9923331521696087+4.7024884197694234e-06j)
0.12,(0.9797843261526044+1.5507911305740872e-06j)
0.13,(0.9857015780143433+5.745813907826605e-05j)
0.14,(0.9679789264660101+0.00016193635872293474j)
0.15,(0.9524335664451421-0.00025758953308296716j)
0.16,(0.979200930146278+9.078074411830744e-05j)
0.17,(0.9575931404331782-8.035626077643954e-06j)
0.18,(0.9668701480928668-6.48171337746944e-05j)
0.19,(0.9699834970783291+0.00012087847098948823j)
0.2,(0.9219748451854384-0.00011862739501991667j)
0.21,(0.9621170444919771-0.000124390259034554j)
0.22,(0.9462168335395726+9.925094193660341e-05j)
0.23,(0.9206949900000694+7.391326040271431e-06j)
0.24,(0.9650214351948034+1.0032850959049383e-05j)
0.25,(0.8920654632345489+7.063449645945241e-05j)
0.26,(0.900208662259971+0.00033954120515205415j)
0.27,(0.9226849521048572-0.00029771456653038015j)
0.28,(0.8645285133859237-4.700501640461177e-05j)
0.29,(0.9327820260172228-1.3301445496769464e-05j)
0.3,(0.8824132055646294-5.063937098280008e-05j)
0.31,(0.8455607579587708-0.00017164632445362956j)
0.32,(0.9077175951980677-1.6377608008035659e-06j)
0.33,(0.8061991990797012+0.00020901713088633685j)
0.34,(0.8620567771014657-6.619222208127907e-05j)
0.35000000000000003,(0.88628573127308+3.4996624400883376e-05j)
0.36,(0.764106452878205+0.00011566821870174374j)
0.37,(0.8658355379508317-0.00024998647414804597j)
0.38,(0.7880140666856831+0.00048059046923368726j)
0.39,(0.7360935680104677-0.00018310368090120394j)
0.4,(0.8713291425974905-3.373636058416246e-05j)
0.41000000000000003,(0.7268241692209723-1.7705784551227262e-05j)
