t, L_avg
0.000000000000000000e+00,9.999999999999893419e-01
1.000000000000000021e-02,9.942117544581863253e-01
2.000000000000000042e-02,9.872058570952524370e-01
2.999999999999999889e-02,9.693606700499394213e-01
4.000000000000000083e-02,9.833664523596143958e-01
5.000000000000000278e-02,9.930368833897067482e-01
5.999999999999999778e-02,9.980904919683146748e-01
7.000000000000000666e-02,9.859218321284328734e-01
8.000000000000000167e-02,9.796312714303925251e-01
8.999999999999999667e-02,9.712915186740604945e-01
1.000000000000000056e-01,9.883944529457188155e-01
1.100000000000000006e-01,9.914918429517700638e-01
1.199999999999999956e-01,9.846856333730746869e-01
1.300000000000000044e-01,9.706060814294223960e-01
1.400000000000000133e-01,9.594324987655797887e-01
1.499999999999999944e-01,9.509561242115389668e-01
1.600000000000000033e-01,9.723998480587616733e-01
1.700000000000000122e-01,9.736096802476295053e-01
1.799999999999999933e-01,9.651340543182664877e-01
1.900000000000000022e-01,9.623223223912921176e-01
2.000000000000000111e-01,9.310914826790246401e-01
2.099999999999999922e-01,9.362116483343583262e-01
2.200000000000000011e-01,9.439583764120271780e-01
2.300000000000000100e-01,9.476296262413141935e-01
2.399999999999999911e-01,9.439341831540445371e-01
2.500000000000000000e-01,8.945399751866445204e-01
2.600000000000000089e-01,9.017236455083625923e-01
2.700000000000000178e-01,9.050903168759354411e-01
2.800000000000000266e-01,9.084335282087558916e-01
2.899999999999999800e-01,9.404312050434324721e-01
2.999999999999999889e-01,8.936936722254084087e-01
3.099999999999999978e-01,8.550941643907088441e-01
3.200000000000000067e-01,8.818110749423399009e-01
3.300000000000000155e-01,8.806072856328883702e-01
3.400000000000000244e-01,8.960587664479441328e-01
3.500000000000000333e-01,9.198605650842760495e-01
3.599999999999999867e-01,9.067711729648832986e-01
3.699999999999999956e-01,8.875179192820805696e-01
3.800000000000000044e-01,8.772628293997161153e-01
3.900000000000000133e-01,8.840624660615259423e-01
4.000000000000000222e-01,8.839740042745659609e-01
4.100000000000000311e-01,8.650658271608946404e-01
4.199999999999999845e-01,8.394291702255709531e-01
4.299999999999999933e-01,8.433442646141624532e-01
4.400000000000000022e-01,8.127436113769119785e-01
4.500000000000000111e-01,8.456642048035811765e-01
4.600000000000000200e-01,8.518078376283482189e-01
4.700000000000000289e-01,8.194228440547257630e-01
4.799999999999999822e-01,8.085732490525869842e-01
4.899999999999999911e-01,7.236909324199347626e-01
5.000000000000000000e-01,7.352001735921704917e-01
5.100000000000000089e-01,7.572531476707755616e-01
5.200000000000000178e-01,7.865418981712852808e-01
5.300000000000000266e-01,7.721233139879992713e-01
5.400000000000000355e-01,6.924590080667301084e-01
5.500000000000000444e-01,7.535131832457834244e-01
5.600000000000000533e-01,7.240892919814775341e-01
5.700000000000000622e-01,7.300089515998869905e-01
5.799999999999999600e-01,7.278308249754879000e-01
5.899999999999999689e-01,6.792208080106254542e-01
5.999999999999999778e-01,6.091554574254696153e-01
6.099999999999999867e-01,6.389217570814246239e-01
6.199999999999999956e-01,6.314951039649203679e-01
6.300000000000000044e-01,6.292422566790903948e-01
6.400000000000000133e-01,6.535723787399504436e-01
6.500000000000000222e-01,5.872246997754111408e-01
6.600000000000000311e-01,5.812723955860571445e-01
6.700000000000000400e-01,5.667926216352552338e-01
6.800000000000000488e-01,6.121333105785635720e-01
6.900000000000000577e-01,5.971189560351045644e-01
7.000000000000000666e-01,6.302864636786479346e-01
7.099999999999999645e-01,5.457766829235859429e-01
7.199999999999999734e-01,5.822396720625897526e-01
7.299999999999999822e-01,5.511612935580763040e-01
7.399999999999999911e-01,5.636623045537509924e-01
7.500000000000000000e-01,5.160228201479151178e-01
7.600000000000000089e-01,5.229991218178715595e-01
7.700000000000000178e-01,5.200511519867966337e-01
7.800000000000000266e-01,4.284607850713448851e-01
7.900000000000000355e-01,5.085172296153446236e-01
8.000000000000000444e-01,4.731991850224630536e-01
8.100000000000000533e-01,5.102303876736249411e-01
8.200000000000000622e-01,4.358247551043708534e-01
8.300000000000000711e-01,4.949143104334619570e-01
8.399999999999999689e-01,3.773872674425140517e-01
8.499999999999999778e-01,4.591742712282096961e-01
8.599999999999999867e-01,4.196548136851905308e-01
