t, L_avg
1.500000000000000031e-03,9.233176105204290440e-01
1.540000000000000136e-03,9.314963475866049336e-01
1.580000000000000024e-03,9.418653411711148671e-01
1.620000000000000129e-03,9.530378821239897658e-01
1.660000000000000017e-03,9.616438681485156570e-01
1.700000000000000122e-03,9.687461526380267696e-01
1.740000000000000010e-03,9.794081511863922396e-01
1.780000000000000115e-03,9.896374089326822610e-01
1.820000000000000003e-03,9.947489776878297718e-01
1.860000000000000108e-03,9.978088942733254196e-01
1.899999999999999996e-03,9.982106421762010351e-01
1.940000000000000101e-03,9.984265202624662550e-01
1.979999999999999989e-03,9.983093314097213344e-01
2.020000000000000094e-03,9.975246964353114976e-01
2.060000000000000199e-03,9.953176647373083163e-01
2.100000000000000304e-03,9.910981190249457118e-01
2.139999999999999975e-03,9.843295326122969424e-01
2.180000000000000080e-03,9.754424008396566093e-01
2.220000000000000185e-03,9.809794376244485026e-01
2.259999999999999856e-03,9.542477058145282243e-01
2.299999999999999961e-03,9.443172810150146645e-01
2.340000000000000066e-03,9.587134062886812913e-01
2.380000000000000171e-03,9.572297170309298497e-01
2.420000000000000276e-03,9.516271583399562584e-01
2.460000000000000381e-03,9.485764791001510821e-01
2.500000000000000052e-03,9.484956401633074519e-01
2.540000000000000157e-03,9.522757092425001568e-01
2.579999999999999828e-03,9.567245521056297886e-01
2.619999999999999933e-03,9.637863243085005305e-01
2.660000000000000038e-03,9.715745313987070864e-01
2.700000000000000143e-03,9.791267227584168342e-01
2.740000000000000248e-03,9.856703006120297594e-01
2.780000000000000353e-03,9.909036189221172020e-01
2.820000000000000458e-03,9.957353129325308139e-01
2.860000000000000129e-03,9.978980956668572766e-01
2.900000000000000234e-03,9.976080775624536212e-01
2.939999999999999905e-03,9.968328104324044592e-01
2.980000000000000010e-03,9.955443591858319508e-01
3.020000000000000115e-03,9.926989351139767770e-01
3.060000000000000220e-03,9.892843592064624048e-01
3.100000000000000325e-03,9.890368002564298155e-01
3.140000000000000430e-03,9.865905275348476611e-01
3.180000000000000101e-03,9.845848037913778050e-01
3.220000000000000206e-03,9.806971654008669326e-01
3.259999999999999877e-03,9.758347965370375299e-01
3.299999999999999982e-03,9.560421724461503068e-01
3.340000000000000087e-03,9.596131816494763989e-01
3.380000000000000192e-03,9.501271564082660603e-01
3.420000000000000297e-03,9.493699437187442802e-01
3.460000000000000402e-03,9.530715065073374070e-01
3.500000000000000073e-03,9.524193598794461479e-01
3.540000000000000178e-03,9.572854898688020198e-01
3.580000000000000283e-03,9.646015069952937893e-01
3.620000000000000388e-03,9.672566149186114792e-01
3.660000000000000059e-03,9.730530128234529119e-01
3.700000000000000164e-03,9.797438909792057782e-01
3.740000000000000269e-03,9.870212918629721610e-01
3.780000000000000374e-03,9.917725814971063425e-01
