t, L_avg
1.500000000000000031e-03,8.206574677213485103e-01
1.540000000000000136e-03,8.168494069520746415e-01
1.580000000000000024e-03,7.991628786095865689e-01
1.620000000000000129e-03,7.954119870839291284e-01
1.660000000000000017e-03,9.001163417692877866e-01
1.700000000000000122e-03,8.262591446895128922e-01
1.740000000000000010e-03,7.780380878903063735e-01
1.780000000000000115e-03,9.531690116748094965e-01
1.820000000000000003e-03,8.631482163575638911e-01
1.860000000000000108e-03,7.918153533889423779e-01
1.899999999999999996e-03,9.119635040725408981e-01
1.940000000000000101e-03,8.861073774123882085e-01
1.979999999999999989e-03,7.769874067032213061e-01
2.020000000000000094e-03,8.706390999121202956e-01
2.060000000000000199e-03,8.825936938553453626e-01
2.100000000000000304e-03,7.619585901207759360e-01
2.139999999999999975e-03,8.101916857821993556e-01
2.180000000000000080e-03,8.608738856592055289e-01
2.220000000000000185e-03,7.732874666932132435e-01
2.259999999999999856e-03,7.396490683844143543e-01
2.299999999999999961e-03,8.246945215324990031e-01
2.340000000000000066e-03,8.715227356691517269e-01
2.380000000000000171e-03,7.535189909706505595e-01
2.420000000000000276e-03,8.150664394237967514e-01
2.460000000000000381e-03,9.764049239896406274e-01
2.500000000000000052e-03,7.841107438095107351e-01
2.540000000000000157e-03,7.861654499594750156e-01
2.579999999999999828e-03,1.034585935440383242e+00
2.619999999999999933e-03,8.051513238822658458e-01
2.660000000000000038e-03,7.474273528704611369e-01
2.700000000000000143e-03,1.062973963754082041e+00
2.740000000000000248e-03,7.982963659261494982e-01
2.780000000000000353e-03,7.064723800597019210e-01
2.820000000000000458e-03,1.036524214511192810e+00
2.860000000000000129e-03,7.803011967461740417e-01
2.900000000000000234e-03,6.640292158850762405e-01
2.939999999999999905e-03,9.775389273681626134e-01
2.980000000000000010e-03,7.588030432718425589e-01
3.020000000000000115e-03,6.304137744902802432e-01
3.060000000000000220e-03,9.129582635313044925e-01
3.100000000000000325e-03,7.362161288151944927e-01
3.140000000000000430e-03,6.387217511395800740e-01
3.180000000000000101e-03,8.379958078607018246e-01
3.220000000000000206e-03,7.220087439072380153e-01
3.259999999999999877e-03,6.580195122222869397e-01
3.299999999999999982e-03,7.676110804971045809e-01
3.340000000000000087e-03,7.405951723319188496e-01
3.380000000000000192e-03,6.766630197452895290e-01
3.420000000000000297e-03,7.460437676055984291e-01
3.460000000000000402e-03,7.686213669430250750e-01
3.500000000000000073e-03,6.803579958526719818e-01
3.540000000000000178e-03,7.152741214329896291e-01
3.580000000000000283e-03,7.982003510994255535e-01
3.620000000000000388e-03,6.844183651576686289e-01
3.660000000000000059e-03,6.905508489191207744e-01
3.700000000000000164e-03,8.055297629297017981e-01
3.740000000000000269e-03,6.866370432416932790e-01
3.780000000000000374e-03,6.713632432053023846e-01
3.820000000000000045e-03,7.889905261082953425e-01
3.860000000000000150e-03,7.213349033158458212e-01
3.900000000000000255e-03,6.556264054703248023e-01
3.940000000000000793e-03,7.997160206836946283e-01
3.980000000000000031e-03,7.247654994950796237e-01
4.020000000000000136e-03,6.424862611242148080e-01
4.060000000000000241e-03,7.740799993499424270e-01
4.100000000000000346e-03,7.043673029232732086e-01
4.140000000000000450e-03,6.394026067589322349e-01
4.179999999999999688e-03,7.317578981946200045e-01
4.219999999999999793e-03,6.948262482365623605e-01
4.259999999999999898e-03,6.401021395776893552e-01
4.300000000000000003e-03,7.098077736295467233e-01
4.340000000000000108e-03,6.566940408110650829e-01
4.380000000000000213e-03,6.550137187699160979e-01
4.420000000000000318e-03,7.032809172299960832e-01
4.460000000000000422e-03,5.997758185197418213e-01
4.500000000000000527e-03,6.995592272718107463e-01
4.540000000000000632e-03,7.062002120922428183e-01
4.580000000000000737e-03,5.851964907719949816e-01
4.620000000000000842e-03,8.608947021154755852e-01
4.660000000000000080e-03,7.164649731968545376e-01
4.700000000000000185e-03,5.916115675103139626e-01
4.740000000000000289e-03,1.055222277771585393e+00
4.780000000000000394e-03,7.279388166125453363e-01
4.820000000000000499e-03,6.021398794259111842e-01
4.859999999999999737e-03,1.598068236737544057e+00
4.899999999999999842e-03,7.339709813676267292e-01
4.939999999999999947e-03,6.188265982782714669e-01
4.980000000000000052e-03,1.994426731167525890e+00
5.020000000000000157e-03,7.336404370373874606e-01
5.060000000000000261e-03,6.497872671669315814e-01
5.100000000000000366e-03,2.064863778347151957e+00
5.140000000000000471e-03,7.212669808269859262e-01
5.180000000000000576e-03,6.661263193084256962e-01
5.220000000000000681e-03,1.777548623400281524e+00
5.260000000000000786e-03,6.974813617550355005e-01
5.300000000000000891e-03,7.079508855884302232e-01
5.340000000000000996e-03,1.138889865342698204e+00
5.380000000000000233e-03,6.837133716522130200e-01
5.420000000000001206e-03,8.012421498109929541e-01
5.459999999999999576e-03,8.612784990845253619e-01
5.499999999999999681e-03,6.812386111830108781e-01
5.539999999999999786e-03,1.038631724177935478e+00
5.579999999999999891e-03,7.696514560277900596e-01
5.619999999999999996e-03,6.904553689893895285e-01
5.660000000000000100e-03,1.979453617060310311e+00
5.700000000000000205e-03,7.214371812944955220e-01
5.740000000000000310e-03,6.861535568418311026e-01
5.780000000000000415e-03,2.794333294436190940e+00
5.820000000000000520e-03,6.852128992899602089e-01
5.860000000000000625e-03,6.768237244475121539e-01
5.900000000000000730e-03,3.165203195046743190e+00
5.940000000000000835e-03,6.302966683475504928e-01
5.980000000000000940e-03,6.691396944735898966e-01
6.020000000000001045e-03,2.519672228206263576e+00
6.060000000000001150e-03,5.824345870206353304e-01
6.100000000000001255e-03,6.741254727679797387e-01
6.139999999999999625e-03,1.319869507936548336e+00
6.179999999999999730e-03,5.484172205883253159e-01
6.219999999999999835e-03,6.894472396971543793e-01
6.259999999999999939e-03,7.333639138981578043e-01
6.300000000000000044e-03,5.268796491622651512e-01
6.340000000000000149e-03,7.197081002586255272e-01
6.380000000000000254e-03,4.897213877861247289e-01
6.420000000000000359e-03,5.170553219305611403e-01
6.460000000000000464e-03,7.908565365881201625e-01
6.500000000000000569e-03,3.936662877147064088e-01
6.540000000000000674e-03,5.509413849068116598e-01
6.580000000000000779e-03,8.435643122491205403e-01
6.620000000000000884e-03,3.753088689738247608e-01
6.660000000000000989e-03,5.887989108007913863e-01
6.700000000000001094e-03,9.725064888902290594e-01
6.740000000000001198e-03,3.970477664932030581e-01
6.780000000000001303e-03,6.197600677383170442e-01
6.819999999999999674e-03,1.030318337835506748e+00
6.859999999999999779e-03,4.173220325188972124e-01
6.899999999999999883e-03,6.105120356661941639e-01
6.939999999999999988e-03,9.575298597541770373e-01
6.980000000000000093e-03,4.271322198495410283e-01
7.020000000000000198e-03,6.469122072234645415e-01
7.060000000000000303e-03,8.731952350061551460e-01
7.100000000000000408e-03,4.378211261504911800e-01
7.140000000000000513e-03,6.626197475231309086e-01
7.180000000000000618e-03,7.646113311073566843e-01
7.220000000000000723e-03,4.240110643202719132e-01
7.260000000000000828e-03,6.402522626273370321e-01
7.300000000000000933e-03,6.391928701317757255e-01
7.340000000000001038e-03,4.150238138213199202e-01
7.380000000000001142e-03,6.034714568022658820e-01
7.420000000000001247e-03,5.512326877151314530e-01
7.460000000000001352e-03,4.232902110103791693e-01
7.499999999999999722e-03,6.004469844961641822e-01
7.539999999999999827e-03,5.120919398201795314e-01
7.579999999999999932e-03,4.364802300481563924e-01
7.620000000000000037e-03,5.954922953260514129e-01
7.660000000000000142e-03,4.861540938487090013e-01
7.700000000000000247e-03,4.695175807409003310e-01
7.740000000000000352e-03,5.900686797018053209e-01
7.780000000000000457e-03,4.684728790008516053e-01
7.820000000000000562e-03,5.668543066299727151e-01
7.860000000000000667e-03,6.063822358644415100e-01
7.900000000000000772e-03,4.600087018738628908e-01
7.940000000000000877e-03,7.485272096074293557e-01
7.980000000000000981e-03,5.896123910199873031e-01
8.020000000000001086e-03,4.511004860895375668e-01
8.060000000000001191e-03,9.516128656915032735e-01
8.100000000000001296e-03,5.585095278038989530e-01
8.140000000000001401e-03,4.306092340251587158e-01
8.179999999999999771e-03,1.225777729190084209e+00
8.219999999999999876e-03,5.195892462811121382e-01
8.259999999999999981e-03,4.022550906374698920e-01
8.300000000000000086e-03,1.874111767432194320e+00
8.340000000000000191e-03,5.178472896751475929e-01
8.380000000000000296e-03,3.748032058771756381e-01
8.420000000000000401e-03,1.655309109517320021e+00
8.460000000000000506e-03,5.089680832192565729e-01
8.500000000000000611e-03,3.391434718874530851e-01
8.540000000000000716e-03,1.317681105872842373e+00
8.580000000000000820e-03,4.948971487608470055e-01
8.620000000000000925e-03,2.375791974345413948e-01
8.660000000000001030e-03,1.184893291268964699e+00
8.700000000000001135e-03,4.894337748745906103e-01
8.740000000000001240e-03,1.173882025225481129e-01
8.780000000000001345e-03,9.887088242546292483e-01
8.820000000000001450e-03,4.942579586406635195e-01
8.859999999999999820e-03,3.054146175073712000e-01
8.899999999999999925e-03,7.825456232360998854e-01
8.940000000000000030e-03,4.981744469589496349e-01
8.980000000000000135e-03,1.316386885268316931e+00
9.020000000000000240e-03,6.374514939306463734e-01
9.060000000000000345e-03,4.966554224709182619e-01
9.100000000000000450e-03,5.827252432970025708e+00
9.140000000000000555e-03,5.790564016854061746e-01
