time_space,trajectory
0.0,(1.000000000001122+6.542601183825054e-32j)
0.01,(0.9992707993316904-1.0877418981115462e-08j)
0.02,(0.9980412299878172-1.1212550545052311e-07j)
0.03,(0.9967940404986723+5.269822391245807e-08j)
0.04,(0.9979014979455981-1.674944591717629e-07j)
0.05,(0.9992858458739706-1.0278643313836515e-07j)
0.06,(0.9991478040816204-1.357894127407022e-08j)
0.07,(0.9985590801921527-2.902875494127532e-07j)
0.08,(0.9964658075604697+5.562868289769887e-07j)
0.09,(0.9966256622097809+3.6335655155190256e-07j)
0.1,(0.997529352417561-8.136047944561078e-08j)
0.11,(0.9974492594782249-9.41072604767749e-08j)
0.12,(0.9961137726322646-9.686132622450792e-08j)
0.13,(0.9937910794031214-7.559053111098931e-07j)
0.14,(0.9925474872514046-3.103868217505974e-06j)
0.15,(0.9914628287607707-2.8922912222206194e-06j)
0.16,(0.9907227389066511-8.111436306103528e-07j)
0.17,(0.9888306500062526-1.019046997893329e-08j)
0.18,(0.9859660871344493+7.356624615386171e-08j)
0.19,(0.9829884227538107-1.0514591756831937e-06j)
0.2,(0.9806515392520307-2.4459406158621506e-06j)
0.21,(0.9782282403850936-3.218095088087572e-06j)
0.22,(0.975466807737914-1.3890357654237253e-06j)
0.23,(0.9716971251085941-1.6460163648898705e-08j)
0.24,(0.96701896932994-9.170016477432548e-07j)
0.25,(0.964338664250133-1.3163580033794073e-06j)
0.26,(0.9599935168981828-8.648716451811997e-07j)
0.27,(0.9562362856145299+4.26358161661584e-07j)
0.28,(0.9518568153059674+8.665155015557622e-08j)
0.29,(0.9464791544743062-4.362007849546516e-09j)
0.3,(0.9428463929183992-8.13108292075329e-07j)
0.31,(0.9371993979641041-1.631146387196278e-06j)
0.32,(0.9338106351101895+3.285339094665849e-07j)
0.33,(0.9291225580569823+3.199621263707445e-07j)
0.34,(0.9238781830107683-1.0106695596811166e-07j)
0.35000000000000003,(0.9197033906252576+4.735183660069534e-08j)
0.36,(0.9138368220475008+6.854962747933655e-07j)
0.37,(0.9112652067324684+7.117211638809641e-07j)
0.38,(0.9069643556858583-2.2135928207425786e-06j)
0.39,(0.9024986108821365-5.946840315934821e-07j)
0.4,(0.8982401475019155+3.611169736964288e-07j)
0.41000000000000003,(0.8931867944649367+5.794809360562538e-07j)
0.42,(0.8910656469103708+3.7167247565532336e-06j)
0.43,(0.8877264012512363+2.651552062475099e-06j)
0.44,(0.8842931516291441+1.441490726287546e-06j)
0.45,(0.8796824657678599+1.3475979634838989e-06j)
0.46,(0.8750572903074298-5.741362775967959e-09j)
0.47000000000000003,(0.8720497831045313+1.0238600175798028e-07j)
0.48,(0.8681107933949397+1.0387594260900065e-06j)
0.49,(0.8646724510072585+5.307724356764123e-06j)
0.5,(0.8604712742793639+7.370195844955089e-06j)
0.51,(0.8558427981584594+1.7055794668922705e-06j)
0.52,(0.8513491916657291+5.977760569807253e-09j)
0.53,(0.8464505488116881-1.0067213474935353e-07j)
0.54,(0.8416789401193266-5.618471697239295e-07j)
0.55,(0.8363829291673684+7.52013514124609e-07j)
0.56,(0.82985126435622-1.387328497887713e-06j)
0.5700000000000001,(0.8231647984776294-1.1761093939554301e-07j)
0.58,(0.8165459597892805-2.5022480748231006e-08j)
0.59,(0.8096678627592091+1.4644368600683598e-06j)
0.6,(0.80221660239976+4.5050944069544966e-06j)
0.61,(0.7939208090126482-2.466489392648247e-06j)
0.62,(0.7857498846540641-2.3780032843754452e-06j)
0.63,(0.7766351015947949-5.480695709818217e-07j)
0.64,(0.7680852777356989-2.3548555669432818e-08j)
0.65,(0.7593865102560037-2.775551731171975e-07j)
0.66,(0.7494191884739443-4.983103934654716e-06j)
0.67,(0.7387746850712824-3.0436932458928482e-06j)
0.68,(0.7265242723555589-2.6576474321790554e-06j)
0.6900000000000001,(0.7156603423229836-2.74942476004183e-07j)
0.7000000000000001,(0.7048177042738775-1.1754289696425934e-06j)
0.71,(0.6938001571251191-4.4633852042789275e-06j)
0.72,(0.6825729069433446+1.2508976521305876e-06j)
0.73,(0.6706849138034332+4.6040624862685057e-07j)
0.74,(0.6600175840977557-7.147885541619947e-07j)
0.75,(0.6481334468756247-9.660952587675658e-08j)
0.76,(0.6367969711812921-2.0832377775363946e-06j)
0.77,(0.6254026087444119-5.559517278119707e-06j)
0.78,(0.6138079978684263-1.0860291046267188e-05j)
0.79,(0.60354589360757-6.264673878291495e-06j)
0.8,(0.5929432796471437-1.6388305757247525e-06j)
0.81,(0.583542729073015-6.036782019380148e-08j)
0.8200000000000001,(0.5744845351411012+1.5978580444900963e-06j)
0.8300000000000001,(0.5657046941294254+1.6037371860583409e-06j)
0.84,(0.5575945167381142-1.7840089068658666e-06j)
0.85,(0.5500935349045845-5.761326509441889e-06j)
0.86,(0.5435358797427788-1.4446619197142423e-06j)
0.87,(0.5372557059356546+1.6721247809259285e-08j)
0.88,(0.531013349381931-1.5278032378238052e-06j)
0.89,(0.5246143118225867-2.437682107094177e-06j)
0.9,(0.5188350386042992-2.9426812055433006e-06j)
0.91,(0.5135791882037853+1.057758541046137e-06j)
0.92,(0.509521870552792+2.1874492111420812e-07j)
0.93,(0.505696412676626-9.312288310552559e-08j)
0.9400000000000001,(0.5022233221175094-1.1547237623078308e-06j)
0.9500000000000001,(0.4988034442386806-2.8486907622382607e-06j)
0.96,(0.49435501313835295+7.185282554673239e-07j)
0.97,(0.4906590904932942+5.201816936364069e-08j)
0.98,(0.485972449087939+9.533744890881775e-08j)
0.99,(0.4812407333379571+4.1302235590104347e-07j)
1.0,(0.4763059467117623+4.380954186205988e-07j)
1.01,(0.47100873055521203-1.3730433833382518e-06j)
1.02,(0.466490220937561-3.7457090002045856e-06j)
1.03,(0.4605905075193818-4.566487644376636e-07j)
1.04,(0.4543430710823823+1.2727749382744231e-08j)
1.05,(0.4470301933670606+6.715334012244763e-07j)
1.06,(0.4396168171474642+1.7689000182738017e-06j)
1.07,(0.4322001554291923-2.029564042657145e-06j)
1.08,(0.4236198930165118-2.5655425146717273e-06j)
1.09,(0.4148894556190759-8.720541281118637e-07j)
1.1,(0.4044637249441377-1.2387072589868636e-07j)
1.11,(0.3931368557077813-1.3170237764696435e-06j)
1.12,(0.3809448851854655-1.7545943807391153e-06j)
1.1300000000000001,(0.368593677959207+9.814183411467804e-07j)
1.1400000000000001,(0.3567246832921291+1.5431569499009033e-06j)
1.1500000000000001,(0.3444567375282637-1.1836480505364846e-07j)
1.16,(0.3319236190150851-1.6460988795489214e-07j)
1.17,(0.3186462970759515-1.7601105074213046e-06j)
1.18,(0.3053348194406276-3.0093697722610386e-06j)
1.19,(0.29184766465802986-2.0114786858751064e-06j)
1.2,(0.27823992539392745-1.996045789417441e-06j)
1.21,(0.26479879235594556-3.5443899292895775e-07j)
1.22,(0.2516827940636207-9.561798619549623e-08j)
1.23,(0.23923168592591637+6.743172839249451e-07j)
1.24,(0.2274004494802125+1.6073051633165742e-07j)
1.25,(0.21619207044475486-2.443818269475246e-06j)
1.26,(0.20530991923107664-1.0443493661316078e-06j)
1.27,(0.19502738747277562-1.3754659415932186e-07j)
1.28,(0.18525947213443802+1.663320411401529e-07j)
1.29,(0.17648420634331694-5.43313170965899e-07j)
1.3,(0.16844974437731047-1.9940883002063656e-06j)
1.31,(0.16079916810560535-8.467395645709045e-07j)
1.32,(0.15359195534754613-6.184149977638451e-07j)
1.33,(0.14674462701750476+1.298135513212021e-08j)
