t, L_avg
0.000000000000000000e+00,1.000000000000986322e+00
1.000000000000000021e-02,9.977288113345227361e-01
2.000000000000000042e-02,9.905323821513573046e-01
2.999999999999999889e-02,9.899359839541203021e-01
4.000000000000000083e-02,9.927827438202251331e-01
5.000000000000000278e-02,9.954597125795263679e-01
5.999999999999999778e-02,9.877459002593127479e-01
7.000000000000000666e-02,9.882276413473078946e-01
8.000000000000000167e-02,9.925934004741276961e-01
8.999999999999999667e-02,9.905496768436604649e-01
1.000000000000000056e-01,9.911425321775033659e-01
1.100000000000000006e-01,9.852981904753361775e-01
1.199999999999999956e-01,9.861680410313071743e-01
1.300000000000000044e-01,9.834789500131670970e-01
1.400000000000000133e-01,9.776747901463567203e-01
1.499999999999999944e-01,9.750723750315000160e-01
1.600000000000000033e-01,9.879715846806360613e-01
1.700000000000000122e-01,9.822721357126822372e-01
1.799999999999999933e-01,9.744943385030708782e-01
1.900000000000000022e-01,9.756283083006483947e-01
2.000000000000000111e-01,9.803538383355390184e-01
2.099999999999999922e-01,9.783854523920563206e-01
2.200000000000000011e-01,9.771829666452152008e-01
2.300000000000000100e-01,9.733791970602884147e-01
2.399999999999999911e-01,9.575742982403928627e-01
2.500000000000000000e-01,9.615290136760721307e-01
2.600000000000000089e-01,9.587217399986897037e-01
2.700000000000000178e-01,9.571334479328982292e-01
2.800000000000000266e-01,9.473274456905670382e-01
2.899999999999999800e-01,9.439456689830700853e-01
2.999999999999999889e-01,9.411633689035205919e-01
3.099999999999999978e-01,9.416092037980977603e-01
3.200000000000000067e-01,9.331612071334005609e-01
3.300000000000000155e-01,9.142033973925138834e-01
3.400000000000000244e-01,9.187971543192052781e-01
3.500000000000000333e-01,9.140845580832838158e-01
3.599999999999999867e-01,9.064285305853754249e-01
3.699999999999999956e-01,8.987907563454086146e-01
3.800000000000000044e-01,8.689360277021699330e-01
3.900000000000000133e-01,8.859816014775434567e-01
4.000000000000000222e-01,8.942742800416405569e-01
4.100000000000000311e-01,8.852179759465816922e-01
4.199999999999999845e-01,8.906022329036964447e-01
4.299999999999999933e-01,8.467728962293830097e-01
4.400000000000000022e-01,8.354184039053478283e-01
4.500000000000000111e-01,8.431498595082238534e-01
4.600000000000000200e-01,8.206716097549386912e-01
4.700000000000000289e-01,8.252823771297338462e-01
4.799999999999999822e-01,8.016722300685372726e-01
4.899999999999999911e-01,7.813485556410486588e-01
5.000000000000000000e-01,7.995931851004662860e-01
5.100000000000000089e-01,8.111886156255817548e-01
5.200000000000000178e-01,8.235923919599972276e-01
5.300000000000000266e-01,7.936264073615101333e-01
5.400000000000000355e-01,7.333819759243038749e-01
5.500000000000000444e-01,6.929862330456026953e-01
5.600000000000000533e-01,6.969738673703225196e-01
5.700000000000000622e-01,7.102413023108732348e-01
5.799999999999999600e-01,6.938609707009183447e-01
5.899999999999999689e-01,6.761252639953226895e-01
5.999999999999999778e-01,6.616261965583549731e-01
6.099999999999999867e-01,6.946928009971895523e-01
6.199999999999999956e-01,7.108361578063258079e-01
6.300000000000000044e-01,6.976855898510734288e-01
6.400000000000000133e-01,6.500255588446288701e-01
6.500000000000000222e-01,5.782629484883559101e-01
6.600000000000000311e-01,5.658690387291793744e-01
6.700000000000000400e-01,5.786180156926949980e-01
6.800000000000000488e-01,5.651602991733266634e-01
6.900000000000000577e-01,5.575890398619305355e-01
7.000000000000000666e-01,5.586426077910262578e-01
7.099999999999999645e-01,5.773164831638535333e-01
7.199999999999999734e-01,5.854643276795938878e-01
7.299999999999999822e-01,5.816005795848266935e-01
7.399999999999999911e-01,5.522117114002652594e-01
7.500000000000000000e-01,4.854828589698756414e-01
7.600000000000000089e-01,4.502667168369400841e-01
7.700000000000000178e-01,4.298582967061863602e-01
7.800000000000000266e-01,4.249950286001847877e-01
7.900000000000000355e-01,4.362067784076679722e-01
8.000000000000000444e-01,4.455092260973027019e-01
8.100000000000000533e-01,4.730577425405757541e-01
8.200000000000000622e-01,4.592199622560056427e-01
8.300000000000000711e-01,4.382343388871452472e-01
8.399999999999999689e-01,4.430849556795795063e-01
8.499999999999999778e-01,3.937834289797361720e-01
8.599999999999999867e-01,3.671701777410697476e-01
8.699999999999999956e-01,3.440001567354384338e-01
8.800000000000000044e-01,3.322100619415829792e-01
8.900000000000000133e-01,3.417632960266723252e-01
9.000000000000000222e-01,3.347042102709328892e-01
9.100000000000000311e-01,3.597759112449178120e-01
9.200000000000000400e-01,3.390241856064533099e-01
9.300000000000000488e-01,3.255495702789218404e-01
9.400000000000000577e-01,3.297012165404290540e-01
9.500000000000000666e-01,3.048925624346143226e-01
9.599999999999999645e-01,2.956393204079802994e-01
9.699999999999999734e-01,2.880854001015283883e-01
9.799999999999999822e-01,2.814020986494122356e-01
9.899999999999999911e-01,2.784080503109324090e-01
1.000000000000000000e+00,2.757485107037408456e-01
1.010000000000000009e+00,2.691596514354121505e-01
1.020000000000000018e+00,2.885395203286623689e-01
1.030000000000000027e+00,2.868514115665619091e-01
1.040000000000000036e+00,2.919884789505885481e-01
1.050000000000000044e+00,2.592407495290374175e-01
1.060000000000000053e+00,2.508529536169215035e-01
1.070000000000000062e+00,2.514150663789818108e-01
1.080000000000000071e+00,2.416312247436775973e-01
1.090000000000000080e+00,2.260826039779113006e-01
1.100000000000000089e+00,2.195652008181185888e-01
1.110000000000000098e+00,2.461280635699266139e-01
1.120000000000000107e+00,2.370445405967846197e-01
1.130000000000000115e+00,2.610409436142018258e-01
1.140000000000000124e+00,2.461184846700099071e-01
1.150000000000000133e+00,2.238392487062625946e-01
1.159999999999999920e+00,2.172378791274745535e-01
1.169999999999999929e+00,2.090403148775445419e-01
1.179999999999999938e+00,1.943261690778434470e-01
1.189999999999999947e+00,2.251170100776467287e-01
1.199999999999999956e+00,2.314325490231041726e-01
1.209999999999999964e+00,2.272018172798476177e-01
1.219999999999999973e+00,2.130072170106733775e-01
1.229999999999999982e+00,1.902271041928101092e-01
1.239999999999999991e+00,1.892576240539365351e-01
1.250000000000000000e+00,1.732191647951664137e-01
1.260000000000000009e+00,1.610726047162266972e-01
1.270000000000000018e+00,1.615124478554113563e-01
1.280000000000000027e+00,1.807296488172026594e-01
1.290000000000000036e+00,1.521331984033830742e-01
1.300000000000000044e+00,1.666823423674563820e-01
1.310000000000000053e+00,1.397445846456685237e-01
1.320000000000000062e+00,1.316516753497064540e-01
1.330000000000000071e+00,1.387019902008434225e-01
1.340000000000000080e+00,1.433453916381471904e-01
1.350000000000000089e+00,1.345214129345673748e-01
1.360000000000000098e+00,1.177296790970353974e-01
1.370000000000000107e+00,1.323679297673545641e-01
1.380000000000000115e+00,1.117996859819053723e-01
1.390000000000000124e+00,1.257264839411257884e-01
1.400000000000000133e+00,1.002779557951170020e-01
1.409999999999999920e+00,1.024902403644410431e-01
1.419999999999999929e+00,1.015990167910370556e-01
1.429999999999999938e+00,1.115980118851959135e-01
1.439999999999999947e+00,1.080093804763155863e-01
1.449999999999999956e+00,1.060657343321448343e-01
1.459999999999999964e+00,9.937921107170107071e-02
1.469999999999999973e+00,9.483740152913908150e-02
1.479999999999999982e+00,9.105784502353680976e-02
1.489999999999999991e+00,8.642155543574836507e-02
1.500000000000000000e+00,8.156969162824048714e-02
1.510000000000000009e+00,7.703611184259354094e-02
1.520000000000000018e+00,7.283329230473165050e-02
1.530000000000000027e+00,7.007333411158252201e-02
1.540000000000000036e+00,7.280224912863389464e-02
1.550000000000000044e+00,7.101233540737325600e-02
1.560000000000000053e+00,6.281834934801261427e-02
1.570000000000000062e+00,5.644597893564110014e-02
1.580000000000000071e+00,5.673561006511169957e-02
1.590000000000000080e+00,5.333729897607487891e-02
1.600000000000000089e+00,4.942404422771964206e-02
1.610000000000000098e+00,4.794918310969166486e-02
1.620000000000000107e+00,4.166521551127777556e-02
1.630000000000000115e+00,4.593270528289965932e-02
1.640000000000000124e+00,4.432542670223309916e-02
1.650000000000000133e+00,5.045482253013541807e-02
1.660000000000000142e+00,4.110975719116807814e-02
1.669999999999999929e+00,3.777519399808507150e-02
1.679999999999999938e+00,3.084460218496077807e-02
1.689999999999999947e+00,2.967698209446583552e-02
1.699999999999999956e+00,3.024422006775993529e-02
1.709999999999999964e+00,3.554982094089086109e-02
1.719999999999999973e+00,3.370740536552314232e-02
1.729999999999999982e+00,3.341321776057113585e-02
1.739999999999999991e+00,3.258697373173152778e-02
1.750000000000000000e+00,3.153510739571033922e-02
1.760000000000000009e+00,3.152441426263224988e-02
1.770000000000000018e+00,2.657618006193272764e-02
1.780000000000000027e+00,2.932504266219988429e-02
1.790000000000000036e+00,2.869181541813913688e-02
1.800000000000000044e+00,2.794500387148095288e-02
1.810000000000000053e+00,2.690261989372459694e-02
1.820000000000000062e+00,2.589888037584839667e-02
1.830000000000000071e+00,2.513107732003137113e-02
1.840000000000000080e+00,2.138229385471922261e-02
1.850000000000000089e+00,2.271500857195735829e-02
