time_space,trajectory
0.0,(1.0000000000002778+1.0340155137543476e-31j)
0.01,(0.994828183512864-9.19830053007673e-09j)
0.02,(0.9984484649020033+8.857119755878728e-08j)
0.03,(0.9796970739805304-4.3806360452471995e-08j)
0.04,(0.9988550029385072-7.992158699747438e-08j)
0.05,(0.9965034376169639+1.3503825834697352e-07j)
0.06,(0.9995846985711905+3.581657480622798e-09j)
0.07,(0.9921182024983105-1.820050584119302e-07j)
0.08,(0.9968101898192496-2.463439569881724e-07j)
0.09,(0.9791573647298184+6.799050636461393e-07j)
0.1,(0.9959382602883919-3.864851306515584e-08j)
0.11,(0.9950651818968038+8.436237912489039e-08j)
0.12,(0.9953954138500047+1.0755167651624782e-08j)
0.13,(0.9849716504574008+1.1022709186632816e-08j)
0.14,(0.9885792691013657+7.298500746632154e-07j)
0.15,(0.9747946489935517+1.715284907459023e-06j)
0.16,(0.9870578106012742-9.838424412163503e-08j)
0.17,(0.9865108070505343+2.4833031905027263e-08j)
0.18,(0.9840528441002493-1.431675782776142e-08j)
0.19,(0.9721582371588442+1.4951760662650505e-06j)
0.2,(0.9727549842810767+1.548088104623715e-06j)
0.21,(0.9635608192603167-3.2002397689208065e-07j)
0.22,(0.9719836122099103-6.711211674905664e-07j)
0.23,(0.970971844967713+1.9369499421822566e-08j)
0.24,(0.9656393259795577+4.3137101713339987e-07j)
0.25,(0.953368486518008+9.123195855342737e-07j)
0.26,(0.9509478211338459+8.386937268715483e-07j)
0.27,(0.9464153086220958+1.458387265050646e-06j)
0.28,(0.9498564194007603-2.7305653874258063e-07j)
0.29,(0.9472188676574905+8.95401452377222e-09j)
0.3,(0.9384637899973296+8.996989735688123e-08j)
0.31,(0.926763291872943+2.7706748160809993e-06j)
0.32,(0.9189417174193051+3.029615794102971e-06j)
0.33,(0.918611486305558+2.9397295604410696e-06j)
0.34,(0.9168047089712245+6.92221575946399e-08j)
0.35000000000000003,(0.9102163717815499+8.060398126811492e-08j)
0.36,(0.896343719927728+7.975456205712671e-07j)
0.37,(0.8863107568951956+5.4925442081927845e-06j)
0.38,(0.8735282328650072+4.3879527700730606e-06j)
0.39,(0.8751599925233596+1.0810023240896742e-06j)
0.4,(0.8696865286280381-1.5844490028067958e-07j)
0.41000000000000003,(0.8601795931546414+5.344885884832035e-07j)
0.42,(0.8429191769081797+3.5087077476720743e-06j)
