t, L_avg
0.000000000000000000e+00,1.000000000000489830e+00
1.000000000000000021e-02,9.964050441663236946e-01
2.000000000000000042e-02,9.910691277753498341e-01
2.999999999999999889e-02,9.808682412303979525e-01
4.000000000000000083e-02,9.870520031145035844e-01
5.000000000000000278e-02,9.931702085290434745e-01
5.999999999999999778e-02,9.982027788593661466e-01
7.000000000000000666e-02,9.821027361830658720e-01
8.000000000000000167e-02,9.735353513586917362e-01
8.999999999999999667e-02,9.767422435360402222e-01
1.000000000000000056e-01,9.789403714527940004e-01
1.100000000000000006e-01,9.878482553045112580e-01
1.199999999999999956e-01,9.844233882419961557e-01
1.300000000000000044e-01,9.596738607820730627e-01
1.400000000000000133e-01,9.241534111407774255e-01
1.499999999999999944e-01,9.426280118576351175e-01
1.600000000000000033e-01,9.579156884940824845e-01
1.700000000000000122e-01,9.811370010397213459e-01
1.799999999999999933e-01,9.751031509531601360e-01
1.900000000000000022e-01,9.500628420728107759e-01
2.000000000000000111e-01,9.433430201375119228e-01
2.099999999999999922e-01,9.265050900262468137e-01
2.200000000000000011e-01,9.369618347223095389e-01
2.300000000000000100e-01,9.608249093376517447e-01
2.399999999999999911e-01,9.431578127154286451e-01
2.500000000000000000e-01,9.292531068754338319e-01
2.600000000000000089e-01,8.978186277114765801e-01
2.700000000000000178e-01,8.679431502812340327e-01
2.800000000000000266e-01,9.045625440117228688e-01
2.899999999999999800e-01,9.186642704548847460e-01
2.999999999999999889e-01,9.034516817581275117e-01
3.099999999999999978e-01,8.823534648556796700e-01
3.200000000000000067e-01,8.569393697526945797e-01
3.300000000000000155e-01,8.688100838077239541e-01
3.400000000000000244e-01,9.077540990020569467e-01
3.500000000000000333e-01,9.026333973894855589e-01
3.599999999999999867e-01,8.671705347808502662e-01
3.699999999999999956e-01,8.357782446466111015e-01
3.800000000000000044e-01,8.156853923569777898e-01
3.900000000000000133e-01,8.072455749631911592e-01
4.000000000000000222e-01,8.098473075818988232e-01
4.100000000000000311e-01,7.907069394992514155e-01
4.199999999999999845e-01,8.041314869972668866e-01
4.299999999999999933e-01,8.170406130524061616e-01
4.400000000000000022e-01,8.037282223451798213e-01
4.500000000000000111e-01,7.873122866469968173e-01
4.600000000000000200e-01,7.803236934534354408e-01
4.700000000000000289e-01,7.849677795382536960e-01
4.799999999999999822e-01,7.738877210748840163e-01
4.899999999999999911e-01,7.982843685553258073e-01
5.000000000000000000e-01,7.818126444961763788e-01
5.100000000000000089e-01,7.821346552536014851e-01
5.200000000000000178e-01,7.903344222732091584e-01
5.300000000000000266e-01,8.047631486751343211e-01
5.400000000000000355e-01,7.969900940186711580e-01
5.500000000000000444e-01,7.875426713656534794e-01
5.600000000000000533e-01,7.947996732631064098e-01
5.700000000000000622e-01,8.007910812134950707e-01
5.799999999999999600e-01,7.973042976975398544e-01
5.899999999999999689e-01,7.904507955500841287e-01
5.999999999999999778e-01,7.780490979313385846e-01
6.099999999999999867e-01,7.640793924614923682e-01
6.199999999999999956e-01,7.521572280702824020e-01
6.300000000000000044e-01,7.476724943018604463e-01
6.400000000000000133e-01,7.065713464140299660e-01
6.500000000000000222e-01,6.848458529618254298e-01
6.600000000000000311e-01,6.362233758504021175e-01
6.700000000000000400e-01,6.156781756695579588e-01
6.800000000000000488e-01,6.515071658000706201e-01
6.900000000000000577e-01,6.399199908146007143e-01
7.000000000000000666e-01,6.220540634929117019e-01
7.099999999999999645e-01,6.024221504251541237e-01
7.199999999999999734e-01,5.488222966375291278e-01
7.299999999999999822e-01,5.619284598013216669e-01
7.399999999999999911e-01,5.430899735413308171e-01
7.500000000000000000e-01,5.265140790393264547e-01
7.600000000000000089e-01,5.101261785801232129e-01
7.700000000000000178e-01,4.993467239334649643e-01
7.800000000000000266e-01,4.935551170424004042e-01
7.900000000000000355e-01,5.239516512454980290e-01
8.000000000000000444e-01,5.423831596108313891e-01
8.100000000000000533e-01,5.495394110453255543e-01
8.200000000000000622e-01,5.373233956723304505e-01
8.300000000000000711e-01,5.022758306661398997e-01
8.399999999999999689e-01,5.200873981751502617e-01
8.499999999999999778e-01,5.010835911652152808e-01
8.599999999999999867e-01,5.083505012890666697e-01
8.699999999999999956e-01,5.006391254366441279e-01
8.800000000000000044e-01,4.736732864106393270e-01
8.900000000000000133e-01,4.598182694142117777e-01
9.000000000000000222e-01,4.602505864333442664e-01
9.100000000000000311e-01,4.384460229889635130e-01
9.200000000000000400e-01,4.540959536482317427e-01
9.300000000000000488e-01,4.369058519878213365e-01
9.400000000000000577e-01,3.801608466770146078e-01
9.500000000000000666e-01,3.550403929478441745e-01
9.599999999999999645e-01,3.331373177455488332e-01
9.699999999999999734e-01,3.301967271705431584e-01
9.799999999999999822e-01,3.378569929260049620e-01
9.899999999999999911e-01,3.181084134313265643e-01
1.000000000000000000e+00,2.901644229716053847e-01
1.010000000000000009e+00,2.701730987536071771e-01
1.020000000000000018e+00,2.540944212664273394e-01
1.030000000000000027e+00,2.683547425571750633e-01
1.040000000000000036e+00,2.711718967691234550e-01
1.050000000000000044e+00,2.525491236290184349e-01
1.060000000000000053e+00,2.805611356543814550e-01
1.070000000000000062e+00,2.859613104275118278e-01
1.080000000000000071e+00,2.891098506129333723e-01
1.090000000000000080e+00,2.686305790838616758e-01
1.100000000000000089e+00,2.666322205463066419e-01
1.110000000000000098e+00,2.668866722478111519e-01
1.120000000000000107e+00,2.488174399732097086e-01
1.130000000000000115e+00,2.442679997304411654e-01
1.140000000000000124e+00,2.454988550166906647e-01
1.150000000000000133e+00,2.418345302849299605e-01
1.159999999999999920e+00,2.372582661605406040e-01
1.169999999999999929e+00,2.327257533839917625e-01
1.179999999999999938e+00,2.313466286729357613e-01
1.189999999999999947e+00,2.223459886223839721e-01
1.199999999999999956e+00,2.206173495354158964e-01
1.209999999999999964e+00,2.135308513269498221e-01
1.219999999999999973e+00,2.052577178516337142e-01
1.229999999999999982e+00,1.922825959329692858e-01
1.239999999999999991e+00,1.734716366050958469e-01
1.250000000000000000e+00,1.723607214466804372e-01
1.260000000000000009e+00,1.572578229732470578e-01
1.270000000000000018e+00,1.499435071869649749e-01
1.280000000000000027e+00,1.410038124374480284e-01
1.290000000000000036e+00,1.249356030649164812e-01
1.300000000000000044e+00,1.257627752872560456e-01
1.310000000000000053e+00,1.184707415355668869e-01
1.320000000000000062e+00,1.149668181201780326e-01
1.330000000000000071e+00,1.108155665031210213e-01
1.340000000000000080e+00,1.030375685613457021e-01
