time_space,trajectory
0.0,(0.99999999999888-7.813091906160143e-29j)
0.01,(-0.5596696869351986+1.595149980917305j)
0.02,(0.5432283990884118-0.6444392910161858j)
0.03,(0.08700032588680032-0.13439763960782924j)
0.04,(-0.165434656111093-0.3008325263493495j)
0.05,(0.2969198060030846-0.004893279639717529j)
0.06,(0.10303187065679464-0.0794025283185865j)
0.07,(-0.008451813685775331+0.03691404647580739j)
0.08,(-0.7028615443860612+3.76891884533049j)
0.09,(29.340127233074494+61.04603151848609j)
0.1,(0.05146307485126928-0.0012670212642310434j)
0.11,(9.569718028572925-60.43055562921006j)
0.12,(-86.26317920512545+73.79148888706463j)
0.13,(-0.0029756604376698992-0.004109935712554366j)
0.14,(-0.021113587552922107+0.05639605458746917j)
0.15,(0.10303161351706731+0.00881713262198506j)
0.16,(0.015053153493882726-0.0027782137167454103j)
0.17,(0.0002943410026233949-0.0006205610955515861j)
0.18,(-0.24710256494555652+1.46610254486887j)
0.19,(870.0588116174308-1654.1551250548657j)
0.2,(0.007246643048098751-0.0008685683952709948j)
0.21,(-599.8867757819207+70.67144278003197j)
0.22,(2615.1234726154053-4416.2614291566215j)
0.23,(5.4226130292812935e-05-0.002353479386756233j)
0.24,(-0.1304865222086521-0.0030809374887806034j)
0.25,(0.00809594324231778+0.0006805329022517365j)
0.26,(-0.017287704211595183-0.009548331472071169j)
0.27,(-9.758459455305521e-06+7.844967920240113e-05j)
0.28,(-0.06851071790352184+0.2188698189763906j)
0.29,(15352.783005824218-6377.840691772125j)
0.3,(0.0006245698879671832-0.000252897865996989j)
0.31,(-1690.8886420803844-1321.61270945189j)
0.32,(-137570.6212672151+78002.35953752423j)
0.33,(-3.204196488332347e-05-0.0001355877677782531j)
0.34,(-0.9774701980879419+0.1854241772724676j)
0.35000000000000003,(0.01786988257005637+0.002055027125552102j)
0.36,(0.016895623708816525-0.02372964775068837j)
0.37,(-0.0002455608228471656+0.00015238350992765408j)
0.38,(0.002264350959503149+0.0036709676797655882j)
0.39,(-21853.04525549646+152540.28393216612j)
0.4,(5.305279474868607e-05+5.264024764261028e-05j)
0.41000000000000003,(110.71686858651567+24.96538170293095j)
0.42,(638096.8123316643+448223.9743563818j)
0.43,(4.416956957183247e-06-8.433817561262182e-05j)
0.44,(-4.571129196014298+10.722000131208743j)
0.45,(0.020626055333342556-0.01283889827987055j)
0.46,(-0.010551201104527268+0.03947722422365303j)
0.47000000000000003,(-4.5647760612690445e-05-0.0005209599280506409j)
0.48,(0.0006225416282469327+0.0006043495647776823j)
0.49,(-77556.35629631256+78542.86398096006j)
0.5,(1.7420955423904277e-05+4.912196472953874e-06j)
0.51,(3.612874344977135-42.37141003282676j)
0.52,(9176291.623528419-10889753.486734554j)
0.53,(6.341955561753742e-05-3.534697446089746e-05j)
0.54,(-7.656117236162387+12.554605179452174j)
0.55,(0.051586151996730986+0.008152933991674473j)
0.56,(-0.0040601365462030045-0.002596128808267897j)
0.5700000000000001,(-0.00015688433566318275-0.0009370730465752591j)
0.58,(0.00015502771590966778+6.060861893806786e-05j)
0.59,(-40068.52854742988-8061.677470182703j)
0.6,(1.971515085706899e-05+1.3827363882352445e-05j)
0.61,(-3.1278065233517522+2.744387872481083j)
0.62,(-6352489.019153723-54343589.31337351j)
0.63,(7.080589931175077e-06-5.293670581808577e-06j)
0.64,(11.31156805660221-16.94635904190631j)
0.65,(0.43171351477836584-0.4062216628960216j)
0.66,(0.002676509077175352-0.00139972212516303j)
0.67,(0.001580034689355836-0.009283853755541667j)
0.68,(2.7617656364318206e-06-3.580692581426164e-06j)
0.6900000000000001,(33340.18432290906-23703.53215984194j)
0.7000000000000001,(7.434235183356654e-05+5.3979467100592566e-05j)
0.71,(0.0010211450006697904-0.08691628263396893j)
0.72,(-692773393.6016694+101814703.98273323j)
0.73,(2.429254643621873e-05+1.2990667601024715e-05j)
0.74,(11.132158847531699-39.540618360437904j)
0.75,(2.5325013831560153-3.30265228340129j)
0.76,(-0.00029502484782616036+0.00041644011329956576j)
0.77,(0.012936337569668244+0.0024339965371412745j)
0.78,(1.401691442681853e-06-3.8836487874524455e-07j)
0.79,(8987.150369814972+6294.890072230341j)
0.8,(2.115733160342857e-05+2.2760675629465124e-05j)
0.81,(-0.0023916773195586816-0.013722591117447088j)
0.8200000000000001,(1882499578.7056735+4071287321.489225j)
0.8300000000000001,(5.177290374655375e-06-1.0621637442119024e-06j)
0.84,(6.026446982654175-21.474349627389312j)
0.85,(78.68488937830627-138.66225811810045j)
0.86,(-3.271156603809592e-05+3.192543265108474e-05j)
0.87,(0.004501626004834008+0.011692035335315602j)
0.88,(3.4007675790609092e-06-7.235242764730999e-07j)
0.89,(727.786158273912+1340.579363369946j)
0.9,(7.13271230566681e-06+2.7989054306466116e-05j)
0.91,(-0.0010148667864064555+0.0007239190377315642j)
0.92,(38740807752.51266+3713561808.2635827j)
0.93,(8.166541345066159e-07-6.313616403551164e-07j)
0.9400000000000001,(-3.4615149656379294+0.6947586829970251j)
0.9500000000000001,(-18076.903605527023+3537.772267536261j)
0.96,(-1.0138097995010242e-05+6.914444644008681e-06j)
0.97,(-0.03711344444083576+0.012071825193522344j)
0.98,(6.349883093468303e-06-1.8110732479397817e-06j)
0.99,(-904.6892751999891+163.03115501831746j)
1.0,(-1.1971492554753807e-05-2.8186348195850368e-05j)
1.01,(-1.6305573202103618e-05+8.99640567242655e-06j)
1.02,(1236144185.6837926-78031922057.30014j)
1.03,(4.5191655440549837e-07+6.195910544718176e-08j)
1.04,(-0.0051537303617193615+0.22176670395176232j)
1.05,(357189.78698564944+104599.42854025346j)
1.06,(-6.166129434923775e-06-2.1237639054051953e-06j)
1.07,(-0.15217062145266508+0.09390159717228609j)
1.08,(6.394795572938624e-06+4.2951632561963177e-07j)
1.09,(21.87239434383814-156.02637843300434j)
1.1,(3.7711649408987505e-06-5.442614636268e-05j)
1.11,(-2.056936992115482e-06+1.7279609915364925e-06j)
1.12,(367074858.7087371-219186995692.771j)
1.1300000000000001,(8.583282808696803e-08-1.9925230775587682e-08j)
1.1400000000000001,(0.09210142815589054+0.01917067029221532j)
1.1500000000000001,(18150772.186256614+6951009.952617392j)
1.16,(-1.5770765156627104e-07-2.8869924468215057e-07j)
1.17,(-0.0086540462176358+0.1542179807842889j)
1.18,(6.278681077081482e-05-5.591588072101274e-07j)
1.19,(2.8348629667740255+2.4782459067007916j)
1.2,(7.837962244351619e-07-0.0001253012289403016j)
1.21,(2.6404832794492497e-07+3.0017124149704843e-07j)
1.22,(90963295478.93701-40913343082.365326j)
1.23,(1.0129043455520833e-07-7.467060321672645e-08j)
1.24,(-0.007700397650431655-0.0029054368981320396j)
1.25,(913444045.4280578-653495646.7718595j)
1.26,(-1.4921967956574913e-08-4.801665403301861e-08j)
1.27,(0.31536982247428996+0.6206703379463377j)
1.28,(0.0003175669690891905+0.0002785126615133007j)
1.29,(-0.055531216742523204+0.02821932805079771j)
1.3,(3.0860730183232515e-05-9.56796193421181e-05j)
1.31,(6.52645730040895e-08+3.771869735821969e-08j)
1.32,(-3372180911.391722-37425661858.06284j)
1.33,(-5.872526755170988e-08-1.0787116538147577e-07j)
1.34,(-0.003625254395041728-0.0019799328688186704j)
1.35,(24085070449.248913-153243833150.70554j)
1.36,(3.064523807103568e-08-2.2653388223052894e-08j)
1.37,(-0.07875995475097573+0.1102525485541358j)
1.3800000000000001,(-0.0011929464368625306+0.0013536294139245048j)
1.3900000000000001,(-0.0004936675730069495-0.0013450131689378443j)
1.4000000000000001,(-2.1229052346408745e-05-0.0003823939678026654j)
1.41,(4.542919932151022e-08-3.1353868101365674e-09j)
1.42,(1112103589.6181204+945322004.0948387j)
1.43,(5.919577686028521e-09-3.3051712722230706e-07j)
1.44,(0.0005435414556511099+0.0003458133487691573j)
1.45,(-1535080594782.622-2028812576541.0183j)
1.46,(2.8429810927153257e-08+4.536753085055432e-09j)
1.47,(0.00862209503837538+0.010554060558550581j)
1.48,(-0.018407251045469527+0.2591615232279355j)
1.49,(0.00021229951304779852-0.00011907960575007371j)
1.5,(7.726251159370843e-05+2.9636171616836887e-05j)
1.51,(2.829907575236522e-08-1.441817488834659e-08j)
1.52,(51160328.97466496+80243672.36754695j)
1.53,(-2.834390827096347e-08-3.198783826421984e-07j)
1.54,(2.8636822470919504e-05-5.310145332996586e-06j)
1.55,(-11648731751649.275+42294691050471.37j)
1.56,(-6.351430894161865e-10-9.640811686596855e-09j)
1.57,(-4.9252405009798237e-05+0.002703704170187146j)
1.58,(-13.516624399975356+37.25449687878519j)
1.59,(1.3682263704986742e-05-1.6676402840845353e-06j)
1.6,(1.0597959976043289e-05+4.26679583146968e-05j)
1.61,(8.814137595910225e-09+2.0677161897567375e-08j)
