t, L_avg
0.000000000000000000e+00,9.999999999984285903e-01
1.000000000000000021e-02,1.090830575888798899e-02
2.000000000000000042e-02,9.471265320021111656e-01
2.999999999999999889e-02,1.890436689157459771e-01
4.000000000000000083e-02,1.331191804001868040e-01
5.000000000000000278e-02,1.673424286664824123e-01
5.999999999999999778e-02,3.978700954598149431e-02
7.000000000000000666e-02,-1.173967458276680038e-02
8.000000000000000167e-02,-5.666812539971913809e-01
8.999999999999999667e-02,1.774647791770967942e+01
1.000000000000000056e-01,5.165259729879820988e-02
1.100000000000000006e-01,7.701975564973150057e+00
1.199999999999999956e-01,-2.585675229250409046e+01
1.300000000000000044e-01,-3.009375114829273157e-03
1.400000000000000133e-01,-4.559143936308128475e-02
1.499999999999999944e-01,3.996751221158914569e-02
1.600000000000000033e-01,8.349483066593990296e-03
1.700000000000000122e-01,-5.613896333534146646e-04
1.799999999999999933e-01,-2.295547640948232826e-01
1.900000000000000022e-01,-1.754850177226918504e+02
2.000000000000000111e-01,6.571983450367916563e-03
2.099999999999999922e-01,-2.619579174408589672e+00
2.200000000000000011e-01,4.135942956970874320e+02
2.300000000000000100e-01,8.374065606151352725e-05
2.399999999999999911e-01,-1.787185967098406658e-01
2.500000000000000000e-01,8.117111420136220723e-03
2.600000000000000089e-01,-1.316677849228739886e-02
2.700000000000000178e-01,3.133405943312421579e-04
2.800000000000000266e-01,1.009255897064063531e-02
2.899999999999999800e-01,-7.341984552001533757e+02
2.999999999999999889e-01,6.638599006705974987e-04
3.099999999999999978e-01,-5.455790840479862425e+01
3.200000000000000067e-01,-1.476753466446863968e+04
3.300000000000000155e-01,2.169092671319018239e-04
3.400000000000000244e-01,-4.346284983891781639e-01
3.500000000000000333e-01,1.182100314474926472e-02
3.599999999999999867e-01,1.427972533681644285e-02
3.699999999999999956e-01,-1.775023458164906056e-04
3.800000000000000044e-01,2.871147408000550988e-03
3.900000000000000133e-01,-9.061623897712150892e+02
4.000000000000000222e-01,2.425272823794521549e-04
4.100000000000000311e-01,3.079478982060897607e+01
4.199999999999999845e-01,-3.500327093775099456e+03
4.299999999999999933e-01,1.302136434056852651e-04
4.400000000000000022e-01,-2.017490985801003944e+00
4.500000000000000111e-01,1.678579271588648281e-02
4.600000000000000200e-01,-1.053309035486874740e-02
