time_space,trajectory
0.0,(0.9999999999986287-4.8208610990557733e-29j)
0.01,(0.9977088647578906-3.9788731314131137e-07j)
0.02,(0.990244568913458+4.512516636425592e-07j)
0.03,(0.9944700991786678+1.2225947592353556e-06j)
0.04,(0.9952560402876149+2.808454906979013e-07j)
0.05,(0.9978735541416552-2.450652067178611e-07j)
0.06,(0.9995038650404667+8.806148948758997e-09j)
0.07,(0.9967956776283626-1.5622085690740124e-06j)
0.08,(0.9886341202829418+6.250407510785487e-06j)
0.09,(0.9917876109363917+3.202959816554966e-07j)
0.1,(0.9949618707980509-1.1602805530395732e-06j)
0.11,(0.9956140483379814-6.668733026050488e-07j)
0.12,(0.9950990073436855+7.031381821357531e-07j)
0.13,(0.9923482939938426+2.9953248610241835e-07j)
0.14,(0.9835499231992271-3.356158898414937e-06j)
0.15,(0.9802268681014941-1.359149142125222e-06j)
0.16,(0.9859819327496525-5.68315305879818e-07j)
0.17,(0.9849473835689956+5.278884271448992e-07j)
0.18,(0.9804485374781058+8.764362265165443e-07j)
0.19,(0.9739297506268941+1.383591434798401e-06j)
0.2,(0.965750547826437-1.5340687722154153e-05j)
0.21,(0.9588427274546318-2.5208496973248005e-06j)
0.22,(0.9600351262170662+2.159545703770918e-06j)
0.23,(0.955285000299231+2.9022158332843675e-08j)
0.24,(0.9462406384257953-1.1586057024220517e-06j)
0.25,(0.9352577986328247+1.7187253962650152e-06j)
0.26,(0.9283822402268809-2.3468277591846554e-06j)
0.27,(0.9173612707091803-9.091757962285616e-06j)
0.28,(0.913047380354683+2.309474294671335e-06j)
0.29,(0.9048342527631663-1.0615501331514024e-07j)
0.3,(0.8919179299379794+2.0954852282255597e-06j)
0.31,(0.8775714307869835-2.7053671350193245e-06j)
0.32,(0.8672047681443746+6.09316914753505e-06j)
0.33,(0.8539906417436457-1.3018902448090064e-05j)
0.34,(0.8448845565624763+1.9402738289820905e-06j)
0.35000000000000003,(0.8319252290206133-3.261132318765985e-07j)
0.36,(0.8147334591742884-4.608171352990523e-06j)
0.37,(0.7955750887742876-1.1686871675999748e-05j)
0.38,(0.7836620440624+6.004483332060982e-06j)
0.39,(0.7712869147684613-7.194094461995723e-06j)
0.4,(0.7583504641036645+8.51085936425829e-07j)
0.41000000000000003,(0.7441461863125266+2.979513976531015e-07j)
0.42,(0.7268135313911174-1.2083502795105761e-05j)
0.43,(0.7087447233886284-7.156668986173807e-06j)
0.44,(0.6977525813812534+7.05806079038925e-06j)
0.45,(0.6862447440487471+1.780186499586171e-06j)
0.46,(0.6736496088535942+1.0102687145433324e-06j)
0.47000000000000003,(0.6596766358534105+4.698146688958784e-07j)
0.48,(0.6461892331980427-4.851219145160353e-06j)
0.49,(0.6288697247371425-8.81959954310226e-06j)
0.5,(0.6162086638889472+3.874037280882429e-06j)
0.51,(0.6078672561234192+3.904884670281258e-06j)
0.52,(0.5969516677815809+8.579577628611785e-07j)
0.53,(0.5827829496517991-3.185394042989299e-06j)
0.54,(0.5708004637985561+2.3616691933802747e-07j)
0.55,(0.557886754224391-1.1452306582633893e-05j)
0.56,(0.5482903968866398+6.964198443026695e-06j)
0.5700000000000001,(0.5433563507471821+2.0125933992073557e-06j)
0.58,(0.5353821526671113+1.2446968593382523e-06j)
0.59,(0.5261196909906274-7.4387072846728e-06j)
0.6,(0.5182748989672543+2.894002407459094e-05j)
0.61,(0.5149079154792202-1.5655527935426072e-06j)
0.62,(0.506827250054816-7.079490878978906e-06j)
0.63,(0.5042727083061888+2.1665641704097835e-06j)
0.64,(0.49960156381542553-5.4725326870727384e-08j)
0.65,(0.4938718648693434-5.467195901399193e-06j)
0.66,(0.485456530906186+8.692415086358288e-06j)
0.67,(0.48432123940383237-1.256341171743775e-06j)
0.68,(0.478229346046503-1.260773347464164e-05j)
0.6900000000000001,(0.47493277680232787+2.490011558584843e-06j)
0.7000000000000001,(0.46905903962826906+1.2090823182331429e-06j)
0.71,(0.46443111547163773+2.018447721235441e-06j)
0.72,(0.45586372012927784-1.7187598800692367e-05j)
