t, L_avg
0.000000000000000000e+00,9.999999999981583620e-01
1.000000000000000021e-02,9.986212601171458036e-01
2.000000000000000042e-02,9.930431435393196615e-01
2.999999999999999889e-02,9.898395816547355119e-01
4.000000000000000083e-02,9.946893797262355008e-01
5.000000000000000278e-02,9.980033833129468013e-01
5.999999999999999778e-02,9.990624971749522132e-01
7.000000000000000666e-02,9.960328598686336576e-01
8.000000000000000167e-02,9.920338501884979898e-01
8.999999999999999667e-02,9.899368640401744468e-01
1.000000000000000056e-01,9.927208754242276001e-01
1.100000000000000006e-01,9.954637007523196024e-01
1.199999999999999956e-01,9.922282117571026294e-01
1.300000000000000044e-01,9.909209095994910843e-01
1.400000000000000133e-01,9.775963867086916448e-01
1.499999999999999944e-01,9.731255701963283933e-01
1.600000000000000033e-01,9.834695670267444845e-01
1.700000000000000122e-01,9.835300425448989525e-01
1.799999999999999933e-01,9.781047945607779237e-01
1.900000000000000022e-01,9.732177532895223138e-01
2.000000000000000111e-01,9.474422322140279018e-01
2.099999999999999922e-01,9.536368592862896065e-01
2.200000000000000011e-01,9.643439828154705129e-01
2.300000000000000100e-01,9.575291508811616392e-01
2.399999999999999911e-01,9.489267051074206094e-01
2.500000000000000000e-01,9.403686037491549854e-01
2.600000000000000089e-01,9.275188415903687922e-01
2.700000000000000178e-01,9.277645324938869065e-01
2.800000000000000266e-01,9.300193755999537348e-01
2.899999999999999800e-01,9.228267191335020048e-01
2.999999999999999889e-01,9.055786126019568227e-01
3.099999999999999978e-01,8.932820560670073906e-01
3.200000000000000067e-01,8.755795693406488445e-01
3.300000000000000155e-01,8.902726294244545091e-01
3.400000000000000244e-01,8.857633831589230011e-01
3.500000000000000333e-01,8.857785442226101535e-01
3.599999999999999867e-01,8.637029900712219765e-01
3.699999999999999956e-01,8.528158334180002687e-01
3.800000000000000044e-01,8.571071016150730859e-01
3.900000000000000133e-01,8.170480729165350287e-01
4.000000000000000222e-01,8.458582472017288634e-01
4.100000000000000311e-01,8.392833814407651971e-01
4.199999999999999845e-01,7.787037841616479827e-01
4.299999999999999933e-01,7.975556885717833833e-01
4.400000000000000022e-01,7.876290138657782158e-01
4.500000000000000111e-01,7.621072212090014286e-01
4.600000000000000200e-01,7.755292605238315318e-01
4.700000000000000289e-01,7.684399624110713756e-01
4.799999999999999822e-01,7.181141891164632973e-01
4.899999999999999911e-01,7.270559917205576816e-01
5.000000000000000000e-01,6.712255022881458144e-01
5.100000000000000089e-01,6.954528383481393128e-01
5.200000000000000178e-01,6.912918412706863247e-01
5.300000000000000266e-01,6.701521902201776903e-01
5.400000000000000355e-01,6.604020417428282386e-01
5.500000000000000444e-01,6.067648558839338069e-01
5.600000000000000533e-01,6.163204336270968753e-01
5.700000000000000622e-01,6.367785911721361991e-01
5.799999999999999600e-01,5.946199294497173105e-01
5.899999999999999689e-01,5.975182510839374128e-01
5.999999999999999778e-01,5.814228256881128765e-01
6.099999999999999867e-01,5.432580294079895067e-01
6.199999999999999956e-01,5.619947711410893110e-01
6.300000000000000044e-01,5.549388921651792206e-01
6.400000000000000133e-01,5.164331673489610530e-01
6.500000000000000222e-01,5.378089217029933256e-01
6.600000000000000311e-01,5.266357345917261901e-01
6.700000000000000400e-01,4.908643278755840944e-01
6.800000000000000488e-01,5.075582370357814010e-01
6.900000000000000577e-01,4.991590592581850450e-01
7.000000000000000666e-01,4.742750019835326736e-01
7.099999999999999645e-01,4.796479971416791610e-01
7.199999999999999734e-01,4.657800648719588321e-01
7.299999999999999822e-01,4.490305484450393125e-01
7.399999999999999911e-01,4.522095490515462557e-01
7.500000000000000000e-01,4.455252505039618560e-01
7.600000000000000089e-01,4.324445581766672153e-01
7.700000000000000178e-01,4.302395474157099109e-01
7.800000000000000266e-01,4.407162814543641449e-01
7.900000000000000355e-01,4.058093697179012693e-01
8.000000000000000444e-01,4.094787234602991766e-01
8.100000000000000533e-01,4.211021537592749553e-01
8.200000000000000622e-01,3.984869240570125815e-01
8.300000000000000711e-01,4.029305781898310235e-01
8.399999999999999689e-01,4.006715007540602169e-01
8.499999999999999778e-01,3.779125063226140835e-01
8.599999999999999867e-01,3.861414760270027724e-01
8.699999999999999956e-01,3.984709745709284490e-01
8.800000000000000044e-01,3.650359367978801561e-01
8.900000000000000133e-01,3.325583642241752846e-01
9.000000000000000222e-01,3.391977649076139967e-01
9.100000000000000311e-01,3.297993952072897361e-01
9.200000000000000400e-01,3.210299378669615455e-01
9.300000000000000488e-01,3.164156414277272122e-01
