time_space,trajectory
0.0,(1.000000000000004-1.5579231806259422e-34j)
0.01,(0.8589373966072238+4.020787092466933e-05j)
0.02,(0.7790091801015008-1.6036861046806738e-05j)
0.03,(0.21634400347324026-0.0003877666743382745j)
0.04,(0.15928582552024048-5.321632211351966e-05j)
0.05,(0.2569653764065273+6.717980354760583e-05j)
0.06,(0.6536867097442602-1.0708373610505041e-05j)
0.07,(0.764710039579868+0.00041619105904616916j)
0.08,(0.4337667694107054+0.014775456031573483j)
0.09,(0.8277984627809077+0.0005253509479298535j)
0.1,(0.164327969217783-0.0025934574121877435j)
0.11,(0.493850391081467+6.181005673826051e-07j)
0.12,(-0.5194054737497381+2.423924412020331e-05j)
0.13,(0.513848484567025+1.038590485868953e-07j)
0.14,(-0.03759796614587144+0.00013232311868100033j)
0.15,(0.8277432393291471-0.0003964624488904805j)
0.16,(0.15429333557223932+0.000923057633512606j)
0.17,(0.7252476546941634-5.303184544345019e-05j)
0.18,(0.3766328059313092+0.00017562908986613486j)
0.19,(0.2050593515497039-0.0013701452752886084j)
0.2,(0.22383646764828724+0.0019939599368572836j)
0.21,(0.0898184166214908+0.031616823125589236j)
0.22,(0.8300085846265868+8.504824122257154e-05j)
0.23,(0.5329898836985261-1.1205660312506508e-05j)
0.24,(0.8821086218244059-1.798300185588427e-06j)
0.25,(0.4363215417011372+0.0010580799391071648j)
0.26,(0.889171481125204+2.696908921920321e-05j)
0.27,(0.5090030215922168-0.005483749936676357j)
0.28,(0.666707962282303-0.00021182914718605338j)
0.29,(0.789837079744372+1.1909017810124956e-05j)
0.3,(0.8663517162412115-0.0016621638558818057j)
0.31,(0.6134171825410126-0.07755951531290485j)
0.32,(0.45922249642767404-0.028341254816317944j)
0.33,(0.7717379854803306+0.0011510067155016779j)
0.34,(0.8069455534711716-0.001269027225462995j)
0.35000000000000003,(0.8986422135512039-1.279187747601406e-06j)
0.36,(0.49223763416028093-0.004635517051181985j)
0.37,(0.8454995147909846+0.0002134920715373964j)
0.38,(0.29979780913308984-0.00020601949570227577j)
0.39,(0.6902972459051677+6.628962546820775e-05j)
0.4,(-0.01681719815502636-5.956203032190878e-06j)
0.41000000000000003,(0.515010005303642-0.00013275766861186404j)
0.42,(0.29343041747772697+0.007243978211867224j)
0.43,(0.3900667370322471-0.0077758537395837685j)
0.44,(0.3967381056849823-0.009519632691060143j)
0.45,(0.305830276309079-0.002593580328669255j)
0.46,(0.6307026160887784-8.463497177763494e-06j)
0.47000000000000003,(-0.11224637660939582+0.0002860806216105522j)
0.48,(0.2827125618840102-5.582637065997103e-05j)
0.49,(-0.17156279848727723-0.0031903702694533655j)
0.5,(0.6264053957440194+0.0006975505451320552j)
0.51,(0.22995984025722938+0.00023840447657502706j)
0.52,(0.8369927481817416+1.6970344578506328e-06j)
0.53,(0.4432460618660938+0.0012982063551704398j)
0.54,(0.48419373055385695-0.00270100257935036j)
0.55,(0.23110609755315864-0.0020158155957356524j)
0.56,(0.08731902914641194-0.0013735816857717896j)
0.5700000000000001,(0.2238545791918181+1.3551290426669923e-05j)
0.58,(0.5186706941695671-0.00010348092921413698j)
0.59,(0.7413303031280464-0.0003298952404425486j)
0.6,(0.16272898750628362+0.20196941398199114j)
0.61,(0.6513842526221645+0.0008076104728106182j)
0.62,(0.8728076403042105-0.01932705564075998j)
0.63,(0.37442493069690896+0.000129093545353661j)
0.64,(0.09032949715427363+2.2079114073440408e-05j)
0.65,(0.17945585717188037+4.151410616605758e-05j)
0.66,(0.27710176956048294-0.00272223065626654j)
0.67,(0.35246793538073856-0.004036534077725773j)
0.68,(0.5423853998850257+0.0016768263159381703j)
0.6900000000000001,(0.5095436727145212-0.00026929497970907873j)
0.7000000000000001,(0.4517452237320676-1.0291844323331621e-05j)
0.71,(0.03716617722873832-0.001023343007777773j)
0.72,(0.09977603883417974-0.0006400167781454517j)
0.73,(0.34134000342091614-0.11234795585755279j)
0.74,(0.4374309095982948+0.0005906381311632857j)
0.75,(0.016731379930099606-5.797483701261765e-07j)
0.76,(0.6103749345067623+0.0006011620652423541j)
0.77,(0.025891380359646124-0.000531329631158609j)
0.78,(0.2963844223516655+0.0006752037364919234j)
0.79,(-0.006988984388086445+7.342783074486407e-05j)
0.8,(0.13150637188921493-0.00024907608543592416j)
0.81,(0.05978535803886331+1.785883153856853e-06j)
0.8200000000000001,(0.25165330187585616-0.001839277643645567j)
0.8300000000000001,(-0.12201497005019099+0.022420843511645996j)
0.84,(0.19506931258717672-0.023870387311521902j)
0.85,(0.44875694097658037+0.00026997894336722606j)
0.86,(0.40566266971166504-0.0006356981706809852j)
0.87,(0.4712499560120112+5.922610080556114e-05j)
0.88,(0.30176470905426495+0.0005950878839635445j)
0.89,(0.22612751678051105+0.0031965235562657567j)
0.9,(0.34373682072218154-0.0030385724988955636j)
0.91,(0.34448058959302696+0.0007506680755759643j)
0.92,(0.42294947209463457-0.00011991540296640294j)
0.93,(0.39321972427728275-0.0004560095198919211j)
0.9400000000000001,(0.7312800572791763-0.004107023444610871j)
0.9500000000000001,(0.19155221882587364-0.010609204921883275j)
0.96,(0.22738271579140468+0.007086804575277811j)
0.97,(0.2698052514378192-0.002472314918941806j)
0.98,(0.4271525803399525+3.678811440521493e-05j)
0.99,(0.1959948291342525-0.00013642112211638267j)
1.0,(0.23513787854438536+0.0032362192340578324j)
1.01,(0.00554769035895573-6.08527619072121e-05j)
1.02,(0.1992538856973688+0.004299610975118563j)
1.03,(0.11243425440606972+9.328112828619496e-05j)
1.04,(0.34490603502714706+2.417200228276861e-05j)
1.05,(0.12400778957076108+0.0001012401144711553j)
1.06,(0.13278032970313258-0.002419866745877705j)
1.07,(0.08861240433882689+0.001102823386985378j)
1.08,(-0.024620612259611853+0.0005186481802452041j)
1.09,(0.09246501078742274-6.787480182592421e-05j)
1.1,(0.010835303438425578-1.333788328549585e-06j)
1.11,(0.3205376805246604+0.0016288174932910064j)
1.12,(-0.1509220700701561-0.004289247435642527j)
1.1300000000000001,(0.1498159503370256+0.010778690988857084j)
1.1400000000000001,(0.41417192340020237+0.005694297164590441j)
1.1500000000000001,(0.20281301217116104+0.0005249024865321395j)
1.16,(0.01736246861005457+1.1993371020039714e-05j)
1.17,(0.05725129179784953-5.895104370721849e-05j)
1.18,(0.10068945574390599+0.0008862237976606203j)
1.19,(0.11093128646735413-0.002598761131953172j)
1.2,(0.36493515673261745-0.004893164647827464j)
1.21,(0.27965550112174986-8.96744921850702e-05j)
1.22,(0.2651072148186891+0.0001762952333204463j)
1.23,(0.13284205703744148-0.000684147495167467j)
1.24,(0.05638513472378216+0.008454698850594418j)
1.25,(0.11889925584269034+0.006221116390518912j)
1.26,(0.12070535220221289+0.0017789810801406038j)
1.27,(0.18331004024396164-4.021388032914502e-05j)
