time_space,trajectory
0.0,(1.0000000000000044-2.557289403494956e-33j)
0.01,(0.9663986306714497+0.004827899832856083j)
0.02,(0.7693153104304968+0.022381943640757587j)
0.03,(0.31156952673809946+0.028030443144614045j)
0.04,(0.17657710048561617+0.005692397653110885j)
0.05,(0.2178817966088034-0.014583279518577262j)
0.06,(0.4981219057601525-0.014928477651563767j)
0.07,(0.7258010605318111+0.012975068046169897j)
0.08,(0.5739527846003857+0.004561267240193378j)
0.09,(0.6501804528922303+0.008168778446832767j)
0.1,(0.28442776568950195+0.022848578969992886j)
0.11,(0.3757564667403663+0.024648655130513612j)
0.12,(-0.5003534226827496+0.017313262567893464j)
0.13,(0.4189001134078404-0.0011962950151218387j)
0.14,(-0.09150814986123999-0.010173939348707257j)
0.15,(0.7471670573986646+0.0030217847734685284j)
0.16,(-0.006416135782777072+0.023371989507064258j)
0.17,(0.6865053099007756-0.008507128009612017j)
0.18,(0.322414924697817+0.0430831663854408j)
0.19,(0.2177581084012571+0.014939519818440024j)
0.2,(0.23853074608454358+0.03775046997118284j)
0.21,(0.14898104613735158-0.01639603007116094j)
0.22,(0.7947408624260289+0.0012663926593069288j)
0.23,(0.5199893599163321+0.0006014326339293578j)
0.24,(0.8723865896217371-0.010933119671810421j)
0.25,(0.6273359169192995-0.01032849858839529j)
0.26,(0.7942668148118414+0.013766527536799952j)
0.27,(0.6384386488975535+0.03439574611599826j)
0.28,(0.6735619394212042+0.015792903975120325j)
0.29,(0.6531034926150141+0.012756670283453361j)
0.3,(0.7678517636276301-0.014640654941298608j)
0.31,(0.771559630938331-0.00703696590502863j)
0.32,(0.7325556856533596-0.00018710356292749464j)
0.33,(0.6824954365702276-0.001772774940971938j)
0.34,(0.6815577908909278-0.0033292258929684634j)
0.35000000000000003,(0.8439058905195443+0.04292233886116378j)
0.36,(0.43586549960319654+0.0010584705508506964j)
0.37,(0.8095136212817435-0.014033270577612828j)
0.38,(0.3521332432748278-0.00107400566292664j)
0.39,(0.6378900421729894-0.0046315217456170945j)
0.4,(-0.019522998057052737-0.011857579962464804j)
0.41000000000000003,(0.45268098720095823+0.042800272117881816j)
0.42,(0.2807056325750205-0.015382186114835328j)
0.43,(0.4643329992873499-0.011413992342601266j)
0.44,(0.37758926230023154-0.003003853577146643j)
0.45,(0.3394452549806226-0.037739486377758834j)
0.46,(0.4263776000791925-0.009762695231501922j)
0.47000000000000003,(-0.10307427442213518-0.032077832968571446j)
0.48,(0.2728960104985867+0.03266887873709886j)
0.49,(-0.22319563076361723-0.05402618144616883j)
0.5,(0.5704439804537491-0.02342187672103497j)
0.51,(0.23562147572438552-0.04447232133338616j)
0.52,(0.7324636715617328+0.029376042074524194j)
0.53,(0.16777897510515022+0.002845407367474838j)
0.54,(0.6456729958867572-2.976260800102906e-05j)
0.55,(0.26805825108239845+0.03233001496018009j)
0.56,(0.12048496608444516+0.03825288129362302j)
0.5700000000000001,(0.26490384636125225+0.03239355606515941j)
0.58,(0.5390700337211879-0.0006355111886970831j)
0.59,(0.7364658162686203+0.006801651891595894j)
0.6,(0.6826195820214921-0.05254641618723351j)
0.61,(0.6505820722003165-0.008667517182805146j)
0.62,(0.5933261740115807-0.0014058032641669008j)
0.63,(0.3795995973935964+0.06702592468386726j)
0.64,(0.11101370300212074+0.07660212832671734j)
0.65,(0.16051208808282877+0.05498676320861845j)
0.66,(0.2945648413542315+0.1241480473307923j)
0.67,(0.6742839882170251+0.013661364556505589j)
0.68,(0.4207406628577866-0.03779565007685217j)
0.6900000000000001,(0.44953317554057437-0.043714197800619775j)
0.7000000000000001,(0.3567959480289919-0.012655529976474733j)
0.71,(-0.01169665795790251+0.031937292299101624j)
0.72,(0.03386728064183108+0.11255319613451734j)
0.73,(-0.2636936885923091-0.03462658798926151j)
0.74,(0.3269396867816646-0.0961950890047577j)
0.75,(-0.006415577670690691-0.10301140885384641j)
0.76,(0.5316738760590951-0.024161783383381565j)
0.77,(-0.26259399234891456-0.030181491389987814j)
0.78,(0.23525307642753546+0.04500444327500217j)
0.79,(-0.05303457344399715-0.03768448386475079j)
0.8,(-0.08892579956391292+0.022350780583658355j)
0.81,(0.07808820252801428+0.003283839288923083j)
0.8200000000000001,(0.25081258253779276-0.008806282286206231j)
0.8300000000000001,(0.473336315934654-0.0037266172650724065j)
0.84,(0.2950954882864275-0.028557522000419364j)
0.85,(0.45058561549416765-0.021193948728293298j)
0.86,(0.29432487312117567-0.04572544152026319j)
0.87,(0.47790801766058755+0.021396279685329936j)
0.88,(0.045881820837846754-0.056046210544180616j)
0.89,(0.36376601308496553-0.003082847375214761j)
0.9,(0.21925843968270226-0.012818634904999106j)
0.91,(0.596975869620602+0.11989685253783443j)
0.92,(0.43914373817647284+0.005092714710820513j)
0.93,(0.41099590650898155+0.01646585683918781j)
0.9400000000000001,(0.40363356821412477-0.046606770137345474j)
0.9500000000000001,(0.3941534834223008-0.001742780486008546j)
0.96,(0.13511318666072078+0.06667978674459217j)
0.97,(0.2944547497741745-0.01632626617099135j)
0.98,(0.3592279093877011-0.023765203583658863j)
0.99,(0.212663836432374-0.036445200118192675j)
1.0,(0.30887614798772034-0.005902240230116022j)
1.01,(0.0402295340186806-0.024709789294264938j)
1.02,(0.3678994190772591-0.01238237653283796j)
1.03,(-0.289520427712053+0.004032507188263932j)
1.04,(0.20327453090139472-0.12413694032032324j)
1.05,(0.1469338034551702-0.043238821900677286j)
1.06,(0.26660906625128517-0.04534763044747439j)
1.07,(0.16523072712117187+0.0015859057700260122j)
1.08,(-0.10950047790317338-0.043676997599501007j)
1.09,(0.12056755560571034-0.001721063044585568j)
1.1,(-0.02157481182556426-0.012778339861137428j)
1.11,(0.3979430173110135-0.023661364581486252j)
1.12,(0.10157805414694235-0.02592317332874216j)
1.1300000000000001,(0.40169135778354365-0.06891128160156584j)
1.1400000000000001,(0.16560790579449552-0.06257493926308985j)
1.1500000000000001,(0.27110450288796034+0.0039792162678552985j)
1.16,(0.08959083367781681-0.06082300549941187j)
1.17,(0.14253134974001644-0.011857438714780628j)
1.18,(0.20155501258816513+0.014516160529078646j)
1.19,(0.4018026195705874-0.0786487715689107j)
1.2,(0.28998009636481015-0.017147036805697326j)
1.21,(0.2472318484516242+0.027893762189364974j)
1.22,(0.2652338823946326-0.04952747645239997j)
1.23,(0.2340953246417373-0.019933432975935264j)
1.24,(0.1293549262722953+0.05434302338403836j)
1.25,(0.08047017026922482-0.035938004047504184j)
1.26,(0.21095729832304713-0.05913276225673194j)
1.27,(0.22761426176532248+0.05128789594895605j)
1.28,(0.319686328488219-0.0193109176314658j)
1.29,(0.13409757715311424-0.04035899982269331j)
1.3,(0.27004646470375415+0.017520758240388706j)
1.31,(0.05341000860372124+0.04464562607281723j)
1.32,(-0.004327084912377294-0.013588704925649859j)
1.33,(0.038122969627790465-0.017019813397786708j)
1.34,(-0.011886233424406357-0.014558132961589285j)
1.35,(0.2730208293901334-0.061991045735953564j)
1.36,(-0.0527916384683422+0.016155959261007904j)
1.37,(0.2872672252693289-0.01989864506963424j)
1.3800000000000001,(-0.0622023786566012+0.07576731226511955j)
1.3900000000000001,(0.26748647115693297+0.0006789948917341658j)
1.4000000000000001,(-0.2236975469667802+0.0645894491469165j)
1.41,(0.018388408888246135-0.0924320765760174j)
1.42,(0.038182761900979655+0.019701304230017806j)
1.43,(0.2461691891032919+0.02174348657648218j)
1.44,(0.25173326993042083+0.015441404011100775j)
1.45,(0.12373488829537854+0.007826534564248443j)
1.46,(0.24111333606476001+0.004594083757605974j)
1.47,(0.19163589650314325-0.04648335864042451j)
1.48,(0.3049367892102178-0.030178439404099082j)
1.49,(0.15806167342164945-0.008514911474564235j)
1.5,(0.3402861615918572-0.04825252352540001j)
1.51,(0.2987946942672473-0.0008999871290689583j)
1.52,(0.4175745830751896-0.0021701485878725412j)
1.53,(0.17274342903623588-0.007518596121844573j)
1.54,(0.4163254273942824-0.06946244101111726j)
1.55,(0.2996045885535986+0.14607826003025004j)
1.56,(0.37696110559161966-0.016846308670520567j)
1.57,(0.18382143883016727-0.033434871264321445j)
1.58,(0.27772610418898125-0.021019909054961084j)
1.59,(0.12801369810383614+0.00936325655780664j)
1.6,(0.14699268869798296-0.006912390081199103j)
1.61,(0.14697905942388217+0.08503100167968972j)
1.62,(0.09058050405929796+0.00788784783256561j)
1.6300000000000001,(0.27060063501502346-0.021010024692514j)
1.6400000000000001,(0.03664661426104906+0.055724372494679465j)
1.6500000000000001,(0.08548245671216849-0.020849054067919103j)
1.6600000000000001,(-0.1357357882564634+0.09353881474377918j)
1.67,(0.20677881200181386+0.01633503292853974j)
1.68,(-0.046503896517201784+0.06776352388969008j)
1.69,(0.032779981932795-0.05401971182525534j)
1.7,(0.08760448497638523+0.07320847178944823j)
1.71,(0.04872892222250731+0.06972327361440274j)
1.72,(0.2014178369429257-0.010416913510386148j)
1.73,(0.10727104877283097+0.000910990928031575j)
1.74,(0.4725820483309038+0.009705027057874112j)
1.75,(0.09469208740659948+0.03072099810399919j)
1.76,(0.23708975469959978-0.05932894736362052j)
1.77,(0.0047532300265805145-0.035817249599940974j)
1.78,(0.33958020977572484-0.06496796384196143j)
1.79,(0.25686696293651207-0.02105070615123656j)
1.8,(0.4395363505972385-0.01750075376713409j)
1.81,(0.33853275461988397+0.04960045043050242j)
1.82,(0.438508785565595+0.0005209223956836508j)
1.83,(0.16884285339482938+0.08561061956138617j)
1.84,(0.2677137995535918-0.06359306876781586j)
1.85,(0.04014225395510217-0.05914405098712809j)
1.86,(0.2640053223076957-0.05980385266855923j)
1.87,(0.31539859951084626-0.030343971872391212j)
1.8800000000000001,(0.41228341410833064-0.029755956362356128j)
1.8900000000000001,(0.31024699838736125+0.10550328415567792j)
1.9000000000000001,(0.11832488530513459-0.018283371297312882j)
1.9100000000000001,(0.23054215571752698+0.011139495693493285j)
1.92,(-0.0399045916816836+0.04485288248560379j)
1.93,(-0.08204077394572173-0.0937144760802559j)
1.94,(-0.04645711855145708-0.02561225798047944j)
1.95,(0.23632176412370595-0.03687855208112059j)
1.96,(0.17415475370138137+0.029487650681520657j)
1.97,(0.0023488342794403235-0.005886498702887039j)
1.98,(0.1745349559002503+0.06993488161171439j)
1.99,(0.04782950868722386+0.13509986058728568j)
2.0,(0.09547588686091796-0.04400995192477172j)
2.0100000000000002,(-0.13074132574084482-0.04955381322840158j)
2.02,(0.20550436778601788-0.1261836517844351j)
2.0300000000000002,(-0.055770701943260864-0.006039623638794192j)
2.04,(0.2830893565797631-0.0004971672234669775j)
2.05,(0.26914877276422494+0.11530172460016339j)
2.06,(0.4937188918659066+0.017552792665656437j)
2.07,(0.3207957007312052+0.03865518888800709j)
2.08,(0.3536131334457776-0.11571033304130003j)
2.09,(0.22414257736176388-0.026028853658925655j)
2.1,(0.1393407640885967+0.03638755394335812j)
2.11,(0.5418668832477268+0.005616744532685502j)
2.12,(0.4279544893250234-0.03487266304427542j)
2.13,(0.4563525565061879-0.030352613396689192j)
2.14,(0.4642762057566762-0.09618970783118957j)
2.15,(0.3470783733453722-0.09692319113115991j)
2.16,(0.2268023538758057+0.0011107425705525092j)
2.17,(0.25802390763499694-0.006640716123722402j)
2.18,(0.3142421580562469-0.050184454311307566j)
2.19,(0.5470484168230451+0.0153268674937248j)
2.2,(0.08989233947736969+0.09022436974239204j)
2.21,(0.14710332058985554-0.05363218661233392j)
2.22,(-0.07956449649383084-0.05702836561877157j)
2.23,(0.29035063250785703-0.100111458306658j)
2.24,(0.3657302035854737-0.08247920980534927j)
2.25,(0.1276724282144292+0.0324619216428058j)
2.2600000000000002,(0.24714563781190602+0.06872618407456706j)
2.27,(-0.09124811278725695+0.17014334674438583j)
2.2800000000000002,(-0.0306521185782228+0.028394776580707916j)
2.29,(0.01844358801093208+0.018034642795087066j)
2.3000000000000003,(0.378796155566833-0.12288259401537371j)
2.31,(0.25178477343453265-0.0042308653832552855j)
2.32,(0.2580300204925173-0.09534921387052839j)
2.33,(0.087282101730273-0.03688274070969657j)
2.34,(-0.021222682670024546+0.04091655242733409j)
2.35,(0.21091099361203947+0.04449897531947333j)
2.36,(0.1671785923266495-0.06676131741194953j)
2.37,(0.1070156912615498-0.0755481185321214j)
2.38,(0.04183247665263226-0.06491987442251601j)
2.39,(0.33222115700087074-0.12201697152447766j)
2.4,(-0.0005768451337125372+0.04709864067985175j)
2.41,(0.18806887526053193-0.049023866064233756j)
2.42,(0.15862871067029158+0.004030338271709574j)
2.43,(0.36891754259009035-0.06511737492178618j)
2.44,(0.0017186294416658046-0.0540229477419626j)
2.45,(0.06501451064553358-0.04401627038332233j)
2.46,(0.0513018456554896+0.00019941826885406123j)
2.47,(0.1218713740288087-0.07860538280126377j)
