time_space,trajectory
0.0,(1.0000000000000144-1.6146331726434745e-31j)
0.01,(0.6139177996315435+0.010959048547358193j)
0.02,(0.7427829885673114-0.019529392484296422j)
0.03,(0.4390785370273268+0.012618298619895685j)
0.04,(0.5784040542946534+0.0014126110179907675j)
0.05,(0.23769857580656262-0.038929132593551186j)
0.06,(0.3749621114616412+0.041414299892206914j)
0.07,(-0.1597597072780916-0.036193021513531924j)
0.08,(0.266643495911286+0.030556153353212958j)
0.09,(0.06063321792540762-0.029520969506707986j)
0.1,(0.073491277820393+0.047066175932761904j)
0.11,(0.22958338924873023-0.029224916240824062j)
0.12,(0.08538506389379362+0.020525176839813284j)
0.13,(0.21902332855851303+0.024990866914298814j)
0.14,(0.24192680072329134+0.0067578976085267565j)
0.15,(0.6039826943651042+0.010283993639012173j)
0.16,(0.12588122617432784+0.05961320109030624j)
0.17,(0.5709616737500665-0.04267519698697812j)
0.18,(0.3318014988289617-0.048736652841270926j)
0.19,(0.5822449355997071+0.04400218300189627j)
0.2,(0.5091615607930795+0.017672355720197246j)
0.21,(0.4673358793181075-0.03317148292414787j)
0.22,(0.3917731152971312-0.028986395290203783j)
0.23,(0.11433498346438341-0.025031189858391815j)
0.24,(0.5622616255969866-0.06325756907495404j)
0.25,(-0.09472518952650051+0.008384918829323006j)
0.26,(0.1722763865436703-0.06772709620398187j)
0.27,(-0.14472018066798592+0.030940907257647067j)
0.28,(0.3151183781970122-0.012277648886318542j)
0.29,(0.1312179141096156+0.02391306328127207j)
0.3,(0.10645145964229637+0.05129810843512471j)
0.31,(0.3253192287662185+0.059400740958609546j)
0.32,(0.3990546147831623-0.04177550252512675j)
0.33,(0.19020908547678475-0.09475011624702463j)
0.34,(0.3790080036290557+0.0197489994193378j)
0.35000000000000003,(0.5529942672200029-0.002885282698418749j)
0.36,(0.4330240950847259+0.006244118443308775j)
0.37,(0.3497246293005725-0.005158563689752153j)
0.38,(0.26141121169046755+0.06208438502946865j)
0.39,(0.29613138874577405+0.015800006926825108j)
0.4,(0.14859801521987032-0.004891425801295462j)
0.41000000000000003,(-0.08010447449382624+0.045594324675143384j)
0.42,(-0.008992270892340353-0.027885051053681793j)
0.43,(0.1680247491064631-0.038062619137979224j)
0.44,(0.13914884469029543+0.016037001805141348j)
0.45,(0.11476047834809652-0.027416984556062833j)
0.46,(0.3508067023465275-0.10129298032186622j)
0.47000000000000003,(-0.029782754070983065+0.04486064148413728j)
0.48,(0.06689029538392813+0.023028900659102042j)
0.49,(0.08499747627157854-0.033810126282305356j)
0.5,(0.2688924123154444+0.05587202314809927j)
0.51,(0.3104351302812761-0.08213679363813588j)
0.52,(0.34411878382977956-0.05190838128765204j)
0.53,(0.37394911527420815+0.03358280673422376j)
0.54,(0.44053297999990276-0.04122785529990225j)
0.55,(0.18766591902254745-0.010287543153791675j)
0.56,(0.3831597521152353-0.0012840089068642856j)
0.5700000000000001,(0.10461349336980248-0.07852749215546759j)
0.58,(0.11338731946779443-0.010537615606516797j)
0.59,(0.13720101128780138+0.04319559849578583j)
0.6,(0.07219532035672475-0.03942199721889454j)
0.61,(0.1218796042601241-0.028902179855430254j)
0.62,(0.25031967177875536-0.08709229624297245j)
0.63,(-0.11836014379079572+0.02179224242644329j)
0.64,(-0.01564607402540184-0.06344242544056908j)
0.65,(0.2371389781864388-0.016239383212303046j)
0.66,(0.03902647462071626-0.0036084325899684235j)
0.67,(0.08133527604077634+0.0031709138239902103j)
0.68,(0.2947197049872355-0.09000889501565594j)
0.6900000000000001,(0.3337878790672953-0.005868996731947839j)
0.7000000000000001,(0.1128110899310935-0.05649646426641238j)
