t, L_avg
0.000000000000000000e+00,1.000000000000002665e+00
1.000000000000000021e-02,9.764145472894482092e-01
2.000000000000000042e-02,8.771460347663286861e-01
2.999999999999999889e-02,6.443734335154317483e-01
4.000000000000000083e-02,5.849541854857491785e-01
5.000000000000000278e-02,6.022381625791766169e-01
5.999999999999999778e-02,7.398813746745780406e-01
7.000000000000000666e-02,8.560686104497055027e-01
8.000000000000000167e-02,7.809997088752305139e-01
8.999999999999999667e-02,8.170654695442305382e-01
1.000000000000000056e-01,6.339039381849403965e-01
1.100000000000000006e-01,6.785723032801359578e-01
1.199999999999999956e-01,2.432952302986454152e-01
1.300000000000000044e-01,6.969154360289345762e-01
1.400000000000000133e-01,4.462962771108299753e-01
1.499999999999999944e-01,8.644426065250675473e-01
1.600000000000000033e-01,4.885883244740177322e-01
1.700000000000000122e-01,8.317103915170007689e-01
1.799999999999999933e-01,6.551747209621149315e-01
1.900000000000000022e-01,6.010519813017527468e-01
2.000000000000000111e-01,6.066779211897936896e-01
2.099999999999999922e-01,5.552801225056834822e-01
2.200000000000000011e-01,8.849333264740834037e-01
2.300000000000000100e-01,7.456415122160413578e-01
2.399999999999999911e-01,9.211259292095314022e-01
2.500000000000000000e-01,7.958770358669049472e-01
2.600000000000000089e-01,8.837441287383293043e-01
2.700000000000000178e-01,8.086146996226445394e-01
2.800000000000000266e-01,8.136970949349857651e-01
2.899999999999999800e-01,8.062421466263955949e-01
2.999999999999999889e-01,8.706701957639308986e-01
3.099999999999999978e-01,8.667050189846028374e-01
3.200000000000000067e-01,8.480147694706261507e-01
3.300000000000000155e-01,8.157144221881498236e-01
3.400000000000000244e-01,8.226590871107308800e-01
3.500000000000000333e-01,9.017769085544756757e-01
3.599999999999999867e-01,6.949808506036300182e-01
3.699999999999999956e-01,8.830240336804708878e-01
3.800000000000000044e-01,6.518396778770821909e-01
3.900000000000000133e-01,7.915589096315973627e-01
4.000000000000000222e-01,4.612088659357855835e-01
4.100000000000000311e-01,6.943783015867477371e-01
4.199999999999999845e-01,6.080703496493473637e-01
4.299999999999999933e-01,6.999147040269713127e-01
4.400000000000000022e-01,6.542790436649416064e-01
4.500000000000000111e-01,6.350261764052040903e-01
4.600000000000000200e-01,6.730348612905100447e-01
4.700000000000000289e-01,4.027014423975155966e-01
4.799999999999999822e-01,5.911743883822143664e-01
4.899999999999999911e-01,3.455623567617917558e-01
5.000000000000000000e-01,7.403944212021463800e-01
5.100000000000000089e-01,5.658950185176029324e-01
5.200000000000000178e-01,8.132425962524090224e-01
5.300000000000000266e-01,5.283378012240138588e-01
5.400000000000000355e-01,7.628582176214586674e-01
5.500000000000000444e-01,5.690851527844640323e-01
5.600000000000000533e-01,4.944273847403729549e-01
5.700000000000000622e-01,5.663979859688647034e-01
5.799999999999999600e-01,6.977056112960110523e-01
5.899999999999999689e-01,7.941400323660608995e-01
5.999999999999999778e-01,7.644974061295491952e-01
6.099999999999999867e-01,7.541546554989646545e-01
6.199999999999999956e-01,7.183421390823507835e-01
6.300000000000000044e-01,6.117249996261560074e-01
6.400000000000000133e-01,4.769560781362577329e-01
6.500000000000000222e-01,4.963067436866660520e-01
6.600000000000000311e-01,5.597679221667825056e-01
6.700000000000000400e-01,7.459321335238915385e-01
6.800000000000000488e-01,6.244763453614005089e-01
6.900000000000000577e-01,6.378330719528915171e-01
7.000000000000000666e-01,5.825423263949205399e-01
7.099999999999999645e-01,4.020140754849603759e-01
7.199999999999999734e-01,4.213265611749419381e-01
7.299999999999999822e-01,2.674489832524569177e-01
7.399999999999999911e-01,5.597150198904504714e-01
7.500000000000000000e-01,3.951976777030227761e-01
7.600000000000000089e-01,6.626890155050102482e-01
7.700000000000000178e-01,2.631502256018335983e-01
7.800000000000000266e-01,5.034946058743627884e-01
7.900000000000000355e-01,3.640975415838912377e-01
8.000000000000000444e-01,3.441380697482713802e-01
8.100000000000000533e-01,4.250130980236120348e-01
8.200000000000000622e-01,5.079501347966675073e-01
8.300000000000000711e-01,6.191391475818026624e-01
8.399999999999999689e-01,5.270084186512382640e-01
8.499999999999999778e-01,6.017613453375443289e-01
8.599999999999999867e-01,5.200438457848114426e-01
8.699999999999999956e-01,6.113705182683495387e-01
8.800000000000000044e-01,3.937949681497467380e-01
8.900000000000000133e-01,5.484755999813967220e-01
9.000000000000000222e-01,4.731926299837293515e-01
9.100000000000000311e-01,6.607758410524784409e-01
9.200000000000000400e-01,5.740771385767542423e-01
9.300000000000000488e-01,5.658516080724933506e-01
9.400000000000000577e-01,5.586530208271226483e-01
9.500000000000000666e-01,5.563933809157335375e-01
9.599999999999999645e-01,4.205724364715558994e-01
9.699999999999999734e-01,4.976579484947941667e-01
9.799999999999999822e-01,5.311375769449221407e-01
9.899999999999999911e-01,4.542635924445615481e-01
1.000000000000000000e+00,4.981948343188502548e-01
1.010000000000000009e+00,3.605161373676761261e-01
1.020000000000000018e+00,5.229329118527263898e-01
1.030000000000000027e+00,1.951164152098726068e-01
