time_space,trajectory
0.0,(0.9999999999988366+9.090335863343109e-32j)
0.005,(0.9987658124440486+2.674798133717163e-08j)
0.01,(0.9972782739967913-3.5974974182609055e-08j)
0.015,(0.9976452973394406+4.227852055656556e-07j)
0.02,(0.9930465198036529-1.9848035859978172e-07j)
0.025,(0.996528042470163+3.2562067252051586e-07j)
0.03,(0.9968472210462993-4.6072276010327875e-07j)
0.035,(0.9961803722730197+3.5619838492684885e-07j)
0.04,(0.9980093186822878-3.0844718104952737e-07j)
0.045,(0.9943231735697446+1.5164748044884093e-09j)
0.05,(0.9959026970637606+4.9635786645655986e-08j)
0.055,(0.9987589637092101-1.2361696778716048e-07j)
0.06,(0.9984647675829488-7.588117478820376e-09j)
0.065,(0.9985415509913704+3.8064584486558856e-08j)
0.07,(0.9967805172456912-7.151201705032371e-07j)
0.075,(0.9932812172903+3.521263766056017e-07j)
0.08,(0.9974089836592391+2.1968815994092954e-07j)
0.085,(0.9968300102787547+1.160558029813922e-06j)
0.09,(0.9971330666571396+1.60996027514164e-06j)
0.095,(0.997625154620287+8.126706409924998e-07j)
0.1,(0.9935650469243821+6.426481624411644e-07j)
0.105,(0.9956998234529177-1.2238393797176115e-07j)
0.11,(0.9970598047349409-1.946890809052719e-08j)
0.115,(0.9957192639022253+2.9807050668047096e-07j)
0.12,(0.9976471810484946-1.996299729703456e-07j)
0.125,(0.995093840723932+2.4313186724198734e-07j)
0.13,(0.9937945925370862-5.003149436918919e-07j)
0.135,(0.9942941755287489+2.1635591622804615e-07j)
0.14,(0.9923219874715031-5.869922997055452e-07j)
0.145,(0.9930638997539478+1.0319779126451549e-06j)
0.15,(0.9961051122117963+8.948158918763255e-07j)
0.155,(0.9925440701417452+8.130351963941391e-07j)
0.16,(0.9953382896081296+1.3097742266646255e-06j)
0.165,(0.9911822730216929-2.396375675288953e-07j)
0.17,(0.9907321627316593-2.6007246419562656e-07j)
0.17500000000000002,(0.9933890155726439-7.339426370828985e-08j)
0.18,(0.9927069621346452+1.3442505836294357e-07j)
0.185,(0.9924626912958356-1.8895066133542512e-06j)
0.19,(0.9903075197626138+1.3146417560596575e-07j)
0.195,(0.9867759308060812-3.6681814211198015e-06j)
0.2,(0.9872718612547164+2.084216499718337e-06j)
0.20500000000000002,(0.9901289993638437-5.71240684880789e-07j)
0.21,(0.986357187304751+2.319083989049094e-06j)
0.215,(0.9902793106961155+1.0032008025527904e-06j)
0.22,(0.9828984129832637+2.653649907249505e-07j)
0.225,(0.9854653567408244+3.310072805336994e-07j)
0.23,(0.9840816479376024+1.8450778725942573e-07j)
0.23500000000000001,(0.9842445875959028+8.533221164269751e-07j)
0.24,(0.9829368962886041-7.796881905631703e-07j)
0.245,(0.9832449953759415+1.999480652457881e-06j)
0.25,(0.9789731347521338-9.274260718008949e-07j)
0.255,(0.9797461362177232+4.403183131006374e-06j)
0.26,(0.9777947465624901-3.496765737068865e-06j)
0.265,(0.9752957914824739+2.1613512470654088e-06j)
0.27,(0.979773930698538-3.1805614171640968e-06j)
0.275,(0.9728358048873804+4.1109619518685863e-07j)
0.28,(0.9763665039013594-2.1421518179890333e-07j)
0.28500000000000003,(0.9693492991160374+3.3587131606947217e-07j)
0.29,(0.9701215216719867+1.1918093154581178e-07j)
0.295,(0.9681024899624362-2.1297234273500432e-07j)
0.3,(0.9717686257858732+1.8583415371265315e-06j)
0.305,(0.9658418523138147+2.4374396523863648e-06j)
0.31,(0.9675875752973708+5.224080528947003e-06j)
0.315,(0.9595506446381958+4.736086610267696e-06j)
0.32,(0.9605891041420924+1.6596454756105924e-06j)
0.325,(0.9616216994553443+2.9223867623721285e-06j)
0.33,(0.9580426082016651-3.371954533989324e-06j)
0.335,(0.9596946993380658-4.265016486110058e-07j)
0.34,(0.9522688847154861-1.7399991704239436e-06j)
0.34500000000000003,(0.9523262048512803+2.664154409556909e-07j)
0.35000000000000003,(0.9493909324168256-5.231676277668626e-07j)
0.355,(0.9511525423340917-2.786358928412434e-07j)
0.36,(0.9451948444373609+7.561162558737206e-07j)
0.365,(0.9488049592776776+3.2419691682421324e-06j)
0.37,(0.9390905090777169+9.21787391776756e-06j)
0.375,(0.942510380229716+5.12312461744998e-06j)
0.38,(0.9366509877032209+1.09464506869352e-05j)
0.385,(0.9360890577802752+1.988514169724044e-08j)
0.39,(0.9354649028224585+3.962945974811623e-06j)
0.395,(0.9327193750342411-1.522528146618054e-06j)
