time_space,trajectory
0.0,(1.0000000000007834+1.2350876041939084e-29j)
0.005,(0.8495652160610363+0.0906809707516862j)
0.01,(0.04402341926444711-0.031974405918136176j)
0.015,(0.15601603057650212-0.11027369212407924j)
0.02,(0.012700765937247609+0.10103518276373896j)
0.025,(-0.10090545290223324-0.05810931435130669j)
0.03,(7.442248448373453+2.287562212255012j)
0.035,(0.023557328705938466+0.08093469872843946j)
0.04,(0.13074807121325563-0.3782960145976055j)
0.045,(-0.12807335945502935+0.13944325579550365j)
0.05,(0.6209398398204635+0.4068426083377403j)
0.055,(0.1583180290106886+0.30247707363597426j)
0.06,(-0.2552911230039075+0.18895341247672584j)
0.065,(-16.319313957986743-8.950511572925471j)
0.07,(0.5865979434882309+0.11322139513616455j)
0.075,(-0.004094765107892525-0.004495931500301714j)
0.08,(-0.0005284021111251462-0.0014882330690805022j)
0.085,(6.055709349796185+8.507770552386601j)
0.09,(-0.00017711177721740283+0.00033626330739305676j)
0.095,(0.0023582311983260267+0.0054993979931068256j)
0.1,(8.04896022255872+0.014251692669383491j)
0.105,(-0.022909581342597355-0.009578499433519006j)
0.11,(0.0009422151866224096+0.002975061360024041j)
0.115,(34.58697642442192-19.406252840403198j)
0.12,(0.01254673547186884+0.01680907987094328j)
0.125,(-3.925140542970818e-05+4.473661397142667e-05j)
0.13,(-77.22568806852678-55.77147010904838j)
0.135,(476.64558223349536+36.49788095129237j)
0.14,(2.663389709166746e-06-3.245127541492087e-06j)
0.145,(-0.007603945698100454+0.042402344415225605j)
0.15,(24.4518412341599-18.87054610881278j)
0.155,(0.005246632429361558-0.002701590607023543j)
0.16,(0.030051829414552395-0.18425145326578607j)
0.165,(1.616380154988395+1.6343816659273034j)
0.17,(2.55709246154235+5.390851424503155j)
0.17500000000000002,(0.0006120231291504189+0.00024947972379126107j)
0.18,(0.017065066528980374-0.00823245885000308j)
0.185,(-17.408928602937994+6.247960931075368j)
0.19,(-0.00847540612187301+0.0007231809935917025j)
0.195,(0.000647046732019871-0.00010213064182068994j)
0.2,(0.10240487310196712+0.04840189706479616j)
0.20500000000000002,(-0.015849040656817436+0.013728997450936902j)
0.21,(-0.0014681653213818786-0.0013659024049498861j)
0.215,(-2206.430532893786+3449.3602505498266j)
0.22,(-4.693550833294933e-07-5.962818482569377e-06j)
