time_space,trajectory
0.0,(1.0000000000001779-1.3762491655433488e-29j)
0.005,(0.23705199761625745-0.01298594505700087j)
0.01,(0.24192489630686712+0.010365035399862688j)
0.015,(0.26649058932418784-0.06598268133208625j)
0.02,(0.1647380756927647-0.018175696669273815j)
0.025,(0.16349550038756588-0.05006963463715797j)
0.03,(0.1703429604302529-0.0013651470801329204j)
0.035,(0.2318011302793103-0.04060107760622766j)
0.04,(0.15096585806565851+0.04018670507624144j)
0.045,(0.158220404336661+0.006494479639667539j)
0.05,(0.2656631104181776+0.02355798916461048j)
0.055,(0.1956949022017318-0.045349237763871474j)
0.06,(0.24052535142500286+0.015810361695010853j)
0.065,(0.2332454957645087-0.0540979203642762j)
0.07,(0.16804415190091823-0.04983896271660915j)
0.075,(0.1994091997467009-0.01788779506166756j)
0.08,(0.17278219598108016-0.0493067777025731j)
0.085,(0.19511246655802297-0.01820278160898743j)
0.09,(0.2545786105597748-0.05653501503492089j)
0.095,(0.21614712561528732+0.0555113735593469j)
0.1,(0.11460326421411486+0.015264457823335293j)
0.105,(0.09389463817409943-0.005305407471139686j)
0.11,(0.16995536006114978-0.03881725512645128j)
0.115,(0.21707418779719154+0.028701320011753816j)
0.12,(0.20574439090935823-0.07276068528336065j)
0.125,(0.06748662985791247-0.0534844717409853j)
0.13,(0.19447421416684932-0.031095388993310342j)
0.135,(0.0907373532545423+0.036791378545827015j)
0.14,(0.14760412642861445+0.05541631682078649j)
0.145,(0.18061694286792696-0.07395059956640032j)
0.15,(0.1362965060406466+0.1020374662609371j)
0.155,(0.1716619653934085-0.03161153063390109j)
0.16,(0.18329470576828708+0.06387267346317962j)
0.165,(0.23002162417315575+0.038028202762020576j)
0.17,(0.2121583735628386-0.025720643281078977j)
0.17500000000000002,(0.2523581726009209+0.01901268877891838j)
0.18,(0.19360573065459774-0.035404302830685755j)
0.185,(0.19847882224860355-0.007364762546770539j)
0.19,(0.17209903375467922-0.017298199677316575j)
0.195,(0.1719756057845417-0.09078818374550197j)
0.2,(0.19129138839432125-0.008472527425302145j)
0.20500000000000002,(0.21521983290623994+0.006297175430707504j)
0.21,(0.21503377170653903-0.01672816548814527j)
0.215,(0.1599254675697222-0.11323149016487861j)
0.22,(0.1358037265663075-0.041839758804477635j)
0.225,(0.14731825273577837-0.04381378921446612j)
0.23,(0.16878898087491484-0.024901000210201227j)
0.23500000000000001,(0.2241963127029525+0.009808221366789714j)
0.24,(0.03661843618036639-0.006804398720759145j)
0.245,(0.2034317523208259+0.006629658425599965j)
0.25,(0.11445382419961289+0.052813918747443206j)
0.255,(0.19582251890774147-0.00821550059875829j)
0.26,(0.1590792255697682-0.07548025834892676j)
0.265,(0.1682877526189345-0.010473107536899465j)
0.27,(0.11359730226720839-0.05570250514521496j)
0.275,(0.12705418202445956-0.008899277512886722j)
0.28,(0.15041901367608312-0.03513039616213728j)
0.28500000000000003,(0.1657913325607503-0.016422925348864578j)
0.29,(0.15100157549300136-0.00758944050063033j)
0.295,(0.17052553335876797+0.0505222074461077j)
0.3,(0.1850305561250057+0.07380066563300218j)
0.305,(0.08684895838929875+0.006173959080905265j)
0.31,(0.12702548520320212+0.022627146764020268j)
0.315,(0.10414556974013658+0.006649834961767485j)
0.32,(0.19092637641273336+0.10533376813877812j)
0.325,(0.1629078331111049-0.0394119302622335j)
0.33,(0.13058906020894653+0.010827736107730742j)
0.335,(0.11287347530049426-0.0021191504173161207j)
0.34,(0.12116440148619703+0.058384503631024876j)
0.34500000000000003,(0.15028616369137118+0.0319398017477467j)
0.35000000000000003,(0.17959565902230484+0.0017639795863447745j)
0.355,(0.15274406033879023+0.02121711261823493j)
0.36,(0.11044356048989136+0.036599132458042985j)
0.365,(0.17802445390138014-0.04097049051830555j)
0.37,(0.17960278937820576+0.03997059488222396j)
0.375,(0.13037269476854357+0.025064558215718877j)
0.38,(0.15816346624064043+0.06396014118664567j)
0.385,(0.16614508435331485-0.04490038767629335j)
0.39,(0.0937831147141251-0.07682991097272827j)
