t, L_avg
1.500000000000000031e-03,2.166596494665049000e-01
1.540000000000000136e-03,2.531752624858809586e-01
1.580000000000000024e-03,1.929521925525663484e-01
1.620000000000000129e-03,2.041328841235666158e-01
1.660000000000000017e-03,2.678409978364195698e-01
1.700000000000000122e-03,1.604044394502315285e-01
1.740000000000000010e-03,2.386628598396915990e-01
1.780000000000000115e-03,3.025137462961470236e-01
1.820000000000000003e-03,2.061714471418903405e-01
1.860000000000000108e-03,1.718718820479422371e-01
1.899999999999999996e-03,2.209920007068281178e-01
1.940000000000000101e-03,1.743625932994076755e-01
1.979999999999999989e-03,2.501147197548291290e-01
2.020000000000000094e-03,2.509951462625856222e-01
2.060000000000000199e-03,2.725855213853679571e-01
2.100000000000000304e-03,2.444641707601986069e-01
2.139999999999999975e-03,2.235238300307602066e-01
2.180000000000000080e-03,2.547848539959843839e-01
2.220000000000000185e-03,2.514656407428962348e-01
2.259999999999999856e-03,2.314855735762814670e-01
2.299999999999999961e-03,2.432357506634340027e-01
2.340000000000000066e-03,2.073017427123999279e-01
2.380000000000000171e-03,2.289854033177005643e-01
2.420000000000000276e-03,2.379502101513636392e-01
2.460000000000000381e-03,2.447636537999405282e-01
2.500000000000000052e-03,2.169582169150883200e-01
2.540000000000000157e-03,1.978538777015763916e-01
2.579999999999999828e-03,8.198990659694806171e-02
2.619999999999999933e-03,2.827004673819524805e-01
2.660000000000000038e-03,2.015616262558180272e-01
2.700000000000000143e-03,2.313799949336959039e-01
2.740000000000000248e-03,2.536432911368455834e-01
2.780000000000000353e-03,2.388312847283488860e-01
2.820000000000000458e-03,2.080395249842149630e-01
2.860000000000000129e-03,1.908504590611389551e-01
2.900000000000000234e-03,2.756537362472446517e-01
2.939999999999999905e-03,2.323806604578002033e-01
2.980000000000000010e-03,2.241930192932169996e-01
3.020000000000000115e-03,2.448389497801082282e-01
3.060000000000000220e-03,1.451086703620175500e-01
3.100000000000000325e-03,2.289921252834173637e-01
3.140000000000000430e-03,3.026854092687319975e-01
3.180000000000000101e-03,2.542792671180123532e-01
3.220000000000000206e-03,1.126797114070550582e-01
3.259999999999999877e-03,2.905981872888070416e-01
3.299999999999999982e-03,2.895332170459041787e-01
3.340000000000000087e-03,1.600558351941336888e-01
3.380000000000000192e-03,1.522529775253327611e-01
3.420000000000000297e-03,2.760093483979459972e-01
3.460000000000000402e-03,1.322872497254312385e-01
3.500000000000000073e-03,3.322860740085935571e-01
3.540000000000000178e-03,2.441552108713679059e-01
3.580000000000000283e-03,2.200663828258471733e-01
3.620000000000000388e-03,2.494215618565584491e-01
3.660000000000000059e-03,1.870753545748503055e-01
3.700000000000000164e-03,7.928800721131805396e-02
3.740000000000000269e-03,1.984288575396836452e-01
3.780000000000000374e-03,2.253704725022906419e-01
3.820000000000000045e-03,2.475263266398871898e-01
3.860000000000000150e-03,2.955908272891047961e-01
3.900000000000000255e-03,1.838685804043620753e-01
3.940000000000000793e-03,2.764675857419555127e-01
3.980000000000000031e-03,2.030710717289793688e-01
4.020000000000000136e-03,1.994560594169788037e-01
4.060000000000000241e-03,2.210809318766632225e-01
4.100000000000000346e-03,2.434169383327384750e-01
4.140000000000000450e-03,1.629620962054056099e-01
4.179999999999999688e-03,1.652651792916697282e-01
4.219999999999999793e-03,1.944341227330694810e-01
4.259999999999999898e-03,1.847899764589757132e-01
4.300000000000000003e-03,1.625015583838432809e-01
4.340000000000000108e-03,2.221741279213821918e-01
4.380000000000000213e-03,2.582899903521606033e-01
4.420000000000000318e-03,2.617119769423241205e-01
4.460000000000000422e-03,1.700188469041401529e-01
4.500000000000000527e-03,2.528032148344445673e-01
4.540000000000000632e-03,1.659473096494019639e-01
4.580000000000000737e-03,1.687632370395856785e-01
4.620000000000000842e-03,2.486926771359732335e-01
4.660000000000000080e-03,2.328589903885793788e-01
4.700000000000000185e-03,1.586124523424143895e-01
4.740000000000000289e-03,2.172228301043624965e-01
4.780000000000000394e-03,2.164579642921100333e-01
4.820000000000000499e-03,2.003336700461290920e-01
4.859999999999999737e-03,2.228780021318677029e-01
4.899999999999999842e-03,1.851899793172256947e-01
4.939999999999999947e-03,2.099058932511157494e-01
4.980000000000000052e-03,2.464091142462385697e-01
5.020000000000000157e-03,1.914291830538270567e-01
5.060000000000000261e-03,1.528434047596812229e-01
5.100000000000000366e-03,2.857869807210483559e-01
5.140000000000000471e-03,1.930832846318931151e-01
5.180000000000000576e-03,2.452563445383268981e-01
5.220000000000000681e-03,1.797258310339338028e-01
5.260000000000000786e-03,1.470870322846095923e-01
5.300000000000000891e-03,3.698982863543997558e-03
5.340000000000000996e-03,2.494929649874474409e-01
5.380000000000000233e-03,2.018305396927916329e-01
5.420000000000001206e-03,2.872753934811225762e-01
5.459999999999999576e-03,2.588122035466673410e-01
5.499999999999999681e-03,1.531434270139811205e-01
5.539999999999999786e-03,1.989954623254108212e-01
5.579999999999999891e-03,1.653951899110174817e-01
5.619999999999999996e-03,1.789652016966182535e-01
5.660000000000000100e-03,2.088986741517084855e-01
5.700000000000000205e-03,2.276380885277680677e-01
5.740000000000000310e-03,2.060781200016500447e-01
5.780000000000000415e-03,8.631762061346399950e-02
5.820000000000000520e-03,2.371659021949617530e-01
5.860000000000000625e-03,2.574032615007297853e-01
5.900000000000000730e-03,2.502074233585757090e-01
5.940000000000000835e-03,2.387664184586641702e-01
5.980000000000000940e-03,2.728549620431486300e-01
6.020000000000001045e-03,1.712354956565964592e-01
6.060000000000001150e-03,2.226307860480834233e-01
6.100000000000001255e-03,1.828601292810480838e-01
6.139999999999999625e-03,2.584845055288479410e-01
6.179999999999999730e-03,2.306491200012478482e-01
6.219999999999999835e-03,2.321228918708052869e-01
6.259999999999999939e-03,2.259169425527776109e-01
