time_space,trajectory
0.0,(0.9999999999999971-3.5691822230423825e-33j)
0.04,(0.996650216185236+1.0120513139011606e-06j)
0.08,(0.991010474429164+6.078264213348956e-06j)
0.12,(0.9990778459110942+1.1995774628019898e-06j)
0.16,(0.9919221072561831+3.522616262237243e-06j)
0.2,(0.9873710187277925-9.028592031506785e-06j)
0.24,(0.9976786290427563-4.633151591709185e-06j)
0.28,(0.9977718920441501+2.5412676328051108e-06j)
0.32,(0.9883770111149935+4.367947605315903e-05j)
0.36,(0.9922940572374757+4.358151223342232e-06j)
0.4,(0.9985019632173036-2.967970618608838e-06j)
0.44,(0.9865576098664292-7.196608742661519e-05j)
0.48,(0.9941766150334571-3.11802813266618e-05j)
0.52,(0.9991343836767985-3.985005907440993e-09j)
0.56,(0.9969218856639728+2.9737327704032204e-06j)
0.6,(0.9935197110613534+1.1022358796390994e-05j)
0.64,(0.9976720427023963+3.3277544302262885e-06j)
0.68,(0.991860548710412+3.3733175162448094e-05j)
0.72,(0.9864626786042441+2.8634362153777145e-05j)
0.76,(0.9962194002661312-1.059607886108455e-05j)
0.8,(0.9977809319360994-3.605568440387418e-06j)
0.84,(0.9882182686747276+0.0001010515967169534j)
0.88,(0.9917259834184896+4.485833298697486e-05j)
0.92,(0.9970406590917325+1.0914265616059468e-06j)
0.96,(0.9800530880200543-0.00017008088668510278j)
1.0,(0.9891657059128316-0.00010124265131672216j)
1.04,(0.9973992009853225-1.1237141165749768e-07j)
1.08,(0.9950233964218542+1.5673338974994433e-06j)
1.12,(0.9930425854657537+1.6929636940693554e-05j)
1.16,(0.998101166417346-3.117099189701818e-07j)
1.2,(0.98976848999522+5.306076447068308e-05j)
1.24,(0.9841367358391538+6.494420343006722e-05j)
1.28,(0.9971764784661441+1.882570835279234e-06j)
1.32,(0.9920021246379758-1.7078937732523347e-05j)
1.36,(0.9887181444434016+6.561779139343844e-05j)
1.4000000000000001,(0.9903412352081779+9.457229537193382e-05j)
1.44,(0.990267891544764+1.3876841625747597e-05j)
1.48,(0.9777013560682782-6.986347914108197e-05j)
1.52,(0.9830962315423939-0.00018889788378098033j)
1.56,(0.9931941397044975-6.195505279739646e-07j)
1.6,(0.9927501295580257-2.9112300068136434e-05j)
1.6400000000000001,(0.9916581617051683+2.4179224622529642e-05j)
1.68,(0.9942741428781342-1.3624443866271025e-06j)
1.72,(0.9880921711943802+6.424182562779775e-07j)
1.76,(0.981143811680298+2.4912764670783586e-05j)
1.8,(0.9883611505235765+1.3710983189257196e-05j)
1.84,(0.992261053714657-1.3200789911283348e-05j)
1.8800000000000001,(0.9864134933582379-1.0340573624239321e-05j)
1.92,(0.9827545678560872+9.255056735446598e-05j)
1.96,(0.9951197435905543+2.9934191790788974e-05j)
2.0,(0.9693854658129917+0.00020518161915766763j)
2.04,(0.978502072081967-0.0001632997287168101j)
2.08,(0.9958115274357477-1.4716066758971214e-06j)
2.12,(0.9767089435030597-0.00016382216378042845j)
2.16,(0.9889891926243619+2.628642077361882e-05j)
2.2,(0.9898988015909703+1.9448435300116236e-06j)
2.24,(0.9790063844295379-7.51042717821581e-05j)
2.2800000000000002,(0.9771588967604404-5.657113034255808e-05j)
2.32,(0.9850946063574555-8.895127267539411e-06j)
2.36,(0.98644515686128+1.2522474775965089e-05j)
2.4,(0.9844006443071603-3.5410121301920285e-05j)
2.44,(0.9893468766520402+3.4360811586956185e-05j)
2.48,(0.9818753310638579+3.85681094065661e-05j)
2.52,(0.969688287453143+0.00041236212496308707j)
2.56,(0.9785120175589296+5.578667472613161e-05j)
2.6,(0.9737169747060297-2.3678143329898557e-06j)
2.64,(0.9787276330324968-0.0003025552031567921j)
2.68,(0.9752728284811597-6.438779424357503e-05j)
2.72,(0.973963518213837+4.278406141055038e-06j)
2.7600000000000002,(0.990263102101221-2.433187933557378e-05j)
2.8000000000000003,(0.9634376806560841-0.00019717793744962838j)
2.84,(0.9814401434610148-4.113430230775917e-05j)
2.88,(0.9890961404159696-3.7245863561152083e-06j)
2.92,(0.9722274876382624-4.490526525975606e-05j)
2.96,(0.9855591532831877+1.2533755682239563e-07j)
3.0,(0.9783592950383724+2.921516069272316e-05j)
3.04,(0.9622501146729198+0.0004258738782821154j)
3.08,(0.9637186587830956+0.00030831456537833656j)
3.12,(0.9796196835605429-1.972939523532343e-06j)
3.16,(0.9637254283557782-0.00029187070462943776j)
3.2,(0.9624647002282192-0.00023527911216989685j)
3.24,(0.9886093526026865+2.857930465442857e-06j)
3.2800000000000002,(0.9621139362920237+0.00012630269699946786j)
3.3200000000000003,(0.967572184008871-0.00019174365556723412j)
3.36,(0.9826761669036761-5.478275986205789e-05j)
3.4,(0.9533258320196004-0.00011287651977109614j)
3.44,(0.9800982567795185-7.845865750003226e-05j)
3.48,(0.9706327035383134-1.2947533563404717e-05j)
3.52,(0.9634531645365674+9.305440376517992e-06j)
3.56,(0.9753054740195282+0.00034242357971550743j)
3.6,(0.9550951420490661+0.00032309055473992495j)
3.64,(0.9720874947596462+3.497049729035936e-06j)
3.68,(0.9657482650359496-0.0001326896762151328j)
3.72,(0.959267030157325-0.0003315737762721781j)
3.7600000000000002,(0.9624308139178109-5.725576598174768e-07j)
3.8000000000000003,(0.9626213257028026+0.00020736759147133542j)
3.84,(0.9537884672969515+0.00013239848937227232j)
3.88,(0.9489472177266012-4.0322195082677935e-05j)
3.92,(0.9721819783709564-0.00022445117982745184j)
3.96,(0.947962314241253-0.000347752296399656j)
4.0,(0.9587327470423819-3.431942306353897e-05j)
