time_space,trajectory
0.0,(0.9999999999999838-3.8995318784520397e-31j)
0.04,(0.3768229566728339+0.026075233199265514j)
0.08,(0.3179083058975147+0.09363666048301002j)
0.12,(0.4294894861104411+0.198647058453957j)
0.16,(0.31428056437089064+0.1910663291900143j)
0.2,(0.9619329799166342+0.04587166808291612j)
0.24,(0.42723531348173815-0.016261921030070105j)
0.28,(0.533069798688951+0.033853586346765656j)
0.32,(0.37688333698028254+0.03241370981123376j)
0.36,(0.36805290990412287+0.36577780910750224j)
0.4,(1.044146776653096+0.2409443695708363j)
0.44,(0.41964062899072757-0.44884704985740786j)
0.48,(0.2815454474926844-0.02028537439002062j)
0.52,(0.7099528718641721-0.21416961427300038j)
0.56,(0.1652547114420396-0.2409648874117029j)
0.6,(0.3444519529241957-0.05262042443793548j)
0.64,(0.3962799033683631+0.06903277422965372j)
0.68,(0.35167742801945007+0.1089118722749803j)
0.72,(0.3877430308629327-0.16006425064295338j)
0.76,(0.3520654362475894+0.1115989985084647j)
0.8,(0.23912811949682583+0.0683757118477915j)
0.84,(0.3235992731795697-0.013462381824100146j)
0.88,(0.3436462136408079-0.002309859123086393j)
0.92,(0.3378658395017295+0.11674027815766402j)
0.96,(0.4335194818683007+0.2913617634691843j)
1.0,(0.564630247046781-0.2385239412998743j)
1.04,(0.43090754675498344+0.09035236348150259j)
1.08,(0.5978836989727865+0.08009581286762685j)
1.12,(0.8712283213131241-0.4520357488744293j)
1.16,(0.3008535013279219-0.0513554656840917j)
1.2,(0.44060107635072127+0.006290394750358982j)
1.24,(0.5177532443100251+0.07044919762453702j)
1.28,(0.40714396006679543-0.002554993349154944j)
1.32,(0.6348818324189521-0.09634621880114558j)
1.36,(0.23263997371774095-0.14522144215452415j)
1.4000000000000001,(0.3009058797894377+0.007914920314087555j)
1.44,(0.15986560231293803+0.1230403895952869j)
1.48,(0.3296457638341891-0.1946727197205897j)
1.52,(0.3025765240199427+0.1062726661181618j)
1.56,(0.3465604660571226+0.00944323778616283j)
1.6,(0.4759161231624-0.15869473342078602j)
1.6400000000000001,(0.32065672257820105+0.049646702568660495j)
1.68,(0.47828851344100365+0.054961651517304685j)
1.72,(0.5438379967066075+0.06768607379587795j)
1.76,(0.7730708810416443+0.43133343216380887j)
1.8,(0.3556818652055958-0.08922901306882823j)
1.84,(0.5374263389652542-0.021882073957441166j)
1.8800000000000001,(0.25464812789993746+0.10971358895907711j)
1.92,(0.3300250210102417-0.10089736271443027j)
1.96,(0.37591402554263553-0.11673501951988759j)
2.0,(0.16055213540292973+0.06745170785154683j)
2.04,(0.44777693308782746-0.17170099022442353j)
2.08,(0.2864321141883775+0.04488551209614806j)
2.12,(0.2854287303163671-0.0176469074475887j)
2.16,(0.361015130420839+0.10950578678908275j)
2.2,(0.15230663591232615+0.011992554552857271j)
2.24,(0.3449077561981598-0.06468086364721257j)
2.2800000000000002,(0.1428121484439497+0.08245901012123764j)
2.32,(0.40137650691940474+0.34195052604807435j)
2.36,(0.23208467645154768+0.13663822379759347j)
2.4,(0.4716554780899279-0.12577117883996528j)
2.44,(0.32797687141106546+0.026425829244566802j)
2.48,(0.16278425021608064+0.03628354725423257j)
2.52,(0.2944806350013415-0.1532734839559133j)
2.56,(0.09443962673290447-0.01103176234208438j)
2.6,(0.5354719670632244+0.1500965380282537j)
2.64,(0.17931521658343622-0.08337561967257266j)
2.68,(0.56193553287797-0.15019040989791013j)
2.72,(0.4365659333330212-0.07252842332557413j)
2.7600000000000002,(0.11048116692680585-0.0325511155454492j)
2.8000000000000003,(0.47383274913871626+0.20918582578691858j)
2.84,(0.16626176531198217+0.004968880103714476j)
2.88,(0.16544304546238248-0.03882583203799112j)
2.92,(0.09583257374710652+0.18412920961136287j)
2.96,(0.48073496615834943+0.09915735951090879j)
3.0,(0.28282102369362067-0.0790027009107925j)
3.04,(0.1553511616200455+0.009836107814022126j)
3.08,(0.45590961339757785+0.07520562054063655j)
3.12,(0.054344433065285976+0.01170191507711709j)
3.16,(0.44362814428045755-0.045454121392706825j)
3.2,(0.15266942264702685-0.009155264685726886j)
3.24,(0.44959913241041405+0.19331860704584988j)
3.2800000000000002,(0.27492088694159467-0.09624457447289331j)
3.3200000000000003,(0.13969772001120637-0.0919918139266768j)
3.36,(0.27428439814438277-0.05513347081677521j)
3.4,(0.021329482991508206+0.00375194551250331j)
3.44,(0.3770905189904921-0.2661139940662027j)
3.48,(0.1472656734971334+0.04823651708996981j)
3.52,(0.12317288884355045+0.024652286794183877j)
3.56,(0.6243328687710272-0.17228794497965463j)
3.6,(0.044081744578205274+0.04316934534813287j)
3.64,(0.6315447870992972+0.29058918545373036j)
3.68,(0.014943301976807882-0.0009738291984970638j)
3.72,(0.3669433782017923+0.17407505573421042j)
3.7600000000000002,(0.08071891019900305-0.010087903795951154j)
3.8000000000000003,(0.3789767060623415-0.028273176967774115j)
3.84,(0.3802662408398133+0.17011570412250232j)
3.88,(0.07329452006649882+1.8669655568497606e-05j)
3.92,(0.28733758232625545-0.06365638954732632j)
3.96,(0.0050861331978298546+0.0016762864263158163j)
4.0,(0.27713961351432537+0.027934774533139705j)
