time_space,trajectory
0.0,(1.000000000000007-1.2913657578681939e-30j)
0.04,(0.4985120052452196-0.05294216494065123j)
0.08,(0.360666254600101-0.03049937183672429j)
0.12,(0.41826784863939137-0.15128307668708757j)
0.16,(0.39809255888029993+0.00294763962682257j)
0.2,(0.39373374271972256+0.05564623879618571j)
0.24,(0.36286494205437697+0.037845900638165404j)
0.28,(0.36910771670602016-0.01911204410761293j)
0.32,(0.36418879859579395+0.061142071341923884j)
0.36,(0.2319702122478125-0.05861233183174739j)
0.4,(0.24372929445662114-0.008034678335122693j)
0.44,(0.2848130832656598+0.13130801098201866j)
0.48,(0.19674693326758458+0.005625201828743114j)
0.52,(0.24129546146713635-0.06491907319835023j)
0.56,(0.19149970042726827-0.12734679253101489j)
0.6,(0.08968770725326351-0.01171027546634006j)
0.64,(0.171028395385513+0.10747704376510568j)
0.68,(0.2315956291917727+0.004263038378646557j)
0.72,(0.3123963701377235-0.08706580549350226j)
0.76,(0.27676437054707903+0.016286702816990344j)
0.8,(0.24090307655913204-0.06582824764258544j)
0.84,(0.2969451780828159-0.044579141554102475j)
0.88,(0.30412297752067746-0.06427901175563754j)
0.92,(0.2553857063175108-0.01894412722957364j)
0.96,(0.31464471623807433+0.004013203971275687j)
1.0,(0.252354857221597+0.029743170960911662j)
1.04,(0.21718498394605645-0.02546937136607611j)
1.08,(0.29820025493676766-0.03715790169279633j)
1.12,(0.2815789690520046+0.03558765138531186j)
1.16,(0.15293323562794658+0.015265854693122466j)
1.2,(0.07576937850773206+0.05053607916321065j)
1.24,(0.14930164992385805+0.015474105006139086j)
1.28,(0.16965040450340824+0.02186408131167093j)
1.32,(0.15354207277849155-0.12492069843220026j)
1.36,(0.03088065761254528-0.11962704502635256j)
1.4000000000000001,(0.19771508186662812+0.03382994122603457j)
1.44,(0.1392972313411065+0.1745931834929242j)
1.48,(0.10132011996239774-0.06458172733224958j)
1.52,(0.08432545682887858-0.053518479039224756j)
1.56,(0.161158786887984+0.03456023500880991j)
1.6,(0.16052911260976616-0.058697608617624006j)
1.6400000000000001,(0.1247513045088405+0.07340826100333883j)
1.68,(0.14488218187645557+0.012079375428772379j)
1.72,(0.1715633392398495-0.026707372685491972j)
1.76,(0.1608395972329849-0.01555599112819887j)
1.8,(0.15719663697245065+0.0060088687010432275j)
1.84,(0.2513656069820416-0.017665545714971066j)
1.8800000000000001,(0.19559148230586956-0.08526519745285031j)
1.92,(0.14789808212326627+0.10114983603385773j)
1.96,(0.09410655281685622+0.12580008518852842j)
2.0,(0.18726318340148565+0.016477553994133174j)
2.04,(0.15604991832721554+0.0676194246956344j)
2.08,(0.11139066327558482+0.007846778168811446j)
2.12,(0.08656571343280713-0.07831376422462656j)
2.16,(0.08631370107080798+0.054910883310946554j)
2.2,(0.13438768351945948+0.010876235695753238j)
2.24,(0.06797544707214613-0.002305910554404144j)
2.2800000000000002,(-0.0015497700222568203-0.0478023418014131j)
2.32,(-0.007979536706864855+0.0005261508582072185j)
2.36,(0.09943335399779119+0.03697161791161261j)
2.4,(0.10166395078258851-0.045905293760908135j)
2.44,(0.07970378340391487+0.06786783442972316j)
2.48,(0.04582488729981758+0.058011036969463255j)
2.52,(0.05623671001956662-0.0778035754748336j)
2.56,(0.1140842002001892-0.06830718281080175j)
2.6,(0.10041828362692681+0.015793542413358293j)
2.64,(0.07771743704866899-0.0575720411717138j)
2.68,(0.19427835825195153-0.09314191219992968j)
2.72,(0.17195112519273847-0.05621450242057166j)
2.7600000000000002,(0.12801668849434197+0.025932219491687215j)
2.8000000000000003,(0.27727273648760736+0.008524625880410681j)
2.84,(0.2537005287074774-0.02271499786895224j)
2.88,(0.20484253350516393+0.010971046855657283j)
2.92,(0.17542518904983387-0.05828908586961558j)
2.96,(0.08414921673615285+0.013637188107406195j)
3.0,(0.25171259144800573+0.10504622393936325j)
3.04,(0.234863276257108+0.006756730179736679j)
3.08,(0.19330187614324248+0.09839392173016884j)
3.12,(0.17401842265634695+0.03912514500346949j)
3.16,(0.1316168213346296-0.036317651785215774j)
3.2,(0.21003286253506098-0.0008782353405935559j)
3.24,(0.13007321479136486+0.07480781080813902j)
3.2800000000000002,(0.20513946047584808-0.017025113821665428j)
3.3200000000000003,(0.2628670704897984+0.025799130906434743j)
3.36,(0.1596321999395719+0.05175370525597083j)
3.4,(0.13501447364730007+0.10470296086422527j)
3.44,(0.07765921335035655+0.0038329569140187914j)
3.48,(0.06171799568412202+0.052215151505284885j)
3.52,(0.11486479308133853-0.05528678148965295j)
3.56,(0.07281255058318004-0.03567212504222812j)
3.6,(0.1321674098025186-0.07522856528458562j)
3.64,(0.14006819672654747-0.00020753722965629275j)
3.68,(0.20595093124861252+0.03514792161551718j)
3.72,(0.04983197124726972-0.0295766475773033j)
3.7600000000000002,(0.16311638420058858-0.09370025987246097j)
3.8000000000000003,(0.08038706097681508+0.039762103336041785j)
3.84,(0.1958311818739872+0.03799161836646699j)
3.88,(0.19725685382157088+0.017051588298360225j)
3.92,(0.20499409231749016-0.02688155561268494j)
3.96,(0.2261425422336319-0.050328151128939735j)
4.0,(0.0935234403837949-0.0069807930311049995j)
